STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,A. Các môn bắt buộc (Compulsary Courses) [BB],100,,
,,A.1. Các môn Toán và KH tự nhiên (Mathematics and Basic Sciences) [BB],30,,
1,CH1015,Hóa đại cương,3,,
,,General Chemistry,,,
2,MT1019,Giải tích 1 (CT Tiên tiến),4,,
,,Calculus 1 (Advanced Program),,,
3,PH1011,Vật lý - Cơ Học,4,,
,,University Physics - Mechanics,,,
4,MT1021,Giải tích 2 (CT Tiên tiến),4,,
,,Calculus 2 (Advanced Program),,,
5,MT1023,Cơ sở Phương trình Vi phân,3,,
,,Introduction to Differential Equations,,,
6,PH1013,Vật lý - Nhiệt Lượng tử,3,,
,,University Physics Thermodynamics - Quantum Physics,,,
7,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
8,EE2401,Vật lý: Điện và Từ học,3,MT1021(KN),MT1019(KN)
,,University Physics: Electricity and Magnetism,,,
9,MT2015,Xác suất và Ứng dụng kỹ thuật,3,,
,,Probability and Engineering Applications,,,
,,A.2. Kinh tế - Chính Trị - Xã hội - Luật (Socials and Economics) [BB],13,,
1,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to VieTNamese Law,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
4,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
5,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
6,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of VieTNamese Communist Party,,,
,,A.3. Nhập môn (Introduction to Engineering) [BB],3,,
1,EE1025,Nhập môn Về kỹ Thuật,3,,
,,Engineering Orientation,,,
,,A.4. Cơ sở ngành (Core Courses) [BB],34,,
1,EE1029,Cơ sở Kỹ thuật Điện - Máy tính,4,,
,,Introduction to Electrical and Computer Engineering,,,
2,EE2405,Xử lý Tín hiệu Tương tự,4,MT1023(KN),MT1007(KN),EE1029(TQ)
,,Analog Signal Processing,,,
3,EE2407,Nguyên lý Tự luận,3,,
,,Principle of Composition,,,
4,EE2411,Linh kiện Bán dẫn,3,EE2401(KN),
,,Solid State Electronic Devices,,,
5,EE2415,Hệ thống Máy tính và Ngôn ngữ Lập trình,4,EE2417(KN),
,,Computer Systems and Programming,,,
6,EE2409,Cơ sở Trường điện từ,3,EE2401(KN),
,,Introduction to Electromagnetic Fields,,,
7,EE3411,Mạch điện tử,3,EE1029(TQ),EE2411(KN),EE2405(KN)
,,Electronic Circuits,,,
8,EE2421,Đồ án Cơ sở ngành,1,EE3407(KN),EE3431(KN),EE3411(KN),EE3401(KN),EE2415(TQ),EE3405(KN),EE3403(KN),EE3413(KN)
,,Capstone Project 1,,,
9,EE3413,Vi xử lý,3,EE2417(TQ),EE2419(KN),EE2415(KN)
,,Microprocessor,,,
10,EE2417,Cơ sở Máy tính,3,EE1029(KN),
,,Introduction to Computing,,,
11,EE2419,Kỹ thuật số,3,EE2417(SHT),
,,Digital Systems,,,
,,A.5. Các môn chuyên ngành (Specialized Courses) [BB],6,,
,,A.5.1.1. Các môn chuyên ngành 1 - Chuyên ngành Kỹ thuật Điều khiển và Tự động hóa (Specialized Courses 1 - Control Engineering and Automation) [BB],6,,
1,EE3417,Cảm biến và Đo lường,3,EE3411(KN),
,,Sensors and Intrumentation,,,
2,EE3419,Điện tử Công suất,3,EE2405(KN),
,,Power Electronics,,,
,,A.5.1.2. Các môn chuyên ngành 2 - Chuyên ngành Kỹ thuật Điều khiển và Tự động hóa (Specialized Courses 2 - Control Engineering and Automation) [BB],3,,
1,EE4407,Tự động Hóa Công nghiệp,3,EE2415(TQ),EE3417(KN)
,,Industrial Automation,,,
,,A.5.2.1. Các môn chuyên ngành 1 - Chuyên ngành Hệ thống Năng lượng (Specialized Courses 1 - Power and Energy System) [BB],6,,
1,EE3419,Điện tử Công suất,3,EE2405(KN),
,,Power Electronics,,,
2,EE3421,Máy điện,3,EE3405(KN),
,,Electric Machinery,,,
,,A.5.2.2. Các môn chuyên ngành 2 - Chuyên ngành Hệ thống Năng lượng (Specialized Courses 2 - Power and Energy System) [BB],3,,
1,EE4413,Giải tích hệ thống điện,3,EE3405(KN),
,,Power Systems Analysis,,,
,,A.5.3.1. Các môn chuyên ngành 1 - Chuyên ngành Hệ thống Viễn thông (Specialized Courses 1 - Communication System) [BB],6,,
1,EE3415,Thông tin tương tự - số,3,EE2405(TQ),
,,Analog and Digital Communications,,,
2,EE3423,Mạch điện tử thông tin,3,EE3411(SHT),
,,Radio Communication Circuits,,,
,,A.5.3.2. Các môn chuyên ngành 2 - Chuyên ngành Hệ thống Viễn thông (Specialized Courses 2 - Communication System) [BB],3,,
1,EE4403,Mạng thông tin,3,EE2417(KN),EE2405(TQ)
,,Communication Networks,,,
,,A.5.4.1. Các môn chuyên ngành 1 - Chuyên ngành Vi mạch - Hệ thống phần cứng (Specialized Courses 1 - Circuits - Hardware System) [BB],6,,
1,EE3425,Thiết kế Vi mạch,3,EE2419(TQ),EE3411(KN)
,,Introduction to VLSI System Design,,,
2,EE3427,Thiết kế Hệ thống nhúng,3,EE3401(KN),EE3413(SHT)
,,Embedded System,,,
,,A.5.4.2. Các môn chuyên ngành 2 - Chuyên ngành Vi mạch - Hệ thống phần cứng (Specialized Courses 2 - Circuits - Hardware System) [BB],3,,
1,EE4423,Cấu trúc Máy tính,3,EE3425(KN),EE2419(TQ),EE3413(KN)
,,Computer Organization and Design,,,
,,A.6. Các học phần tốt nghiệp (Graduation Courses) [BB],8,,
1,EE3375,Thực tập Ngoài trường,2,EE3407(KN),EE3431(KN),EE3411(KN),EE3413(KN),EE3405(KN),EE3403(KN),EE2421(SHT)
,,Internship,,,
2,EE4405,Đồ án Chuyên ngành,2,EE3417(KN),EE3421(KN),EE3419(KN),EE3427(KN),EE3425(KN),EE3423(KN),EE3415(KN),EE3375(SHT),EE3413(TQ),EE2421(TQ)
,,Capstone Project 2,,,
3,EE4377,Đồ án Tốt nghiệp,4,EE4405(TQ),EE3375(TQ)
,,Senior Design Project,,,
,,B. Các môn tự chọn (Elective Courses) [TC],24,,
,,B.1. Các môn tự chọn cơ sở ngành (định hướng) - Nhóm A (Elective Core Courses (Orientation) - Group A) [TC],6,,
,,B.1.1. Các môn tự chọn cơ sở ngành (định hướng) - Chuyên ngành Kỹ thuật Điều khiển và Tự động hóa (Elective Core Courses (Orientation) - Control Engineering and Automation) [TC],6,,
1,EE3403,Cơ sở Hệ thống Điều khiển,3,EE2405(KN),
,,Introduction to Control Systems,,,
2,EE3405,Mạch công suất và Điện cơ,3,EE2409(KN),EE1029(TQ)
,,Power Circuits and Electromechanics,,,
,,B.1.2. Các môn tự chọn cơ sở ngành (định hướng) - Chuyên ngành Hệ thống Năng lượng (Elective Core Courses (Orientation) - Power and Energy Systems) [TC],6,,
1,EE3403,Cơ sở Hệ thống Điều khiển,3,EE2405(KN),
,,Introduction to Control Systems,,,
2,EE3405,Mạch công suất và Điện cơ,3,EE2409(KN),EE1029(TQ)
,,Power Circuits and Electromechanics,,,
