STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,1. Kiến thức giáo dục đại cương (General Knowledge),,,
,,Toán (Mathematics),,,
1,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
2,MT1019,Giải tích 1 (CT Tiên tiến),4,,
,,Calculus 1 - Advanced Program,,,
3,MT1021,Giải tích 2 (CT Tiên tiến),4,,
,,Calculus 2 - Advanced Program,,,
4,MT1023,Cơ sở phương trình vi phân,3,,
,,Introduction to Ordinary Differential Equations,,,
5,MT2015,Xác suất và ứng dụng kỹ thuật,3,,
,,Probability with Engineering Applications,,,
,,Khoa học tự nhiên (Science),,,
6,CH1015,Hóa đại cương,3,,
,,General Chemistry,,,
7,EE2401,Vật lý: điện và từ học,3,MT1019(KN) MT1021(KN),
,,University Physics: Electricity and Magnetism,,,
8,PH1011,Vật lý - cơ học,4,,
,,University Physics - Mechanics,,,
9,PH1013,Vật lý - nhiệt lượng tử,3,,
,,University Physics Thermodynamics - Quantum Physics,,,
,,Kinh tế- Chính trị- Xã hội- Luật (Economics - Politics - Sociology - Law),,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
16,SP1041,Kỹ năng mềm,0,,
,,Soft Skill,,,
,,Nhóm tự chọn Kỹ năng Xã hội (chọn 1 trong các học phần sau),,,
,,Elective Courses - Group of Social Skills (Select 1 in the group of courses below),,,
17.1,SP1013,Kỹ năng xã hội A (báo chí),0,,
,,Social Skills A,,,
17.2,SP1015,Kỹ năng xã hội B (sân khấu),0,,
,,Social Skills B,,,
17.3,SP1017,Kỹ năng xã hội C (Thanh nhạc),0,,
,,Social Skills C,,,
17.4,SP1019,Kỹ năng xã hội D (Nhiếp ảnh),0,,
,,Social Skills D,,,
17.5,SP1021,Kỹ năng xã hội E (dẫn chương trình),0,,
,,Social Skills E,,,
17.6,SP1023,Kỹ năng xã hội F (nhảy hiện đại),0,,
,,Social Skills F,,,
17.7,SP1025,Kỹ năng xã hội G (nhảy đường phố),0,,
,,Social Skills G,,,
17.8,SP1027,Kỹ năng xã hội H (tư duy phản biện),0,,
,,Social Skills H,,,
17.9,SP1045,Kỹ năng xã hội I (kỹ năng sáng tạo),0,,
,,Skill of Innovators,,,
,,Giáo dục chung khác (Other Knowledge),,,
,,Nhập môn (Introduction to Engineering),,,
18,EE1025,Nhập môn về kỹ thuật,3,,
,,Engineering Orientation,,,
,,Nhóm Quản lý (chọn 3 tín chỉ trong các học phần sau),,,
,,Elective Courses - Management for Engineers (Select 3 credits in the group of courses below),,,
19.1,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
19.2,IM1019,Tiếp thị căn bản,3,,
,,Principle of Marketing,,,
19.3,IM3063,Quản lý chất lượng,3,,
,,Quality Management,,,
,,Con người và môi trường (Humans and Environment),,,
20,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
,,2. Kiến thức giáo dục chuyên nghiệp (Professional Knowledge),,,
,,Cơ sở ngành (Core),,,
1,EE1029,Cơ sở kỹ thuật điện - máy tính,4,,
,,Introduction to Electrical and Computer Engineering,,,
2,EE2015,Xử lý số tín hiệu,3,EE2405(KN),
,,Digital Signal Processing,,,
3,EE2405,Xử lý tín hiệu tương tự,4,EE1029(KN) MT1007(KN) MT1023(KN),
,,Analog Signal Processing,,,
4,EE2407,Nguyên lý tự luận,3,,
,,Principle of Composition,,,
5,EE2409,Cơ sở trường điện từ,3,EE2401(KN),
,,Introduction to Electromagnetic Fields,,,
6,EE2411,Linh kiện bán dẫn,3,EE2401(KN),
,,Solid State Electronic Devices,,,
7,EE2415,Hệ thống máy tính và ngôn ngữ lập trình,4,EE2417(KN),
,,Computer Systems and Programming,,,
8,EE2417,Cơ sở máy tính,3,EE1029(KN),
,,Introduction to Computing,,,
9,EE2419,Kỹ thuật số,3,EE2417(KN),
,,Digital Systems,,,
10,EE2421,Đồ án cơ sở ngành,1,EE2015(KN) EE3407(KN) EE3411(KN) EE3413(KN),
,,Capstone Project 1,,,
11,EE3413,Vi xử lý,3,EE2415(KN) EE2419(KN),
,,Microprocessor,,,
,,Chuyên ngành (Speciality),,,
12,EE3415,Thông tin tương tự - số,3,EE2405(KN),
,,Analog and Digital Communications,,,
13,EE3423,Mạch điện tử thông tin,3,EE3411(KN),
,,Radio Communication Circuits,,,
14,EE4403,Mạng thông tin,3,EE2405(KN),
,,Communication Networks,,,
15,,Nhóm tự chọn A (chọn 6 tín chỉ trong các học phần sau),,,
,,Elective Courses - Group A (Select 6 credits in the group of courses below),,,
15,EE3401,Kỹ thuật hệ thống máy tính,3,EE2415(KN),
,,Computer Systems Engineering,,,
16,EE3403,Cơ sở hệ thống điều khiển,3,EE2405(KN),
,,Introduction to Control Systems,,,
17,EE3405,Mạch công suất và điện cơ,3,EE1029(KN) EE2409(KN),
,,Power Circuits and Electromechanics,,,
18,EE3407,Trường và sóng điện từ,3,EE2409(KN),
,,Lines Fields and Waves,,,
19,EE3411,Mạch điện tử,3,EE2405(KN) EE2411(KN),
,,Electronic Circuits,,,
,,Nhóm tự chọn B (chọn 6 tín chỉ trong các học phần sau),,,
,,Elective Courses - Group B (Select 6 credits in the group of courses below),,,
20,EE4433,Thiết kế ứng dụng IoT,3,EE3413(KN),
,,IoT Applications Design,,,
21,EE4435,Máy học và ứng dụng,3,EE2015(KN),
,,Machine Learning and Applications,,,
22,EE4437,Mạch và hệ thống siêu cao tần,3,EE3423(KN),
,,Microwave Circuits and Systems,,,
23,EE4439,Hệ thống Viễn thông,3,EE3415(KN),
,,Communication Systems,,,
,,Tốt nghiệp (Graduation),,,
24,EE3375,Thực tập ngoài trường,2,EE2015(KN) EE3407(KN) EE3411(KN) EE3413(KN),
,,Internship,,,
25,EE4377,Đồ án tốt nghiệp,4,EE3375(TQ) EE4405(TQ),
,,Senior Design Project,,,
26,EE4405,Đồ án chuyên ngành,2,EE2421(KN) EE3375(SH) EE3415(KN) EE3423(KN),
,,Capstone Project 2,,,
,,3. Tự chọn tự do: 9 tín chỉ (Free Electives: 9 Credits),,,
,,4. Chứng chỉ (Certification),,,
1,,Giáo dục quốc phòng,,,
,,Military Training,,,
2,,Giáo dục thể chất,,,
,,Physical Education,,,
