STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,I. Các môn bắt buộc (Compulsary Courses),,,
,,Toán và KH Tự nhiên,,,
,,Mathematics and Basic Sciences,,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
8,CH2009,Hóa phân tích,3,,
,,Analytical Chemistry,,,
9,PH1005,Vật lý 2,4,,
,,General Physics 2,,,
,,Chính trị, Kinh tế, Văn hóa, Xã hội,,,
,,Socials and Economics,,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
,,Nhập môn,,,
,,Introduction to Engineering,,,
16,MA1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Con người và môi trường,,,
,,Humans and Environment,,,
17,MA4123,Phát triển bền vững và công nghệ xử lý môi trường,3,,
,,Sustainable Development and Environmental Treatment Technology,,,
,,Ngoại ngữ,,,
,,Foreign Languages,,,
18,LA1003,Anh văn 1,2,,
,,English 1,,,
19,LA1005,Anh văn 2,2,,
,,English 2,,,
20,LA1007,Anh văn 3,2,,
,,English 3,,,
21,LA1009,Anh văn 4,2,,
,,English 4,,,
,,Cơ sở ngành,,,
,,Core Courses,,,
22,CI1003,Vẽ kỹ thuật,3,,
,,Engineering Drawing,,,
23,EE1005,Kỹ thuật điện,3,,
,,Electrical Engineering,,,
24,MA1003,Cơ sở khoa học vật liệu,3,,
,,Fundamentals of Materials Science,,,
25,MA2033,Vật lý chất rắn,3,,
,,Solid State Physics,,,
26,MA2035,Công nghệ vật liệu,3,,
,,Materials Technologies,,,
27,MA2037,Hóa lý - Công nghệ Vật liệu,3,,
,,Physical Chemistry,,,
28,MA3083,Cơ học vật liệu,3,,
,,Mechanical Behavior of Materials,,,
29,MA3101,Truyền nhiệt và truyền khối,3,,
,,Heat Transfer and Mass Transfer,,,
30,MA4065,Đo lường và tự động hóa,3,,
,,Automation and Measurement,,,
,,II. Các môn bắt buộc và tự chọn của chuyên ngành,,,
,,Compulsary and Elective Major Courses,,,
,,II.1 Chuyên ngành: Kỹ thuật Vật liệu Kim loại,,,
,,Speciality: Metallic Materials Engineering,,,
,,Tự chọn tự do (Free Elective),9,,Tối thiểu 9 TC`
,,Free Elective,,,
,,Các môn tự chọn nhóm quản lý (Elective Courses - Management Group),3,,Tối thiểu 3 TC`
,,Elective Courses - Management Group,,,
,,Quản lý,,,
,,Management for Engineers,,,
