STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,I. Toán & Khoa học Tự nhiên (Mathematics and Basic Sciences) [BB],,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
3,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
4,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
5,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
6,PH1005,Vật lý 2,4,PH1003(KN),
,,General Physics 2,,,
7,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
8,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,
9,CH2009,Hóa phân tích,3,,
,,Analytical Chemistry,,,
,,II. Giáo dục chung (Socials and Economics) [BB],,
,,II.1. Kinh tế- Chính trị- Xã hội- Luật (Economics - Politics - Sociology - Law) [BB],,
1,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to VietNamese Law,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
4,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
5,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of VieTNamese Communist Party,,,
6,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
,,II.2. Giáo dục chung khác (Other Knowledge) [BB],,
,,II.2.1. Nhập môn về kỹ thuật (Introduction to Engineering) [BB],,
1,MA1001,Nhập môn Về Kỹ thuật,3,,
,,Introduction to Engineering,,,
,,II.2.2. Tự chọn Quản lý (chọn 3 tín chỉ trong các học phần sau) (Elective Courses - Management for Engineers (Select 3 credits in the group of courses below)) [TC],,
1,IM1013,Kinh tế học Đại cương,3,,
,,Economics,,,
2,IM1027,Kinh tế Kỹ thuật,3,,
,,Engineering Economics,,,
3,IM3001,Quản trị Kinh doanh cho Kỹ sư,3,,
,,Business Administration for Engineers,,,
4,IM1021,Khởi nghiệp,3,,
,,Entrepreneurship,,,
5,IM1025,Quản lý Dự án cho Kỹ sư,3,,
