STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,I. Các môn bắt buộc,,,""
,,Compulsary Courses,,,""
1,MT1003,Giải tích 1,4,,Toán và KH Tự nhiên
,,Calculus 1,,,""
2,MT1005,Giải tích 2,4,,Toán và KH Tự nhiên
,,Calculus 2,,,""
3,MT1007,Đại số tuyến tính,3,,Toán và KH Tự nhiên
,,Linear Algebra,,,""
4,MT2013,Xác suất và thống kê,4,,Toán và KH Tự nhiên
,,Probability and Statistics,,,""
5,CH1003,Hóa đại cương,3,,Toán và KH Tự nhiên
,,General Chemistry,,,""
6,PH1003,Vật lý 1,4,,Toán và KH Tự nhiên
,,General Physics 1,,,""
7,PH1007,Thí nghiệm vật lý,1,,Toán và KH Tự nhiên
,,General Physics Labs,,,""
8,IU2023,Phương pháp tính và lập trình C,3,,Toán và KH Tự nhiên
,,Computational Methods and C Programming,,,""
9,PH1005,Vật lý 2,4,,Toán và KH Tự nhiên
,,General Physics 2,,,""
10,SP1007,Pháp luật Việt Nam đại cương,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Introduction to Vietnamese Law,,,""
11,SP1031,Triết học Mác - Lênin,3,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Marxist - Leninist Philosophy,,,""
12,SP1033,Kinh tế chính trị Mác - Lênin,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Marxist - Leninist Political Economy,,,""
13,SP1035,Chủ nghĩa xã hội khoa học,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Scientific Socialism,,,""
14,SP1037,Tư tưởng Hồ Chí Minh,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Ho Chi Minh Ideology,,,""
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,History of Vietnamese Communist Party,,,""
16,IU1001,Nhập môn về kỹ thuật,3,,Nhập môn
,,Introduction to Engineering,,,""
17,IU4019,An toàn và môi trường trong bảo dưỡng,3,,Con người và môi trường
,,Safety and Environmental Issues in Industrial Maintenance,,,""
18,LA1003,Anh văn 1,2,,Ngoại ngữ
,,English 1,,,""
19,LA1005,Anh văn 2,2,,Ngoại ngữ
,,English 2,,,""
20,LA1007,Anh văn 3,2,,Ngoại ngữ
,,English 3,,,""
21,LA1009,Anh văn 4,2,,Ngoại ngữ
,,English 4,,,""
22,CI2003,Cơ lưu chất,3,,Cơ sở ngành
,,Fluid Mechanics,,,""
23,IU1003,Vẽ kỹ thuật bảo dưỡng,3,,Cơ sở ngành
,,Engineering Drawing for Maintenance,,,""
24,IU1005,Cơ kỹ thuật,3,,Cơ sở ngành
,,Engineering Mechanics,,,""
25,IU2001,Cơ học vật liệu,3,,Cơ sở ngành
,,Mechanics of Materials,,,""
26,IU2003,Mạch điện,3,,Cơ sở ngành
,,Electric Circuits,,,""
27,IU2011,Kỹ thuật điện tử,3,,Cơ sở ngành
,,Electronic Engineering,,,""
28,IU2021,Tổ chức quản lý bảo dưỡng,3,,Cơ sở ngành
,,Maintenance Planning and Management,,,""
29,IU3017,Kỹ thuật số,3,,Cơ sở ngành
,,Digital System Technology,,,""
30,IU3057,Công nghệ cơ khí 1,3,,Cơ sở ngành
,,Mechanical Technology 1,,,""
31,IU3061,Công nghệ cơ khí 2,3,,Cơ sở ngành
,,Mechanical Technology 2,,,""
32,ME2013,Nhiệt động lực học và truyền nhiệt,3,,Cơ sở ngành
,,Thermodynamics and Heat Transfer,,,""
,,II. Các môn bắt buộc và tự chọn của chuyên ngành,,,""
,,Compulsary and Elective Major Courses,,,""
,,II.1 Chuyên ngành: Bảo dưỡng Công nghiệp,,,""
,,Speciality: Industrial Maintenance,,,""
1,,Tự chọn tự do (Tối thiểu 9 TC),9,,
,,Free Elective (Min 9 TC),,,
2,,Các môn tự chọn nhóm (Tối thiểu 3 TC),3,,Quản lý
,,Elective Courses - Group A (Min 3 TC),,,Management for Engineers
3,IU3011,Kỹ thuật lập trình PLC,3,,Chuyên ngành
,,PLC Technology and Programming,,,""
4,IU3059,Công nghệ điện,4,,Chuyên ngành
,,Electrical Technology,,,""
5,IU3063,Công nghệ khí nén,3,,Chuyên ngành
,,Pneumatic Technology,,,""
6,IU3065,Công nghệ cơ khí 3,3,,Chuyên ngành
,,Mechanical Technology 3,,,""
7,IU4015,Công nghệ thủy lực,3,,Chuyên ngành
,,Hydraulic Technology,,,""
8,IU3067,Công nghệ lạnh và điều hòa,3,,Chuyên ngành
,,Air-Condition and Freezing Technology,,,""
9,IU4021,Kỹ thuật bảo trì,3,,Chuyên ngành
,,Maintenance Engineering,,,""
10,IU3325,Thực tập ngoài trường,2,,Tốt nghiệp
,,Internship,,,""
11,IU4013,Đồ án chuyên ngành,2,,Tốt nghiệp
,,Project,,,""
12,IU4327,Đồ án tốt nghiệp,4,,Tốt nghiệp
,,Capstone Project,,,""
,,Các môn tự chọn nhóm,,,""
,,Elective Courses - Group A,,,""
1,IU4023,Khởi nghiệp,3,,
,,Entrepreneurship,,,""
2,IU4025,Chi phí bảo trì,3,,
,,Maintenance Costs,,,""
,,III. Chứng chỉ,,,""
,,Certification,,,""
1,MI1003,Giáo dục quốc phòng,2,,
,,Military Training,,,""
2,PE1003,Giáo dục thể chất 1,2,,
,,Physical Education 1,,,""
3,PE1005,Giáo dục thể chất 2,2,,
,,Physical Education 2,,,""
4,PE1007,Giáo dục thể chất 3,,,
,,Physical Education 3,,,""
