STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,I. Các môn bắt buộc (Compulsary Courses),,,,,
,,Toán và KH Tự nhiên,,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
8,IU2023,Phương pháp tính và lập trình C,3,,
,,Computational Methods and C Programming,,,
9,PH1005,Vật lý 2,4,,
,,General Physics 2,,,
,,"Chính trị, Kinh tế, Văn hóa, Xã hội",,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
,,Nhập môn,,,
16,IU1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Con người và môi trường,,,
17,IU4019,An toàn và môi trường trong bảo dưỡng,3,,
,,Safety and Environmental Issues in Industrial Maintenance,,,
,,Ngoại ngữ,,,
18,LA1003,Anh văn 1,2,,
,,English 1,,,
19,LA1005,Anh văn 2,2,,
,,English 2,,,
20,LA1007,Anh văn 3,2,,
,,English 3,,,
21,LA1009,Anh văn 4,2,,
,,English 4,,,
,,Cơ sở ngành,,,
22,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
23,IU1003,Vẽ kỹ thuật bảo dưỡng,3,,
,,Engineering Drawing for Maintenance,,,
24,IU1005,Cơ kỹ thuật,3,,
,,Engineering Mechanics,,,
25,IU2001,Cơ học vật liệu,3,,
,,Mechanics of Materials,,,
26,IU2003,Mạch điện,3,,
,,Electric Circuits,,,
27,IU2011,Kỹ thuật điện tử,3,,
,,Electronic Engineering,,,
28,IU2021,Tổ chức quản lý bảo dưỡng,3,,
,,Maintenance Planning and Management,,,
29,IU3017,Kỹ thuật số,3,,
,,Digital System Technology,,,
30,IU3057,Công nghệ cơ khí 1,3,,
,,Mechanical Technology 1,,,
31,IU3061,Công nghệ cơ khí 2,3,,
,,Mechanical Technology 2,,,
32,ME2013,Nhiệt động lực học và truyền nhiệt,3,,
,,Thermodynamics and Heat Transfer,,,
,,II. Các môn bắt buộc và tự chọn của chuyên ngành,,,,
,,II.1 Chuyên ngành: Bảo dưỡng Công nghiệp,,,,
,,Quản lý,,,
1,,Tự chọn tự do,9,,(Tối thiểu 9 TC)
,,Free Elective,,,
2,,Các môn tự chọn nhóm A,3,,(Tối thiểu 3 TC)
,,Elective Courses - Group A,,,
,,Chuyên ngành,,,
3,IU3011,Kỹ thuật lập trình PLC,3,,
,,PLC Technology and Programming,,,
4,IU3059,Công nghệ điện,4,,
,,Electrical Technology,,,
5,IU3063,Công nghệ khí nén,3,,
,,Pneumatic Technology,,,
6,IU3065,Công nghệ cơ khí 3,3,,
,,Mechanical Technology 3,,,
7,IU4015,Công nghệ thủy lực,3,,
,,Hydraulic Technology,,,
8,IU3067,Công nghệ lạnh và điều hòa,3,,
,,Air-Conditioning and Freezing Technology,,,
9,IU4021,Kỹ thuật bảo trì,3,,
,,Maintenance Engineering,,,
,,Tốt nghiệp,,,
10,IU3325,Thực tập ngoài trường,2,,
,,Internship,,,
11,IU4013,Đồ án chuyên ngành,2,,
,,Project,,,
12,IU4327,Đồ án tốt nghiệp,4,,
,,Capstone Project,,,
,,Các môn tự chọn nhóm (Elective Courses - Group) A,,,
1,IU4023,Khởi nghiệp,3,,
,,Entrepreneurship,,,
2,IU4025,Chi phí bảo trì,3,,
,,Maintenance Costs,,,
,,III. Chứng chỉ (Certification),,,,
1,,Giáo dục quốc phòng,,,
,,Military Training,,,
2,,Giáo dục thể chất,,,
,,Physical Education,,,
