STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Toán (Mathematics) [BB],,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,
,,Giáo dục quốc phòng (National defense education) [BB],,,
1,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
,,Khoa học tự nhiên (Natural Science) [BB],,,
1,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
2,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
3,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
,,Toán và khoa học tự nhiên khác (Mathematics and other Natural Sciences) [BB],,,
1,IU1011,Vật lý Kỹ thuật Bảo trì,4,PH1003(KN),
,,Physics in Maintenance Engineering,,,
2,IU2031,Phương pháp số và Kỹ thuật lập trình,3,,
,,Numerical Methods and Programming Techniques,,,
,,Kinh tế - Chính trị - Xã hội - Luật (Economics - Politics - Society - Law) [BB],,,
1,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
2,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
3,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
4,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
5,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of VieTNamese Communist Party,,,
6,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to VieTNamese Law,,,
,,Giáo dục chung khác (Other general education) [BB],,,
,,Nhập môn (Introduction to Engineering) [BB],,,
1,IU1001,Nhập môn Về kỹ Thuật,3,,
,,Introduction to Engineering,,,
,,Quản lý cho kỹ sư (Management for engineers) [TC],,,
1,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
,,Entrepreneurship and Innovation,,,
2,ME1019,Quản lý năng suất và chất lượng,3,,
,,Quality and Productivity Management,,,
3,IU4025,Chi phí Bảo trì,3,,
,,Maintenance Costs,,,
4,IU4027,Bảo trì Năng suất Toàn diện,3,,
,,Total Productive Maintenance (TPM),,,
5,ME2173,Các công nghệ 4.0 trong quản lý năng suất và chất lượng,3,,
,,Industry 4.0 technologies in quality and productivity Managem,,,
,,Con người và môi trường (Humans and Environment) [BB],,,
1,IU3105,An toàn và Môi trường trong Bảo trì,3,,
,,Safety and Environment in Maintenance,,,
,,Ngoại ngữ (Foreign Language) [BB],,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
3,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
4,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,Cơ sở ngành (Core) [BB],,,
1,IU1015,Vẽ Kỹ thuật Bảo trì,3,,
,,Engineering Drawing for Maintenance,,,
2,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
3,ME2013,Nhiệt động lực học và Truyền nhiệt,3,,
,,Thermodynamics and Heat Transfer,,,
4,IU2035,Kỹ thuật Điện trong Bảo trì,3,,
,,Electrical Technology in Maintenance,,,
5,IU2001,Cơ học Vật liệu,3,,
,,Mechanics of Materials,,,
6,IU2043,Công nghệ Cơ khí 1,3,,
,,Mechanical Technology 1,,,
7,IU3061,Công nghệ Cơ khí 2,3,,
,,Mechanical Technology 2,,,
8,IU3115,Tổ chức Quản lý Bảo trì,3,,
,,Organization and Management of Maintenance,,,
9,IU2011,Kỹ thuật Điện tử,3,,
,,Electronic Engineering,,,
10,IU3017,Kỹ thuật số,3,,
,,Digital System Technology,,,
11,IU2039,Thực tập Cơ khí,2,,
,,Mechanical Pratice,,,
,,Giáo dục thể chất (Chọn một trong các học phần trong danh mục),,,
1,PE1009,Bóng đá (Học phần 1),0,,
,,Football,,,
2,PE1011,Bóng chuyền (Học phần 1),0,,
,,Volleyball,,,
3,PE1013,Bóng bàn (Học phần 1),0,,
,,Table tennis,,,
4,PE1015,Bóng rổ (Học phần 1),0,,
,,Basketball,,,
5,PE1017,Cầu lông (Học phần 1),0,,
,,Badminton,,,
6,PE1019,Bơi (học Phần 1),0,,
,,Swimming,,,
7,PE1021,Aerobic (học Phần 1),0,,
,,Aerobic,,,
8,PE1025,Điền kinh (Học phần 1),0,,
,,AThletics,,,
9,PE1027,Quần vợt (Học phần 1),0,,
,,Tennis,,,
10,PE1053,Cờ vua (Học phần 1),0,,
,,Chess,,,
11,PE1057,Bowling (học phần 1),0,,
,,Bowling,,,
12,PE1061,Pickleball (học phần 1),0,,
,,Pickleball,,,
,,(Physical Education Part 2 (Select one of the courses in the list)) [BB],,,
1,PE1033,Bóng đá (Học phần 2),0,,
,,Football,,,
2,PE1035,Bóng chuyền (Học phần 2),0,,
,,Volleyball,,,
3,PE1037,Bóng bàn (Học phần 2),0,,
,,Table tennis,,,
4,PE1039,Bóng rổ (Học phần 2),0,,
,,Basketball,,,
5,PE1041,Cầu lông (Học phần 2),0,,
,,Badminton,,,
6,PE1043,Bơi (học Phần 2),0,,
,,Swimming,,,
7,PE1045,Aerobic (học Phần 2),0,,
,,Aerobic,,,
8,PE1049,Điền kinh (học phần 2),0,,
,,Athletics,,,
9,PE1051,Quân vợt (Học phần 2),0,,
,,Tennis,,,
10,PE1055,Cờ vua (học phần 2),0,,
,,Chess,,,
11,PE1059,Bowling (học phần 2),0,,
,,Bowling,,,
12,PE1063,Pickleball (học phần 2),0,,
,,Pickleball,,,
,,Chuyên ngành (Speciality) [BB],,,
1,IU3091,Kỹ thuật Bôi trơn Công nghiệp,3,,
,,Industrial Tribology and Lubrication,,,
