STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,I. Các môn bắt buộc (Compulsary Courses),,,,
1,MT1003,Giải tích 1,4,,Toán và KH Tự nhiên
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,,Toán và KH Tự nhiên
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,Toán và KH Tự nhiên
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,,Toán và KH Tự nhiên
,,Probability and Statistics,,,
5,CH1003,Hóa đại cương,3,,Toán và KH Tự nhiên
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,Toán và KH Tự nhiên
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,Toán và KH Tự nhiên
,,General Physics Labs,,,
8,MT1009,Phương pháp tính,3,,Toán và KH Tự nhiên
,,Numerical Methods,,,
9,PH1005,Vật lý 2,4,,Toán và KH Tự nhiên
,,General Physics 2,,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,History of Vietnamese Communist Party,,,
16,ME1001,Nhập môn về kỹ thuật,3,,Nhập môn
,,Introduction to Engineering,,,
17,ME2019,Môi trường và con người,3,,Con người và môi trường
,,Environment and Human,,,
18,LA1003,Anh văn 1,2,,Ngoại ngữ
,,English 1,,,
19,LA1005,Anh văn 2,2,,Ngoại ngữ
,,English 2,,,
20,LA1007,Anh văn 3,2,,Ngoại ngữ
,,English 3,,,
21,LA1009,Anh văn 4,2,,Ngoại ngữ
,,English 4,,,
22,ME1003,Cơ khí đại cương,3,,Cơ sở ngành
,,General Mechanics,,,
23,ME2065,Công nghệ may 1,3,,Cơ sở ngành
,,Clothing Technology 1,,,
24,ME2101,Cơ học máy,3,,Cơ sở ngành
,,Mechanics of Machines,,,
25,ME2103,Khoa học vật liệu dệt,3,,Cơ sở ngành
,,Science of Textile Materials,,,
26,ME2107,Thí nghiệm kiểm tra phân tích vật liệu dệt,2,,Cơ sở ngành
,,Testing and Experiments of Textile Materials,,,
27,ME3173,Tiếp thị,3,,Cơ sở ngành
,,Logistics Marketing,,,
28,ME4105,CAD-CAM trong dệt may,3,,Cơ sở ngành
,,Application of CAD-CAM in Textiles,,,
29,ME4111,Kiểm định và đánh giá chất lượng hàng dệt may,3,,Cơ sở ngành
,,Audit and Assessment of textiles products,,,
30,ME4125,Công nghệ dệt nhuộm,3,,Cơ sở ngành
,,Textile and Dyeing technology,,,
,,II. Các môn bắt buộc và tự chọn của chuyên ngành (Compulsary and Elective Major Courses),,,,
1,,Tự chọn tự do (Free Elective) (Tối thiểu 9 TC),9,,
2,,Các môn tự chọn nhóm (Elective Courses - Group) A (Tối thiểu 3 TC),3,,Quản lý
3,ME2033,Thực tập kỹ thuật,3,,Chuyên ngành
,,Sewing Technical Practice,,,
4,ME2105,Công nghệ may 2,3,,Chuyên ngành
,,Clothing Technology 2,,,
5,ME2109,Mỹ thuật trang phục,3,,Chuyên ngành
,,Art in Costume Fashion,,,
6,ME3095,Kỹ thuật trang trí trang phục,3,,Chuyên ngành
,,Techniques of Costume Decoration,,,
7,ME3105,Thiết kế đồ họa,3,,Chuyên ngành
,,Graphics Design,,,
8,ME3115,Thiết kế trang phục 2,3,,Chuyên ngành
,,Costume Design 2,,,
9,ME3137,Thiết kế trang phục 1,3,,Chuyên ngành
,,Costume Design 1,,,
10,ME3175,Thiết bị may,3,,Chuyên ngành
,,Sewing Equipment,,,
11,ME3177,Thực tập thiết kế đồ họa,1,,Chuyên ngành
,,Graphics Design Practices,,,
12,ME4123,Thiết kế chuyền,3,,Chuyên ngành
,,Clothing assembly line design,,,
13,ME3133,Thực tập ngoài trường,2,,Tốt nghiệp
,,Internship,,,
14,ME4121,Đồ án ngành 1,2,,Tốt nghiệp
,,Project 1,,,
15,ME4357,Đồ án tốt nghiệp (cn dệt may),4,,Tốt nghiệp
,,Capstone Project,,,
,,Các môn tự chọn nhóm (Elective Courses - Group) A,,,,
1,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
2,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
3,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
4,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
5,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
,,III. Chứng chỉ (Certification),,,,
1,MI1003,Giáo dục quốc phòng,,,
,,Military Training,,,
2,PE1003,Giáo dục thể chất 1,,,
,,Physical Education 1,,,
3,PE1005,Giáo dục thể chất 2,,,
,,Physical Education 2,,,
4,PE1007,Giáo dục thể chất 3,,,
,,Physical Education 3,,,
