STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,1. Kiến thức giáo dục đại cương,,
,,General Knowledge,,
,,Toán,,
,,Mathematics,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
,,Khoa học tự nhiên,,
,,Science,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
,,Toán và KH tự nhiên khác,,
,,Other Mathematics and Science,,
8,ME2091,Phương pháp số,3,,
,,Numerical Analysis,,,
9,PH1005,Vật lý 2,4,PH1003(KN),
,,General Physics 2,,,
,,Kinh tế- Chính trị- Xã hội- Luật,,
,,Economics - Politics - Sociology - Law,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,Giáo dục chung khác,,
,,Other Knowledge,,
,,Nhập môn,,
,,Introduction to Engineering,,
16,ME1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Nhóm Quản lý (chọn 3 tín chỉ trong các học phần sau),,
,,Elective Courses - Management for Engineers (Select 3 credits in the group of courses below),,
17.1,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
17.2,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
17.3,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
17.4,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
17.5,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
,,Con người và môi trường,,
,,Humans and Environment,,
18,ME2019,Môi trường và con người,3,,
,,Environment and Human,,,
,,Ngoại ngữ,,
,,Foreign Language,,
19,LA1003,Anh văn 1,2,,
,,English 1,,,
20,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
21,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
22,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,2. Kiến thức giáo dục chuyên nghiệp,,
,,Professional Knowledge,,
,,Cơ sở ngành,,
,,Core,,
1,CI2001,Sức bền vật liệu,3,,
,,Strength of Materials,,,
2,CO1003,Nhập môn về lập trình,3,,
,,Introduction to Computer Programming,,,
3,ME1005,Thực tập cơ khí đại cương 1,1,,
,,General Mechanical Practice 1,,,
4,ME1015,Nguyên lý máy,4,PH1003(KN),x
,,Kinematics and Dynamics of Machines,,,
5,ME2005,Trang bị điện - điện tử trong máy công nghiệp,4,,x
,,Electrical & Electronic Equipment for Industrial Machinery,,,
6,ME2007,Chi tiết máy,3,,x
,,Machine Elements,,,
7,ME2009,Kỹ thuật điều khiển tự động,3,ME2005(SH),x
,,Control System Technology,,,
8,ME2087,Thực tập cơ khí đại cương 2,2,,
,,General Mechanical Practice 2,,,
9,ME2089,Vẽ kỹ thuật cơ khí,4,,x
,,Mechanical Engineering Drawing,,,
