STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,1. Kiến thức giáo dục đại cương (General Knowledge),,,
,,Toán (Mathematics),,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
,,Khoa học tự nhiên (Science),,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
,,Toán và KH tự nhiên khác (Other Mathematics and Science),,,
8,MT1009,Phương pháp tính,3,MT1003(KN) MT1007(KN),
,,Numerical Methods,,,
9,PH1005,Vật lý 2,4,PH1003(KN),
,,General Physics 2,,,
,,Kinh tế- Chính trị- Xã hội- Luật (Economics - Politics - Sociology - Law),,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,Giáo dục chung khác (Other Knowledge),,,
,,Nhập môn (Introduction to Engineering),,,
16,ME1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Nhóm Quản lý (chọn 3 tín chỉ trong các học phần sau),,,
,,Elective Courses - Management for Engineers (Select 3 credits in the group of courses below),,,
17,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
17.2,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
17.3,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
17.4,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
17.5,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
,,Con người và môi trường (Humans and Environment),,,
18,ME2019,Môi trường và con người,3,,
,,Environment and Human,,,
,,Ngoại ngữ (Foreign Language),,,
19,LA1003,Anh văn 1,2,,
,,English 1,,,
20,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
21,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
22,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,2. Kiến thức giáo dục chuyên nghiệp (Professional Knowledge),,,
,,Cơ sở ngành (Core),,,
1,CI1003,Vẽ kỹ thuật,3,,
,,Engineering Drawing,,,
2,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
3,EE1005,Kỹ thuật điện,3,,
,,Electrical Engineering,,,
4,ME1013,Thực tập cơ khí đại cương 1,2,,
,,General Mechanical Practice 1,,,
5,ME1015,Nguyên lý máy,4,PH1003(KN),
,,Kinematics and Dynamics of Machines,,,
6,ME2099,Nhiệt động lực học kỹ thuật,3,CI2003(KN) PH1003(KN),
,,Engineering Thermodynamics,,,
7,ME2121,Bơm quạt máy nén,3,ME2099(SH),
,,Pumps, Fans and Compressors,,,
8,ME2129,Cơ sở thiết kế máy,3,ME1015(KN),
,,Fundamentals of Machine Design,,,
9,ME3035,Kỹ thuật lạnh,3,ME2099(KN),
,,Refrigeration Engineering,,,
10,ME3147,Truyền nhiệt và thiết bị trao đổi nhiệt,3,CI2003(KN),
,,Heat Transfer and Heat Exchangers,,,
,,Chuyên ngành (Speciality),,,
11,ME3043,Lò hơi và thiết bị đốt,3,ME2099(KN) ME3147(KN),
,,Steam Boilers and Burners,,,
12,ME3149,Thực tập nhiệt đại cương,2,ME2099(KN) ME2121(KN),
,,General Thermal Practice,,,
13,ME3153,Kỹ thuật điều hòa không khí,3,ME3035(KN),
,,Air Conditioning Engineering,,,
14,ME3155,Thực tập kỹ thuật nhiệt lạnh,2,ME3149(KN),
,,Thermal Engineering Workshop,,,
15,ME4073,Năng lượng tái tạo,3,ME2099(KN),
,,Renewable Energy,,,
16,ME4075,Thực hành tính toán mô phỏng trong nhiệt lạnh,1,ME2099(KN) ME3147(KN),
,,Simulation Practice in Thermal Engineering,,,
17,ME4313,Anh văn chuyên ngành,3,LA1003(KN) LA1005(KN),
,,English on Thermal Engineering,,,
,,Nhóm tự chọn A (chọn 2 tín chỉ trong các học phần sau) **,,Elective Courses - Group A (Select 2 credits in the group of courses below) **
18,ME3151,Đồ án thiết kế - hướng thiết bị lạnh,2,ME3035(KN) ME3147(KN),
,,Design Project - Refrigeration Equipment Orientation,,,
19,ME3199,Đồ án thiết kế - hướng thiết bị trao đổi nhiệt,2,ME3035(KN) ME3147(KN),
,,Design Project - Heat Exchanger Orientation,,,
,,Nhóm tự chọn B (chọn 6 tín chỉ trong các học phần sau) **,,Elective Courses - Group B (Select 6 credits in the group of courses below) **
20,ME4015,Trung tâm nhiệt điện,3,ME3043(KN),
,,Thermal Power Center,,,
21,ME4083,Kỹ thuật đo lường trong nhiệt lạnh,3,ME2099(KN),
,,Measurements in Themal Engineering,,,
22,ME4131,Kỹ thuật sấy,3,ME2099(KN),
,,Drying Technology,,,
23,ME4307,Kinh tế năng lượng,3,ME2099(KN),
,,Energy Economy,,,
24,ME4311,Điện trong kỹ thuật lạnh,3,ME3035(KN),
,,Electrical Engineering in Refrigeration Systems,,,
,,Tốt nghiệp (Graduation),,,
25,ME3125,Thực tập ngoài trường,2,,
,,Internship,,,
26,ME4081,Đồ án chuyên ngành,2,ME3043(KN) ME3125(SH) ME3153(KN),
,,Thermal Engineering Project,,,
27,ME4337,Đồ án tốt nghiệp,4,ME3125(TQ) ME4081(TQ),
,,Capstone Project,,,
,,3. Tự chọn tự do: 9 tín chỉ (Free Electives: 9 Credits),,,
,,4. Chứng chỉ (Certification),,,
1,,Giáo dục quốc phòng,,,
,,Military Trainning,,,
2,,Giáo dục thể chất,,,
,,Physical Education,,,
,,Học phần trong nhóm tự chọn ** được quy định cho chuyên ngành (Courses in the Elective Group ** specified for the Speciality),,,
,,** Chuyên ngành: Kỹ thuật Nhiệt lạnh,,,
,,** Speciality: Heat and Refrigeration Engineering,,,
1,ME3151,Đồ án thiết kế - hướng thiết bị lạnh,2,ME3035(KN) ME3147(KN),
,,Design Project - Refrigeration Equipment Orientation,,,
,,Nhóm tự chọn B (chọn 6 tín chỉ trong các học phần sau),,,
,,Elective Courses - Group B (Select 6 credits in the group of courses below),,2 ME4015 Trung tâm nhiệt điện 3 ME3043(KN) Thermal Power Center 3 ME4083 Kỹ thuật đo lường trong nhiệt lạnh 3 ME2099(KN) Measurements in Themal Engineering 4 ME4131 Kỹ thuật sấy 3 ME2099(KN) Drying Technology
