STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,I. Các môn bắt buộc (Compulsary Courses),,,
1,MT1003,Giải tích 1,4,,Toán và KH Tự nhiên
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,,Toán và KH Tự nhiên
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,Toán và KH Tự nhiên
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,,Toán và KH Tự nhiên
,,Probability and Statistics,,,
5,CH1003,Hóa đại cương,3,,Toán và KH Tự nhiên
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,Toán và KH Tự nhiên
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,Toán và KH Tự nhiên
,,General Physics Labs,,,
8,MT1009,Phương pháp tính,3,,Toán và KH Tự nhiên
,,Numerical Methods,,,
9,PH1005,Vật lý 2,4,,Toán và KH Tự nhiên
,,General Physics 2,,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,Chính trị,Kinh tế, Văn hóa, Xã hội
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,History of Vietnamese Communist Party,,,
16,ME1001,Nhập môn về kỹ thuật,3,,Nhập môn
,,Introduction to Engineering,,,
17,ME1009,Quản lý sản xuất,3,,Quản lý
,,Operations Management,,,
18,ME2111,Thiết kế công việc và nhân trắc học,3,,Con người và môi trường
,,Work Design and Ergonomics,,,
19,LA1003,Anh văn 1,2,,Ngoại ngữ
,,English 1,,,
20,LA1005,Anh văn 2,2,,Ngoại ngữ
,,English 2,,,
21,LA1007,Anh văn 3,2,,Ngoại ngữ
,,English 3,,,
22,LA1009,Anh văn 4,2,,Ngoại ngữ
,,English 4,,,
23,ME2045,Kinh tế kỹ thuật,3,,Cơ sở ngành
,,Engineering Economy,,,
24,ME2049,ứng dụng máy tính trong công nghiệp,3,,Cơ sở ngành
,,Computer Applications for Industrial Engineering,,,
25,ME2051,Vận trù học,3,,Cơ sở ngành
,,Operations Research,,,
26,ME2113,Quản lý thu mua,3,,Cơ sở ngành
,,Procurement Management,,,
27,ME2123,Kỹ thuật hệ thống,3,,Cơ sở ngành
,,Systems Engineering,,,
28,ME2125,Quản lý logistics,3,,Cơ sở ngành
,,Management of Business Logistics,,,
29,ME3157,Kỹ thuật dự báo,3,,Cơ sở ngành
,,Forecasting Engineering,,,
30,ME3159,Thực tập đại cương,2,,Cơ sở ngành
,,Professional Practice - Field Trips in Industrial Systems,,,
31,ME3165,Quản lý chuỗi cung ứng,3,,Cơ sở ngành
,,Supply Chain Management,,,
32,ME3167,Thực hành quản lý dự án,2,,Cơ sở ngành
,,Project Management Practice,,,
33,ME3223,Quản lý dự án,3,,Cơ sở ngành
,,Project Management,,,
34,ME3225,Kiểm soát và quản lý chất lượng,3,,Cơ sở ngành
,,Quality Management and Control,,,
,,II. Các môn bắt buộc và tự chọn của chuyên ngành,,,
,,Tự chọn tự do (Free Elective) (Tối thiểu 12 TC),,,
1,ME3253,Hoạch định mặt bằng,3,,Chuyên ngành
,,Facility Planning,,,
2,ME3257,Mô hình ra quyết định trong chuỗi cung ứng,3,,Chuyên ngành
,,Decision Making Models in Supply Chain,,,
3,ME4021,Vận tải hàng hóa,3,,Chuyên ngành
,,Freight Transportation,,,
4,ME4023,Điều độ trong chuỗi cung ứng,3,,Chuyên ngành
,,Planning and Scheduling in Supply Chain,,,
5,ME4025,Quản lý tồn kho trong chuỗi cung ứng,3,,Chuyên ngành
,,The Warehouse & Inventory Management,,,
6,ME4607,Phân tích và thiết kế hệ thống thông tin quản lý,3,,Chuyên ngành
,,Analysis and Design of Management Information System,,,
7,ME3129,Thực tập ngoài trường,2,,Tốt nghiệp
,,Internship,,,
8,ME4103,Đồ án thiết kế hệ thống logistics,2,,Tốt nghiệp
,,Logistics System Design Project,,,
9,ME4377,Đồ án tốt nghiệp (logistics),4,,Tốt nghiệp
,,Capstone Project,,,
,,III. Chứng chỉ (Certification),,,
1,,Giáo dục quốc phòng,,,
,,Military Trainning,,,
2,,Giáo dục thể chất,,,
,,Physical Education,,,
