STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Kiến thức giáo dục đại cương (General Knowledge),,,
,,Toán (Mathematics),,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
,,Khoa học tự nhiên (Science),,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
,,Toán và KH tự nhiên khác (Other Mathematics and Science),,,
8,MT1009,Phương pháp tính,3,MT1003(KN) MT1007(KN),
,,Numerical Methods,,,
9,PH1005,Vật lý 2,4,PH1003(KN),
,,General Physics 2,,,
,,Kinh tế- Chính trị- Xã hội- Luật (Economics - Politics - Sociology - Law),,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,Giáo dục chung khác (Other Knowledge),,,
,,Nhập môn (Introduction to Engineering),,,
16,ME1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Quản lý (Management for Engineers),,,
17,ME3223,Quản lý dự án,3,ME1009(KN),
,,Project Management,,,
,,Con người và môi trường (Humans and Environment),,,
18,ME2111,Thiết kế công việc và nhân trắc học,3,,
,,Work Design and Ergonomics,,,
,,Ngoại ngữ (Foreign Language),,,
19,LA1003,Anh văn 1,2,,
,,English 1,,,
20,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
21,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
22,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,Kiến thức giáo dục chuyên nghiệp (Professional Knowledge),,,
,,Cơ sở ngành (Core),,,
1,ME1009,Quản lý sản xuất,3,,
,,Operations Management,,,
2,ME2045,Kinh tế kỹ thuật,3,,
,,Engineering Economy,,,
3,ME2049,Ứng dụng máy tính trong công nghiệp,3,,
,,Computer Applications for Industrial Engineering,,,
4,ME2051,Vận trù học,3,,
,,Operations Research,,,
5,ME2113,Quản lý thu mua,3,ME2125(KN),
,,Procurement Management,,,
6,ME2123,Kỹ thuật hệ thống,3,ME1009(KN),
,,Systems Engineering,,,
7,ME2125,Quản lý logistics,3,,
,,Management of Business Logistics,,,
8,ME2141,Kỹ thuật dự báo,3,ME2049(KN),
,,Forecasting Engineering,,,
9,ME2143,Thực tập đại cương,2,,
,,Professional Practice - Field Trips in Industrial Systems,,,
10,ME2151,Quản lý chuỗi cung ứng,3,ME2125(KN),
,,Supply Chain Management,,,
11,ME2153,Thực hành quản lý dự án,2,ME3223(SH),
,,Project Management Practice,,,
12,ME2157,Kiểm soát và quản lý chất lượng,3,ME1009(KN),
,,Quality Management and Control,,,
,,Chuyên ngành (Speciality),,,
13,ME3253,Hoạch định mặt bằng,3,,
,,Facility Planning,,,
14,ME3257,Mô hình ra quyết định trong chuỗi cung ứng,3,ME2051(KN),
,,Decision Making Models in Supply Chain,,,
15,ME4021,Vận tải hàng hóa,3,ME2051(KN),
,,Freight Transportation,,,
16,ME4023,Điều độ trong chuỗi cung ứng,3,ME2051(KN),
,,Planning and Scheduling in Supply Chain,,,
17,ME4025,Quản lý tồn kho trong chuỗi cung ứng,3,,
,,Inventory Management in Supply Chain,,,
18,ME4607,Phân tích và thiết kế hệ thống thông tin quản lý,3,,
,,Analysis and Design of Management Information System,,,
,,Tốt nghiệp (Graduation),,,
19,ME3129,Thực tập ngoài trường,2,,
,,Internship,,,
20,ME4103,Đồ án thiết kế hệ thống Logistics,2,ME3129(SH),
,,Logistics System Design Project,,,
21,ME4377,Đồ án tốt nghiệp (Logistics),4,ME3129(TQ) ME4103(TQ),
,,Capstone Project,,,
,,Tự chọn tự do: 12 tín chỉ (Free Electives: 12 Credits),,,
,,Chứng chỉ (Certification),,,
1,,Giáo dục quốc phòng,,,,,
,,Military Trainning,,,,,
2,,Giáo dục thể chất,,,,,
,,Physical Education,,,,,
