STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,I. Các môn bắt buộc,,,
,,Compulsary Courses,,,
1,MT1003,Giải tích 1,4,,X
,,Calculus 1,,,
2,MT1005,Giải tích 2,3,,
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
8,CO1007,Cấu trúc rời rạc cho khoa học máy tính,4,,
,,Discrete Structures for Computing,,,
9,CO2011,Mô hình hóa toán học,3,,
,,Mathematical Modeling,,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
16,CO1005,Nhập môn điện toán,3,,
,,Introduction to Computing,,,
17,CO2001,Kỹ năng chuyên nghiệp cho kỹ sư,3,,
,,Professional Skills for Engineers,,,
18,LA1003,Anh văn 1,2,,
,,English 1,,,
19,LA1005,Anh văn 2,2,,
,,English 2,,,
20,LA1007,Anh văn 3,2,,
,,English 3,,,
21,LA1009,Anh văn 4,2,,
,,English 4,,,
22,CO1023,Hệ thống số,3,,
,,Digital Systems,,,
23,CO1027,Kỹ thuật lập trình,3,,
,,Programming Fundamentals,,,
24,CO2003,Cấu trúc dữ liệu và giải thuật,4,,X
,,Data Structures and Algorithms,,,
25,CO2007,Kiến trúc máy tính,4,,X
,,Computer Architecture,,,
26,CO2013,Hệ cơ sở dữ liệu,4,,X
,,Database Systems,,,
27,CO2039,Lập trình nâng cao,3,,X
,,Advanced Programming,,,
,,II. Các môn bắt buộc và tự chọn của chuyên ngành,,,
,,Compulsary and Elective Major Courses,,,
,,II.1 Chuyên ngành: Công nghệ Dữ liệu Bảo mật và Trí tuệ Kinh doanh,,,
,,Speciality: Data, Security Engineering and Business Intelligence Data Engineering,,,
1,,Tự chọn tự do (Free Elective) (Tối thiểu 9 TC),9,,
2,,Các môn tự chọn nhóm (Elective Courses - Group) A (Tối thiểu 1 TC),1,,
3,,Các môn tự chọn nhóm (Elective Courses - Group) B (Tối thiểu 1 TC),1,,
4,,Các môn tự chọn nhóm (Elective Courses - Group) C (Tối thiểu 15 TC),15,,
5,,Các môn tự chọn nhóm (Elective Courses - Group) D (Tối thiểu 3 TC),3,,
6,CO2017,Hệ điều hành,3,,X
,,Operating Systems,,,
7,CO3001,Công nghệ phần mềm,3,,X
,,Software Engineering,,,
8,CO3005,Nguyên lý ngôn ngữ lập trình,4,,X
,,Principles of Programming Languages,,,
9,CO3093,Mạng máy tính,3,,X
,,Computer Networks,,,
10,CO3335,Thực tập ngoài trường,2,,
,,Internship,,,
11,CO4029,Đồ án chuyên ngành,2,,X
,,Specialized Project,,,
12,CO4337,Đồ án tốt nghiệp (Khoa học Máy tính),4,,
,,Capstone Project,,,
,,Các môn tự chọn nhóm (Elective Courses - Group) A,,,
1,CO3101,Đồ án tổng hợp - hướng trí tuệ nhân tạo,1,,X
,,Programming Intergration Project,,,
2,CO3103,Đồ án tổng hợp - hướng công nghệ phần mềm,1,,X
,,Programming Intergration Project,,,
3,CO3105,Đồ án tổng hợp - hướng hệ thống thông tin,1,,X
,,Programming Intergration Project,,,
,,Các môn tự chọn nhóm (Elective Courses - Group) B,,,
1,CO3107,Thực tập đồ án môn học đa ngành - hướng trí tuệ nhân tạo,1,,X
,,Multidisciplinary Project,,,
2,CO3109,Thực tập đồ án môn học đa ngành - hướng công nghệ phần mềm,1,,X
,,Multidisciplinary Project,,,
3,CO3111,Thực tập đồ án môn học đa ngành - hướng hệ thống thông tin,1,,X
,,Multidisciplinary Project,,,
,,Các môn tự chọn nhóm (Elective Courses - Group) C,,,
1,CO3021,Hệ quản trị cơ sở dữ liệu,3,,
,,Database Management Systems,,,
2,CO3023,Cơ sở dữ liệu phân tán và hướng đối tượng,3,,
,,Distributed and Object-Oriented Databases,,,
3,CO3027,Thương mại điện tử,3,,
,,Electronic Commerce,,,
4,CO3029,Khai phá dữ liệu,3,,
,,Data Mining,,,
5,CO3033,Bảo mật hệ thống thông tin,3,,
,,Information System Security,,,
6,CO3115,Phân tích và thiết kế hệ thống,3,,
,,Systems Analysis and Design,,,
7,CO4031,Kho dữ liệu và hệ hỗ trợ quyết định,3,,
,,Data Warehouses and Decision Support Systems,,,
8,CO4033,Phân tích dữ liệu lớn và trí tuệ kinh doanh,3,,
,,Big Data Analytics and Business Intelligence,,,
9,CO4035,Hệ hoạch định tài nguyên tổ chức,3,,
,,Enterprise Resource Planning Systems,,,
10,CO4037,Hệ thống thông tin quản lý,3,,
,,Management Information Systems,,,
11,CO4039,Bảo mật sinh trắc,3,,
,,Biometric Security,,,
,,Các môn tự chọn nhóm (Elective Courses - Group) D,,,
1,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
2,IM1023,Quản lý sản xuất cho kỹ sư,3,,
