STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,1. Kiến thức giáo dục đại cương (General Knowledge),,,
,,Toán (Mathematics),,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,"MT1003(KN);MT1007(KN)",
,,Probability and Statistics,,,
,,Khoa học tự nhiên (Science),,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
,,Toán và KH tự nhiên khác (Other Mathematics and Science),,,
8,CO1007,Cấu trúc rời rạc cho khoa học máy tính,4,,
,,Discrete Structures for Computing,,,
9,CO2011,Mô hình hóa toán học,3,CO1007(KN),
,,Mathematical Modeling,,,
,,Kinh tế- Chính trị- Xã hội- Luật (Economics - Politics - Sociology - Law),,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,Giáo dục chung khác (Other Knowledge),,,
,,Nhập môn (Introduction to Engineering),,,
16,CO1005,Nhập môn điện toán,3,,
,,Introduction to Computing,,,
,,Nhóm Quản lý (chọn 3 tín chỉ trong các học phần sau),,,
,,Elective Courses - Management for Engineers (Select 3 credits in the group of courses below),,,
17.1,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
17.2,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
17.3,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
17.4,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
17.5,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
,,Con người và môi trường (Humans and Environment),,,
18,CO2001,Kỹ năng chuyên nghiệp cho kỹ sư,3,,
,,Professional Skills for Engineers,,,
,,Ngoại ngữ (Foreign Language),,,
19,LA1003,Anh văn 1,2,,
,,English 1,,,
20,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
21,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
22,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,2. Kiến thức giáo dục chuyên nghiệp (Professional Knowledge),,,
,,Cơ sở ngành (Core),,,
1,CO1023,Hệ thống số,3,,
,,Digital Systems,,,
2,CO1027,Kỹ thuật lập trình,3,,
,,Programming Fundamentals,,,
3,CO2003,Cấu trúc dữ liệu và giải thuật,4,"CO1007(KN) CO1027(KN)",X
,,Data Structures and Algorithms,,,
4,CO2007,Kiến trúc máy tính,4,"CO1005(KN) CO1023(KN)",X
,,Computer Architecture,,,
5,CO2013,Hệ cơ sở dữ liệu,4,,X
,,Database Systems,,,
6,CO2039,Lập trình nâng cao,3,,X
,,Advanced Programming,,,
,,Chuyên ngành (Speciality),,,
7,CO2017,Hệ điều hành,3,,X
,,Operating Systems,,,
8,CO3001,Công nghệ phần mềm,3,,X
,,Software Engineering,,,
9,CO3005,Nguyên lý ngôn ngữ lập trình,4,CO2003(TQ),X
,,Principles of Programming Languages,,,
10,CO3093,Mạng máy tính,3,,X
,,Computer Networks,,,
,,Nhóm tự chọn A (chọn 1 tín chỉ trong các học phần sau),,,
,,Elective Courses - Group A (Select 1 credits in the group of courses below),,,
11,CO3101,Đồ án tổng hợp - hướng trí tuệ nhân tạo,1,,X
,,Programming Integration Project,,,
12,CO3103,Đồ án tổng hợp - hướng công nghệ phần mềm,1,,X
,,Programming Integration Project,,,
13,CO3105,Đồ án tổng hợp - hướng hệ thống thông tin,1,,X
,,Programming Integration Project,,,
,,Nhóm tự chọn B (chọn 1 tín chỉ trong các học phần sau),,,
,,Elective Courses - Group B (Select 1 credits in the group of courses below),,,
14,CO3107,Thực tập đồ án môn học đa ngành - hướng trí tuệ nhân tạo,1,,X
,,Multidisciplinary Project,,,
15,CO3109,Thực tập đồ án môn học đa ngành - hướng công nghệ phần mềm,1,,X
,,Multidisciplinary Project,,,
16,CO3111,Thực tập đồ án môn học đa ngành - hướng hệ thống thông tin,1,,X
,,Multidisciplinary Project,,,
,,Nhóm tự chọn C (chọn 15 tín chỉ trong các học phần sau) **, ,,,
,,Elective Courses - Group C (Select 15 credits in the group of courses below) **, ,,,
17,CO3011,Quản lý dự án phần mềm,3,,
,,Software Project Management,,,
18,CO3013,Xây dựng chương trình dịch,3,,
,,Compiler Construction,,,
19,CO3015,Kiểm tra phần mềm,3,CO1027(TQ),
,,Software Testing,,,
20,CO3017,Kiến trúc phần mềm,3,CO3001(KN),
,,Software Architecture,,,
21,CO3021,Hệ quản trị cơ sở dữ liệu,3,CO2013(KN),
,,Database Management Systems,,,
22,CO3023,Cơ sở dữ liệu phân tán và hướng đối tượng,3,,
,,Distributed and Object-Oriented Databases,,,
23,CO3027,Thương mại điện tử,3,,
,,Electronic Commerce,,,
24,CO3029,Khai phá dữ liệu,3,,
,,Data Mining,,,
25,CO3031,Phân tích và thiết kế giải thuật,3,CO2003(KN),
,,Algorithms-Design and Analysis,,,
26,CO3033,Bảo mật hệ thống thông tin,3,CO2013(KN),
,,Information System Security,,,
27,CO3035,Hệ thời gian thực,3,,
,,Real-Time Systems,,,
28,CO3037,Phát triển ứng dụng internet of things,3,,
,,Internet of Things Application Development,,,
29,CO3041,Hệ thống thông minh,3,,
,,Intelligent Systems,,,
30,CO3043,Phát triển ứng dụng trên thiết bị di động,3,,
,,Mobile Application Development,,,
31,CO3045,Lập trình game,3,,
,,Game Programming,,,
32,CO3047,Mạng máy tính nâng cao,3,,
,,Advanced Computer Networks,,,
33,CO3049,Lập trình web,3,,
,,Web Programming,,,
34,CO3051,Hệ thống thiết bị di động,3,,
,,Mobile Systems,,,
35,CO3057,Xử lý ảnh số và thị giác máy tính,3,,
,,Digital Image Processing and Computer Vision,,,
36,CO3059,Đồ họa máy tính,3,,
,,Computer Graphics,,,
37,CO3061,Nhập môn trí tuệ nhân tạo,3,,
,,Introduction to Artificial Intelligence,,,
38,CO3065,Công nghệ phần mềm nâng cao,3,,
,,Advanced Software Engineering,,,
39,CO3067,Tính toán song song,3,,
,,Parallel Computing,,,
40,CO3069,Mật mã và an ninh mạng,3,,
,,Cryptography and Network Security,,,
41,CO3071,Hệ phân bố,3,,
,,Distributed Systems,,,
42,CO3083,Mật mã học và mã hóa thông tin,3,,
,,Advance Cryptography and Coding Theory,,,
43,CO3085,Xử lý ngôn ngữ tự nhiên,3,,
,,Natural Language Processing,,,
44,CO3089,Những chủ đề nâng cao trong khoa học máy tính,3,,
,,Selected Topics in High Performance Computing,,,
45,CO3115,Phân tích và thiết kế hệ thống,3,,
,,Systems Analysis and Design,,,
46,CO3117,Học máy,3,,
,,Machine Learning,,,
47,CO4025,Mạng xã hội và thông tin,3,,
,,Information and Social Networks,,,
48,CO4031,Kho dữ liệu và hệ hỗ trợ quyết định,3,CO2013(KN),
,,Data Warehouses and Decision Support Systems,,,
49,CO4033,Phân tích dữ liệu lớn và trí tuệ kinh doanh,3,,
,,Big Data Analytics and Business Intelligence,,,
