STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,A. Các môn bắt buộc (Compulsary Courses) [BB],,,
,,A1. Toán và Khoa học Tự nhiên (Mathematics and Basic Sciences) [BB],30,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
8,CO1007,Cấu trúc Rời rạc cho Khoa học Máy tính,4,,
,,Discrete Structures for Computing,,,
9,CO2011,Mô hình hóa Toán học,3,CO1007(KN),
,,MaThematical Modeling,,,
,,A2. Chính trị, Kinh tế, Văn hóa, Xã hội (Socials and Economics) [BB],13,,
1,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to VietNamese Law,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
4,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
5,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
6,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of VieTNamese Communist Party,,,
,,A3. Nhập môn, Con người và môi trường (Introduction to Engineering, Humans and Environment) [BB],6,,
1,CO1005,Nhập môn Điện toán,3,,
,,Introduction to Computing,,,
2,CO2001,Kỹ năng Chuyên nghiệp cho Kỹ sư,3,CO1005(TQ),
,,Professional Skills for Engineers,,,
,,A4. Ngoại ngữ (Foreign Languages) [BB],8,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
3,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
4,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,A5. Cơ sở ngành (Core Courses) [BB],21,,
1,CO1023,Hệ thống số,3,,
,,Digital Systems,,,
2,CO1027,Kỹ thuật Lập trình,3,,
,,Programming Fundamentals,,,
3,CO2003,Cấu trúc Dữ liệu và Giải Thuật,4,CO1027(KN) CO1007(KN),X
,,Data Structures and AlgoriThms,,,
4,CO2007,Kiến trúc Máy tính,4,CO1005(KN),X
,,Computer Architecture,,,
5,CO2013,Hệ cơ sở Dữ liệu,4,,X
,,Database Systems,,,
6,CO2039,Lập trình Nâng cao,3,,X
,,Advanced Programming,,,
7,CO2017,Hệ điều hành,3,,X
,,Operating Systems,,,
,,A6. Giáo dục thể chất (chưa có) [BB],0,,
1,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
2,PE1005,Giáo dục thể chất 2,0,PE1003(HT),
,,Physical Education 2,,,
,,A7. Giáo dục quốc phòng (chưa có) [BB],0,,
1,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
,,B. Các môn thuộc chuyên ngành (Specialized Subjects) [BB],33,,
,,B1. Chuyên ngành: Công nghệ Dữ liệu Bảo mật và Trí tuệ Kinh doanh (Speciality: Data, Security Engineering and Business Intelligence Data Engineering) [BB],33,,
,,B1.1. Các môn bắt buộc (Compulsory subjects) [BB],13,,
1,CO3001,Công nghệ Phần mềm,3,CO1027(KN),X
,,Software Engineering,,,
2,CO3005,Nguyên lý Ngôn ngữ Lập trình,4,CO1027(TQ),X
,,Principles of Programming Languages,,,
3,CO3093,Mạng máy tính,3,,X
,,Computer Networks,,,
,,B1.2. Các môn tự chọn nhóm A (Elective Courses - Group A) [TC],1,,
1,CO3101,Đồ án Tổng hợp - Hướng Trí tuệ Nhân tạo,1,,X
,,Programming Intergration Project,,,
2,CO3103,Đồ án Tổng hợp - hướng Công nghệ Phần mềm,1,,X
,,Programming Intergration Project,,,
3,CO3105,Đồ án Tổng hợp - Hướng Hệ thống Thông tin,1,,X
,,Programming Intergration Project,,,
4,CO3119,Đồ án Mạng máy tính,1,,X
,,Computer Networks Project,,,
5,CO3127,Đồ án tổng hợp - hướng kỹ thuật dữ liệu,1,,X
,,Programming Intergration Project - Data Engineering,,,
,,B1.3. Các môn tự chọn nhóm B (Elective Courses - Group B ) [TC],1,,
1,CO3107,Thực tập Đồ án môn học Đa ngành - Hướng Trí tuệ Nhân tạo,1,,X
,,Multidisciplinary Project,,,
2,CO3109,Thực tập Đồ án môn học Đa ngành - Hướng công Nghệ phần mềm,1,,X
,,Multidisciplinary Project,,,
3,CO3111,Thực tập Đồ án môn học Đa ngành - hướng Hệ thống Thông tin,1,,X
,,Multidisciplinary Project,,,
,,B1.4. Các môn tự chọn nhóm C (Elective Courses - Group C) [TC],15,,
1,CO3021,Hệ Quản trị Cơ sở Dữ Liệu,3,CO2013(KN),
,,Database Management Systems,,,
2,CO3023,Cơ sở Dữ liệu Phân tán và Hướng đối tượng,3,,
,,Distributed and Object-Oriented Databases,,,
3,CO3027,Thương mại Điện tử,3,,
,,Electronic Commerce,,,
4,CO3029,Khai phá Dữ liệu,3,,
,,Data Mining,,,
5,CO3033,Bảo mật Hệ thống Thông tin,3,CO2013(KN),
,,Information System Security,,,
6,CO3115,Phân tích và Thiết kế Hệ thống,3,,
,,Systems Analysis and Design,,,
7,CO4031,Kho dữ Liệu và Hệ hỗ trợ Quyết định,3,CO2013(KN),
,,Data Warehouses and Decision Support Systems,,,
8,CO4033,Phân tích Dữ liệu lớn và Trí tuệ Kinh doanh,3,,
,,Big Data Analytics and Business Intelligence,,,
9,CO4035,Hệ hoạch Định tài Nguyên tổ chức,3,CO2013(KN),
,,Enterprise Resource Planning Systems,,,
10,CO4039,Bảo mật sinh trắc,3,,
,,Biometric Security,,,
11,CO3129,Bảo mật Phần mềm,3,,
,,Software Security,,,
12,CO3137,Dữ liệu lớn,3,CO2017(KN),
,,Big Data,,,
13,CO3139,Chuyển đổi số,3,,
,,Digital transformation,,,
,,B1.5. Các môn tự chọn nhóm D (Elective Courses - Group D) [TC],3,,
1,IM1013,Kinh tế học Đại cương,3,,
,,Economics,,,
2,IM1023,Quản lý Sản xuất cho Kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
3,IM1025,Quản lý Dự án cho Kỹ sư,3,,
,,Project Management for Engineers,,,
4,IM1027,Kinh tế Kỹ thuật,3,,
,,Engineering Economics,,,
5,IM3001,Quản trị Kinh doanh cho Kỹ sư,3,,
,,Business Administration for Engineers,,,
,,B2. Chuyên ngành: Công nghệ Phần mềm (Speciality: Advanced Software Engineering) [BB],33,,
,,B2.1. Các môn bắt buộc (Compulsory subjects) [BB],13,,
1,CO3001,Công nghệ Phần mềm,3,CO1027(KN),X
,,Software Engineering,,,
2,CO3005,Nguyên lý Ngôn ngữ Lập trình,4,CO1027(TQ),X
,,Principles of Programming Languages,,,
3,CO3093,Mạng máy tính,3,,X
,,Computer Networks,,,
,,B2.2. Các môn tự chọn nhóm A (Elective Courses - Group A) [TC],1,,
1,CO3101,Đồ án Tổng hợp - Hướng Trí tuệ Nhân tạo,1,,X
,,Programming Intergration Project,,,
2,CO3103,Đồ án Tổng hợp - hướng Công nghệ Phần mềm,1,,X
,,Programming Intergration Project,,,
3,CO3105,Đồ án Tổng hợp - Hướng Hệ thống Thông tin,1,,X
,,Programming Intergration Project,,,
4,CO3119,Đồ án Mạng máy tính,1,,X
,,Computer Networks Project,,,
