STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,I. Các môn bắt buộc (Compulsary Courses),,,,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,
2,MT1005,Giải tích 2,4,,
,,Calculus 2,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,
4,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,
8,CO1007,Cấu trúc rời rạc cho khoa học máy tính,4,,
,,Discrete Structures for Computing,,
9,CO2011,Mô hình hóa toán học,3,,
,,Mathematical Modeling,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,
16,CO1005,Nhập môn điện toán,3,,
,,Introduction to Computing,,
17,CO2001,Kỹ năng chuyên nghiệp cho kỹ sư,3,,
,,Professional Skills for Engineers,,
18,LA1003,Anh văn 1,2,,
,,English 1,,
19,LA1005,Anh văn 2,2,,
,,English 2,,
20,LA1007,Anh văn 3,2,,
,,English 3,,
21,LA1009,Anh văn 4,2,,
,,English 4,,
22,CO1023,Hệ thống số,3,,
,,Digital Systems,,
23,CO1025,Thiết kế luận lý với hdl,3,,
,,Logic Design with HDL,,
24,CO1027,Kỹ thuật lập trình,3,,
,,Programming Fundamentals,,
25,CO2003,Cấu trúc dữ liệu và giải thuật,4,,,X
,,Data Structures and Algorithms,,,
26,CO2007,Kiến trúc máy tính,4,,,X
,,Computer Architecture,,,
27,CO2037,Mạch điện - điện tử,4,,,X
,,Electrical Electronic Circuits,,,
,,II.1 Chuyên ngành: Hệ thống tính toán hiện đại (Speciality: Modern Computing Systems),,,,,
,,Tự chọn tự do (Free Elective) (Tối thiểu 9 TC),9,,
,,Free Elective,,
,,Các môn tự chọn nhóm (Elective Courses - Group) A (Tối thiểu 1 TC),1,,
,,Elective Courses - Group A,,
,,Các môn tự chọn nhóm (Elective Courses - Group) B (Tối thiểu 6 TC),6,,
,,Elective Courses - Group B,,
,,Các môn tự chọn nhóm (Elective Courses - Group) C (Tối thiểu 3 TC),3,,
,,Elective Courses - Group C,,
5,CO2017,Hệ điều hành,3,,,X
,,Operating Systems,,,
6,CO3001,Công nghệ phần mềm,3,,
,,Software Engineering,,,
7,CO3007,Đánh giá hiệu năng hệ thống,3,,,X
,,System Performance Evaluation,,,
8,CO3009,Vi xử lý - vi điều khiển,3,,,X
,,Microprocessors-Microcontrollers,,,
9,CO3053,Hệ thống nhúng,3,,,X
,,Embedded System,,,
10,CO3091,Đồ án môn học thiết kế luận lý,2,,
,,Logic Design Project,,,
11,CO3093,Mạng máy tính,3,,,X
,,Computer Networks,,,
12,CO3097,Thiết kế vi mạch,3,,,X
,,LSI Logic Design,,,
13,CO3345,Thực tập ngoài trường,2,,
,,Internship,,,
14,CO4041,Đồ án môn học kỹ thuật máy tính,2,,,X
,,Computer Engineering Project,,,
15,CO4347,Đồ án tốt nghiệp (Kỹ thuật Máy tính),4,,
,,Capstone Project,,,
,,Các môn tự chọn nhóm (Elective Courses - Group) A,,,
1,CO3107,Thực tập đồ án môn học đa ngành - hướng trí tuệ nhân tạo,1,,
,,Multidisciplinary Project,,,
2,CO3109,Thực tập đồ án môn học đa ngành - hướng công nghệ phần mềm,1,,
,,Multidisciplinary Project,,,
3,CO3111,Thực tập đồ án môn học đa ngành - hướng hệ thống thông tin,1,,
,,Multidisciplinary Project,,,
,,Các môn tự chọn nhóm (Elective Courses - Group) B,,,
1,CO2035,Xử lý tín hiệu số,3,,
,,Digital Signal Processing,,,
2,CO3035,Hệ thời gian thực,3,,
,,Real-Time Systems,,,
3,CO3071,Hệ phân bố,3,,
,,Distributed Systems,,,
4,CO3117,Học máy,3,,
,,Machine Learning,,,
,,Các môn tự chọn nhóm (Elective Courses - Group) C,,,
1,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
2,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
3,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
4,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
5,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
II.2 Chuyên ngành: Internet vạn vật và An ninh mạng (Speciality: IoTs and Network Security),,,,,
,,Tự chọn tự do (Free Elective) (Tối thiểu 9 TC),9,,
,,Free Elective,,
,,Các môn tự chọn nhóm (Elective Courses - Group) A (Tối thiểu 1 TC),1,,
,,Elective Courses - Group A,,
,,Các môn tự chọn nhóm (Elective Courses - Group) B (Tối thiểu 6 TC),6,,
,,Elective Courses - Group B,,
,,Các môn tự chọn nhóm (Elective Courses - Group) C (Tối thiểu 3 TC),3,,
,,Elective Courses - Group C,,
5,CO2017,Hệ điều hành,3,,,X
,,Operating Systems,,,
