STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,A1. Toán (Mathematics) [BB],15,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,
,,A2. Khoa học tự nhiên (Sciences) [BB],8,,
1,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
2,PH1005,Vật lý 2,4,PH1003(KN),
,,General Physics 2,,,
,,A3. Toán và Khoa học tự nhiên khác (Other Mathematics and Sciences) [BB],7,,
1,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
2,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
3,MT1009,Phương pháp tính,3,MT1003(KN),
,,Numerical Methods,,,
,,B. Kinh tế Chính trị Xã hội Luật (Economy Politics Society Law) [BB],13,,
1,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to Vietnamese Law,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
4,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
5,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
6,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,C. Nhập môn (Introductory) [BB],3,,
1,AS1001,Nhập môn Về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,D. Con người và môi trường (Human and Environment) [BB],3,,
1,EN1003,Con người và Môi trường,3,,
,,Humans and The Environment,,,
,,E. Giáo dục quốc phòng (Military Training) [BB],0,,
1,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
,,F. Giáo dục thể chất (Physical Education) [BB],0,,
,,F1. Giáo dục thể chất (Physical Education Session 1) [TC],0,,
1,PE1009,Bóng đá,0,,
,,Football,,,
2,PE1011,Bóng chuyền,0,,
,,Volleyball,,,
3,PE1013,Bóng bàn,0,,
,,Table tennis,,,
4,PE1015,Bóng rổ,0,,
,,Basketball,,,
5,PE1017,Cầu lông,0,,
,,Badminton,,,
6,PE1019,Bơi,0,,
,,Swimming,,,
7,PE1021,Aerobic,0,,
,,Aerobic,,,
8,PE1025,Điền kinh,0,,
,,Athletics,,,
9,PE1027,Quần vợt,0,,
,,Tennis,,,
10,PE1053,Cờ vua,0,,
,,Chess,,,
11,PE1057,Bowling,0,,
,,Bowling,,,
12,PE1061,Pickleball,0,,
,,Pickleball,,,
,,F2. Giáo dục thể chất (Physical Education Session 2) [TC],0,,
1,PE1033,Bóng đá,0,,
,,Football,,,
2,PE1035,Bóng chuyền,0,,
,,Volleyball,,,
3,PE1037,Bóng bàn,0,,
,,Table tennis,,,
4,PE1039,Bóng rổ,0,,
,,Basketball,,,
5,PE1041,Cầu lông,0,,
,,Badminton,,,
6,PE1043,Bơi,0,,
,,Swimming,,,
7,PE1045,Aerobic,0,,
,,Aerobic,,,
8,PE1049,Điền kinh,0,,
,,Athletics,,,
9,PE1051,Quần vợt,0,,
,,Tennis,,,
10,PE1055,Cờ vua,0,,
,,Chess,,,
11,PE1059,Bowling,0,,
,,Bowling,,,
12,PE1063,Pickleball,0,,
,,Pickleball,,,
,,G. Ngoại ngữ (Foreign language) [BB],8,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
3,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
4,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,H. Cơ sở ngành (Fundamental subjects) [BB],27,,
1,CI1003,Vẽ kỹ thuật,3,,X
,,Engineering Drawing,,,
2,AS1003,Cơ lý thuyết,3,,X
,,Engineering Mechanics,,,
3,AS2003,Kỹ thuật Lập trình Cơ Kỹ thuật,3,,X
,,Programming for Engineerings,,,
4,AS2013,CAD Ứng dụng,3,,X
,,Applied CAD,,,
5,AS2011,Lý Thuyết Đàn hồi,3,,X
,,Theory of Elasticity,,,
6,AS2055,Cơ kỹ thuật đại cương,3,,
,,General Engineering Mechanics,,,
7,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
8,ME2013,Nhiệt động lực học và Truyền nhiệt,3,,
,,Thermodynamics and Heat Transfer,,,
,,I. Kiến thức chuyên ngành (Specialized subjects) [BB],25,,
1,AS3147,Cơ học Vật rắn Biến dạng,3,,X
,,Solid Mechanics,,,
2,AS3061,Dao động Cơ sở,3,AS1003(KN),X
,,Fundamentals of Vibrations,,,
3,AS3169,Thiết kế kỹ thuật,3,,X
,,Engineering Design,,,
4,AS3153,Thực tập cơ kỹ thuật,2,,
,,Engineering Mechanics Workshop,,,
5,AS3015,Phương pháp Phần tử hữu hạn Cơ kỹ thuật,3,AS2011(KN),X
,,Finite Element Method in Engineering Mechanics,,,
6,AS3171,Đồ án môn học - thiết kế kỹ thuật,2,,
,,Project of Engineering Design,,,
7,AS3149,Ảnh dụng các phần mềm trong tính toán cơ học,3,,
,,Software Application in Computational Mechanics,,,
8,AS3029,Lý thuyết dẻo Kỹ thuật,3,AS2011(KN),X
,,Theory of Engineering Plasticity,,,
9,AS3097,Ứng xử Cơ học vật liệu,3,AS2011(KN),X
,,Mechanical Behavior of Materials,,,
10,AS3035,Tính toán Động lực học lưu chất,3,,X
,,Computational Fluid Dynamics,,,
,,J. Tốt nghiệp (Graduation) [BB],8,,
1,AS3335,Thực tập Ngoài trường,2,,
,,Internship,,,
2,AS4007,Đồ án Chuyên ngành Cơ kỹ thuật,2,,X
,,Coursework - Engineering Mechanics,,,
