STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,"I. Các môn bắt buộc (Compulsary Courses )",,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
8,MT1009,Phương pháp tính,3,,
,,Numerical Methods,,,
9,PH1005,Vật lý 2,4,,
,,General Physics 2,,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
16,AS1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
17,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
18,LA1003,Anh văn 1,2,,
,,English 1,,,
19,LA1005,Anh văn 2,2,,
,,English 2,,,
20,LA1007,Anh văn 3,2,,
,,English 3,,,
21,LA1009,Anh văn 4,2,,
,,English 4,,,
22,AS2001,Cơ học ứng dụng,3,,
,,Applied Mechanics,,,
23,AS2009,Cơ sở cơ học lượng tử - vật lý chất rắn,3,,
,,Fundamentals of Quantum Mechanics and Solid States Physics,,,
24,AS2033,Cảm biến và kỹ thuật đo lường,3,,
,,Sensors and Measurement Techniques,,,
25,AS2039,Cơ sở vật lý hạt nhân và ứng dụng,3,,
,,Fundamentals of Nuclear Physics and Applications,,,
26,AS3025,Quang học kỹ thuật và ứng dụng,3,,
,,Engineering Optics and Applications,,,
27,CH2027,Sinh học đại cương,3,,
,,General Biology,,,
28,CI1003,Vẽ kỹ thuật,3,,
,,Engineering Drawing,,,
29,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
30,EE2011,Kỹ thuật điện-điện tử,3,,
,,Electrical and Electronics Engineering,,,
31,PH2003,Tin học vật lý kỹ thuật,3,,
,,Informatics for Engineering Physics,,,
,,"II. Các môn bắt buộc và tự chọn của chuyên ngành",,,
,,"Compulsary and Elective Major Courses",,,
,,"II.1 Chuyên ngành: Kỹ thuật Y sinh",,,
,,"Speciality: Biomedical Engineering",,,
1,,Tự chọn tự do (Free Elective) (Tối thiểu 9 TC),9,,
2,,Các môn tự chọn nhóm (Elective Courses - Group) E (Tối thiểu 3 TC),3,,
3,,Các môn tự chọn nhóm (Elective Courses - Group) F (Tối thiểu 3 TC),3,,
4,AS2045,Đồ án thiết kế cơ sở,1,,
,,Project of Basic Design,,,
5,AS2053,Thiết bị chẩn đoán hình ảnh y học,3,,
,,Medical Imaging,,,
6,AS3049,Cơ sinh học,3,,
,,Fundamentals of Biomechanics,,,
7,AS3089,Thực tập kỹ thuật,1,,
,,Engineering Workshop,,,
8,AS3103,Kỹ thuật thiết bị y học và thí nghiệm,4,,
,,Medical Instrumentation and Labs,,,
9,AS3105,Cơ sở y khoa,4,,
,,Fundamentals of General Medicine,,,
10,PH2001,Cơ sở kỹ thuật y sinh,3,,
,,Fundamentals of Biomedical Engineering,,,
11,AS3345,Thực tập ngoài trường,2,,
,,Internship,,,
12,AS4005,Đồ án chuyên ngành,2,,
,,Project,,,
13,AS4347,Đồ án tốt nghiệp,4,,
,,Capstone Project,,,
,,"Các môn tự chọn nhóm (Elective Courses - Group) E (định hướng (Orientation))",,,
1,AS3071,Trường điện từ,3,,
,,Electromagnetic Field Theory,,,
2,AS3073,Vật lý thống kê,3,,
,,Statistical Physics,,,
3,AS3075,Cơ sở về laser và ứng dụng,3,,
,,Fundamentals of Lasers and Applications,,,
4,AS3077,Cơ sở vật lý sợi quang học và ứng dụng,3,,
,,Fundamentals of Optical Fiber and Applications,,,
5,AS3111,Cơ sở thiết kế kỹ thuật,3,,
,,Fundamentals of Engineering Design,,,
,,"Định hướng Thiết bị y tế (Orientation (Minor) of Biomedical Instrumentation)",,,
1,AS3041,Xử lý tín hiệu số,3,,
,,Digital Signal Processing,,,
2,AS3045,Ứng dụng laser trong y học,3,,
,,Laser Technology Application in Medicine,,,
3,AS3051,Cơ sở tin học y sinh,3,,
,,Fundamentals of Biomedical Informatics,,,
4,AS3055,Xử lý hình ảnh y sinh bằng kỹ thuật số,3,,
,,Digital Biomedical Image Processing,,,
5,AS3087,Cơ sở vật lý y sinh,3,,
,,Fundamentals of Biomedical Physics,,,
6,AS3113,Phân loại, kiểm định và quản lý trang thiết bị y tế,3,,
,,Classification, Inspection and Management of Medical Equipment,,,
7,AS3115,Ứng dụng vi xử lý trong kỹ thuật y sinh,3,,
,,Microprocessor Application in Biomedical Engineering,,,
,,"Định hướng Vật lý tính toán (Orientation (Minor) of Computational Physics)",,,
1,AS3063,Ứng dụng Matlab trong vật lý tính toán,3,,
,,Matlab Application in Computational Physics,,,
2,AS3117,Mạng máy tính và an ninh mạng,3,,
,,Computer Network and Security,,,
