STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,"1. Kiến thức giáo dục đại cương (General Knowledge)",,,
,,Toán (Mathematics),,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
,,Khoa học tự nhiên (Science),,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
,,Toán và KH tự nhiên khác (Other Mathematics and Science),,,
8,MT1009,Phương pháp tính,3,MT1003(KN) MT1007(KN),
,,Numerical Methods,,,
9,PH1005,Vật lý 2,4,PH1003(KN),
,,General Physics 2,,,
,,Kinh tế- Chính trị- Xã hội- Luật (Economics - Politics - Sociology - Law),,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,Giáo dục chung khác (Other Knowledge),,,
,,Nhập môn (Introduction to Engineering),,,
16,AS1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Nhóm Quản lý (chọn 3 tín chỉ trong các học phần sau),,,
,,Elective Courses - Management for Engineers (Select 3 credits in the group of courses below),,,
17.1,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
17.2,IM1021,Khởi nghiệp,3,,
,,Entrepreneurship,,,
17.3,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
17.4,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
17.5,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
,,Con người và môi trường (Humans and Environment),,,
18,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
,,Ngoại ngữ (Foreign Language),,,
19,LA1003,Anh văn 1,2,,
,,English 1,,,
20,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
21,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
22,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,"2. Kiến thức giáo dục chuyên nghiệp (Professional Knowledge)",,,
,,Cơ sở ngành (Core),,,
1,AS2001,Cơ học ứng dụng,3,,
,,Applied Mechanics,,,
2,AS2009,Cơ sở cơ học lượng tử - vật lý chất rắn,3,PH1005(KN),
,,Fundamentals of Quantum Mechanics and Solid States Physics,,,
3,AS2033,Cảm biến và kỹ thuật đo lường,3,EE2011(SH),
,,Sensors and Measurement Techniques,,,
4,AS2039,Cơ sở vật lý hạt nhân và ứng dụng,3,PH1005(KN),
,,Fundamentals of Nuclear Physics and Applications,,,
5,AS2045,Đồ án thiết kế cơ sở,1,,
,,Project of Basic Design,,,
6,AS2059,Quang học kỹ thuật và ứng dụng,3,,
,,Engineering Optics and Applications,,,
7,CH2027,Sinh học đại cương,3,,
,,General Biology,,,
8,CI1003,Vẽ kỹ thuật,3,,
,,Engineering Drawing,,,
9,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
10,EE2011,Kỹ thuật điện-điện tử,3,,
,,Electrical and Electronics Engineering,,,
11,PH2003,Tin học vật lý kỹ thuật,3,,
,,Informatics for Engineering Physics,,,
,,Cơ sở chuyên ngành (Core Speciality),,,
,,Nhóm tự chọn 1 (chọn 3 tín chỉ trong các học phần sau),,,
,,Elective Courses - Group 1 (Select 3 credits in the group of courses below),,,
12,AS2051,Tính toán khoa học,3,,
,,Scientific Computing,,,
13,PH2001,Cơ sở kỹ thuật y sinh,3,,
,,Fundamentals of Biomedical Engineering,,,
,,Chuyên ngành (Speciality),,,
14,AS3089,Thực tập kỹ thuật,1,,
,,Engineering Workshop,,,
,,Nhóm tự chọn 2 (chọn 3 tín chỉ trong các học phần sau),,,
,,Elective Courses - Group 2 (Select 3 credits in the group of courses below),,,
15,AS3069,Thiết bị chẩn đoán hình ảnh y học,3,,
,,Medical Imaging,,,
16,AS3177,Giới thiệu ngôn ngữ lập trình Fortran,3,,
,,Introduction to Fortran,,,
,,Nhóm tự chọn 3 (chọn 8 tín chỉ trong các học phần sau),,,
,,Elective Courses - Group 3 (Select 8 credits in the group of courses below),,,
17,AS3103,Kỹ thuật thiết bị y học và thí nghiệm,4,,
,,Medical Instrumentation and Labs,,,
18,AS3105,Cơ sở y khoa,4,,
,,Fundamentals of General Medicine,,,
19,AS3109,Kỹ thuật lập trình (vật lý tính toán),4,,
,,Programming Technique (Computational Physics),,,
20,AS3107,Cơ sở vật lý tính toán và mô phỏng vật lý,3,,
,,Introduction to Computational Physics and Simulation,,,
,,Nhóm tự chọn 4 (chọn 3 tín chỉ trong các học phần sau),,,
,,Elective Courses - Group 4 (Select 3 credits in the group of courses below),,,
21,AS3049,Cơ sinh học,3,,
,,Fundamentals of Biomechanics,,,
22,AS3057,Trực quan hóa dữ liệu,3,,
,,Data Visualization,,,
,,Nhóm tự chọn chuyên ngành (chọn 3 tín chỉ trong các học phần sau),,,
,,Elective Speciality Courses - Group (Select 3 credits in the group of courses below),,,
23,AS3041,Xử lý tín hiệu số,3,,
,,Digital Signal Processing,,,
24,AS3047,ứng dụng laser trong y học,3,PH2003(KN),
,,Laser Technology Application in Medicine,,,
25,AS3045,Cơ sở vật liệu sinh học,3,CH2027(KN),
,,Fundamentals of Biomaterials,,,
26,AS3051,Cơ sở tin học y sinh,3,,
,,Fundamentals of Biomedical Informatics,,,
27,AS3055,Xử lý hình ảnh y sinh bằng kỹ thuật số,3,PH2003(KN),
,,Digital Biomedical Image Processing,,,
28,AS3063,ứng dụng Matlab trong vật lý tính toán,3,PH2003(KN),
,,Matlab Application in Computational Physics,,,
29,AS3071,Trường điện từ,3,PH1005(KN),
,,Electromagnetic Field Theory,,,
30,AS3073,Vật lý thống kê,3,MT2013(KN),
,,Statistical Physics,,,
31,AS3075,Cơ sở về laser và ứng dụng,3,,
,,Fundamentals of Lasers and Applications,,,
32,AS3077,Cơ sở vật lý sợi quang học và ứng dụng,3,,
,,Fundamentals of Optical Fiber and Applications,,,
33,AS3087,Cơ sở vật lý y sinh,3,,
,,Fundamentals of Biomedical Physics,,,
34,AS3113,Phân loại, kiểm định và quản lý trang thiết bị y tế,3,AS3051(SH),
,,Classification, Inspection and Management of Medical Equipment,,,
35,AS3115,ứng dụng vi xử lý trong kỹ thuật y sinh,3,,
,,Microprocessor Application in Biomedical Engineering,,,
36,AS3117,Mạng máy tính và an ninh mạng,3,,
,,Computer Network and Security,,,
37,AS3119,Cơ học tính toán,3,,
,,Computational Mechanics,,,
38,AS3121,Y-sinh học tính toán,3,,
,,Computational Biomedicine,,,
39,AS3123,Cơ học lượng tử nâng cao,3,AS2009(KN),
,,Advanced Quantum Mechanics,,,
40,AS3125,Cơ sở mô hình hóa phân tử,3,,
,,Fundamentals of Molecular Modelling,,,
41,AS3127,Công nghệ vật liệu đại cương,3,,
,,General Material Engineering,,,
42,AS3129,Các phương pháp tiệt trùng cho vật liệu y sinh,3,,
,,Sterilization Methods for Biomedical Materials,,,
43,AS3131,Cơ sở hóa học và vật liệu nano,3,,
