STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,I. Các môn bắt buộc (Compulsary Courses),,,
1,MT1003,Giải tích 1,4,,Toán và KH Tự nhiên
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,,Toán và KH Tự nhiên
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,Toán và KH Tự nhiên
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,,Toán và KH Tự nhiên
,,Probability and Statistics,,,
5,CH1003,Hóa đại cương,3,,Toán và KH Tự nhiên
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,Toán và KH Tự nhiên
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,Toán và KH Tự nhiên
,,General Physics Labs,,,
8,MT1009,Phương pháp tính,3,,Toán và KH Tự nhiên
,,Numerical Methods,,,
9,PH1005,Vật lý 2,4,,Toán và KH Tự nhiên
,,General Physics 2,,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,History of Vietnamese Communist Party,,,
16,TR1001,Nhập môn về kỹ thuật,3,,Nhập môn
,,Introduction to Engineering,,,
17,EN1003,Con người và môi trường,3,,Con người và môi trường
,,Humans and the Environment,,,
18,LA1003,Anh văn 1,2,,Ngoại ngữ
,,English 1,,,
19,LA1005,Anh văn 2,2,,Ngoại ngữ
,,English 2,,,
20,LA1007,Anh văn 3,2,,Ngoại ngữ
,,English 3,,,
21,LA1009,Anh văn 4,2,,Ngoại ngữ
,,English 4,,,
22,AS1003,Cơ lý thuyết,3,,Cơ sở ngành
,,Engineering Mechanics,,,
23,CI2001,Sức bền vật liệu,3,,Cơ sở ngành
,,Strength of Materials,,,
24,ME1005,Thực tập cơ khí đại cương 1,1,,Cơ sở ngành
,,General Mechanical Practice 1,,,
25,ME2003,Nguyên lý máy,3,,Cơ sở ngành
,,Kinematics and Dynamics of Machines,,,
26,ME2007,Chi tiết máy,3,,Cơ sở ngành
,,Machine Elements,,,
27,ME2013,Nhiệt động lực học và truyền nhiệt,3,,Cơ sở ngành
,,Thermodynamics and Heat Transfer,,,
28,TR1003,Vẽ kỹ thuật giao thông,3,,Cơ sở ngành
,,Transportation Drafting,,,
,,II. Các môn bắt buộc và tự chọn của chuyên ngành,,,
,,Tự chọn tự do (Free Elective) (Tối thiểu 12 TC),,,
,,Các môn bắt buộc và tự chọn của chuyên ngành,,,
29,TR2007,Kết cấu động cơ đốt trong,3,,Chuyên ngành
,,Internal Combustion Engine Mechanics,,,
30,TR2013,Kết cấu ô tô,3,,Chuyên ngành
,,Vehicle Mechanics,,,
31,TR2019,Động cơ đốt trong,3,,Chuyên ngành
,,Internal Combustion Engine,,,
32,TR2021,Lý thuyết ô tô,3,,Chuyên ngành
,,Vehicle Dynamics,,,
33,TR3075,Thực tập kỹ thuật ô tô,2,,Chuyên ngành
,,Automotive Workshop,,,
34,TR3119,Thí nghiệm ô tô và động cơ đốt trong,3,,Chuyên ngành
,,Experiments on Engines and Automobiles,,,
35,TR3121,Hệ thống điện - điện tử ô tô,3,,Chuyên ngành
,,Automotive Electrical-Electronic Systems,,,
36,TR3123,Kỹ thuật khai thác và bảo dưỡng động cơ - ô tô,3,,Chuyên ngành
,,Use and Maintenance of Motor Vehicles,,,
37,TR4085,Phương pháp thiết kế động cơ và ô tô,3,,Chuyên ngành
,,Automotive Design Methods,,,
38,TR4087,Công nghệ ô tô,3,,Chuyên ngành
,,Automotive Technology,,,
39,TR4089,Điều khiển tự động trên ô tô,3,,Chuyên ngành
,,Automotive Computer - Controlled System,,,
40,TR3345,Thực tập ngoài trường,2,,Tốt nghiệp
,,Internship,,,
41,TR4091,Đồ án chuyên ngành,2,,Tốt nghiệp
,,Project,,,
42,TR4347,Đồ án tốt nghiệp,4,,Tốt nghiệp
,,Capstone Project,,,
,,Các môn tự chọn nhóm (Elective Courses - Group) A,,,
,,Quản lý,,,
,,Management for Engineers,,,
43,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
44,IM1021,Khởi nghiệp,3,,
,,Entrepreneurship,,,
45,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
46,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
47,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
48,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
,,III. Chứng chỉ (Certification),,,
49,MI1003,Giáo dục quốc phòng,,,
,,Military Trainning,,,
50,PE1003,Giáo dục thể chất 1,,,
,,Physical Education 1,,,
51,PE1005,Giáo dục thể chất 2,,,
,,Physical Education 2,,,
52,PE1007,Giáo dục thể chất 3,,,
,,Physical Education 3,,,
