STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,1. Kiến thức giáo dục đại cương (General Knowledge),,,
,,Toán (Mathematics),,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
,,Khoa học tự nhiên (Science),,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
,,Toán và KH tự nhiên khác (Other Mathematics and Science),,,
8,MT1009,Phương pháp tính,3,MT1003(KN) MT1007(KN),
,,Numerical Methods,,,
9,PH1005,Vật lý 2,4,PH1003(KN),
,,General Physics 2,,,
,,Kinh tế- Chính trị- Xã hội- Luật (Economics - Politics - Sociology - Law),,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,Giáo dục chung khác (Other Knowledge),,,
,,Nhập môn (Introduction to Engineering),,,
16,TR1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Nhóm Quản lý (chọn 3 tín chỉ trong các học phần sau),,,
,,Elective Courses - Management for Engineers (Select 3 credits in the group of courses below),,,
17.1,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
17.2,IM1021,Khởi nghiệp,3,,
,,Entrepreneurship,,,
17.3,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
17.4,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
17.5,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
17.6,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
,,Con người và môi trường (Humans and Environment),,,
18,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
,,Ngoại ngữ (Foreign Language),,,
19,LA1003,Anh văn 1,2,,
,,English 1,,,
20,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
21,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
22,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,2. Kiến thức giáo dục chuyên nghiệp (Professional Knowledge),,,
,,Cơ sở ngành (Core),,,
1,AS1003,Cơ lý thuyết,3,,
,,Engineering Mechanics,,,
2,CI2001,Sức bền vật liệu,3,,
,,Strength of Materials,,,
3,ME1005,Thực tập cơ khí đại cương 1,1,,
,,General Mechanical Practice 1,,,
4,ME2003,Nguyên lý máy,3,AS1003(SH),
,,Kinematics and Dynamics of Machines,,,
5,ME2007,Chi tiết máy,3,,
,,Machine Elements,,,
6,ME2013,Nhiệt động lực học và truyền nhiệt,3,PH1003(KN),
,,Thermodynamics and Heat Transfer,,,
7,TR1003,Vẽ kỹ thuật giao thông,3,,
,,Transportation Drafting,,,
8,TR2007,Kết cấu động cơ đốt trong,3,ME2003(KN),
,,Internal Combustion Engine Mechanics,,,
9,TR2013,Kết cấu ô tô,3,ME2003(KN),
,,Vehicle Mechanics,,,
,,Chuyên ngành (Speciality),,,
10,TR3075,Thực tập kỹ thuật ô tô,2,TR2007(KN) TR2013(KN),
,,Automotive Workshop,,,
11,TR3119,Thí nghiệm ô tô và động cơ đốt trong,3,TR2007(KN) TR2013(KN) TR3143(KN) TR3145(KN),
,,Experiments on Engines and Automobiles,,,
12,TR3121,Hệ thống điện - điện tử ô tô,3,TR2007(KN) TR3143(KN),
,,Automotive Electrical-Electronic Systems,,,
13,TR3123,Kỹ thuật khai thác và bảo dưỡng động cơ - ô tô,3,TR2007(KN) TR2013(KN) TR3075(KN),
,,Use and Maintenance of Motor Vehicles,,,
14,TR3143,Động cơ đốt trong,3,,
,,Internal Combustion Engine,,,
15,TR3145,Lý thuyết ô tô,3,,
,,Vehicle Dynamics,,,
16,TR4085,Phương pháp thiết kế động cơ và ô tô,3,TR2007(KN) TR2013(KN) TR3075(KN) TR3119(KN) TR3143(KN) TR3145(KN),
,,Automotive Design Methods,,,
17,TR4087,Công nghệ ô tô,3,,
,,Automotive Technology,,,
18,TR4089,Điều khiển tự động trên ô tô,3,TR2007(KN) TR2013(KN) TR3119(KN) TR3121(KN) TR3143(KN) TR3145(KN),
,,Automotive Computer - Controlled System,,,
,,Tốt nghiệp (Graduation),,,
19,TR3345,Thực tập ngoài trường,2,TR3075(SH) TR3119(SH) TR3123(SH),
,,Internship,,,
20,TR4091,Đồ án chuyên ngành,2,TR2007(TQ) TR2013(TQ) TR3143(TQ) TR3145(TQ) TR3345(SH) TR4085(SH),
,,Project,,,
21,TR4347,Đồ án tốt nghiệp,4,TR3345(TQ) TR4091(TQ),
,,Capstone Project,,,
,,3. Tự chọn tự do: 12 tín chỉ (Free Electives: 12 Credits),,,
,,4. Chứng chỉ (Certification),,,
1,,Giáo dục quốc phòng,,,
,,Military Trainning,,,
2,,Giáo dục thể chất,,,
,,Physical Education,,,
