STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,"1. Kiến thức giáo dục đại cương (General Knowledge)",,,
,,Toán (Mathematics),,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
,,Khoa học tự nhiên (Science),,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
,,Toán và KH tự nhiên khác (Other Mathematics and Science),,,
8,CI1069,Khoa học trái đất,4,,
,,Earth Science,,,
9,MT1009,Phương pháp tính,3,MT1003(KN) MT1007(KN),
,,Numerical Methods,,,
,,Kinh tế- Chính trị- Xã hội- Luật (Economics - Politics - Sociology - Law),,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,Giáo dục chung khác (Other Knowledge),,,
,,Nhập môn (Introduction to Engineering),,,
16,CI1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Nhóm Quản lý (chọn 3 tín chỉ trong các học phần sau),,,
17,,Elective Courses - Management for Engineers (Select 3 credits in the group of courses below),,,
17.1,CI3289,Lãnh đạo và khởi nghiệp,3,,
,,Leadership and Startup,,,
17.2,CI3291,Lãnh đạo và quản lý dự án,3,,
,,Leadership and Management in Project,,,
,,Con người và môi trường (Humans and Environment),,,
18,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
,,Ngoại ngữ (Foreign Language),,,
19,LA1003,Anh văn 1,2,,
,,English 1,,,
20,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
21,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
22,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,"2. Kiến thức giáo dục chuyên nghiệp (Professional Knowledge)",,,
,,Cơ sở ngành (Core),,,
1,CI1007,Trắc địa đại cương,3,,
,,Basis of Surveying,,,
2,CI1033,Vẽ kỹ thuật xây dựng,3,,
,,Civil Engineering Drawing,,,
3,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
4,CI2007,Sức bền vật liệu,4,,
,,Strength of Materials,,,
5,CI2037,Vật liệu xây dựng,3,,
,,Construction Materials,,,
6,CI2045,Hệ thống thông tin địa lý,3,,
,,Geographical Information System,,,
7,CI2095,Địa chất công trình,3,,
,,Engineering Geology,,,
8,CI2141,Bản đồ học,3,,
,,Cartography,,,
9,CI2143,Viễn thám,3,,
,,Remote Sensing,,,
,,Chuyên ngành (Speciality),,,
10,CI3003,Trắc lượng ảnh,3,CI1007(KN),
,,Photogrammetry,,,
11,CI3067,Hệ thống định vị toàn cầu,3,CI3257(KN),
,,Global Navigation Satellite Systems,,,
12,CI3251,Lý thuyết sai số và xử lý số liệu,4,CI1007(KN),
,,Theory of Errors and Data Processing,,,
13,CI3255,Thực tập đo vẽ và lập bản đồ địa hình,2,CI3301(SH),
,,Topographic Surveying and Mapping Practice,,,
14,CI3257,Trắc địa cao cấp,3,CI3301(KN) MT1005(KN),
,,Geodesy,,,
15,CI3259,Kỹ thuật địa chính,4,,
,,Basis of Cadastre,,,
16,CI3301,Đo vẽ địa hình,3,CI1007(KN),
,,Topographic Surveying,,,
17,CI4159,Trắc địa công trình,4,CI1007(KN),
,,Engineering Surveying,,,
,,Tốt nghiệp (Graduation),,,
18,CI3455,Thực tập ngoài trường,2,,
,,Internship,,,
19,CI4169,Đồ án chuyên ngành,2,CI3455(SH),
,,Project,,,
20,CI4457,Đồ án tốt nghiệp,4,CI3455(TQ) CI4169(TQ),
,,Capstone Project,,,
,,"3. Tự chọn tự do: 9 tín chỉ (Free Electives: 9 Credits)",,,
,,"4. Chứng chỉ (Certification)",,,
1,,Giáo dục quốc phòng,,,
,,Military Trainning,,,
2,,Giáo dục thể chất,,,
,,Physical Education,,,
