STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,A. Toán và khoa học tự nhiên (Mathematics and Science) [BB],,,
,,A1. Toán (Mathematics) [BB],,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,
,,A2. Khoa học tự nhiên (Science) [BB],,,
1,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
2,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
3,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
,,A3. Toán và KH tự nhiên khác (Other Mathematics and Science) [BB],,,
1,GE1013,Khoa học Trái đất,4,,
,,Earth Science,,,
2,GE1027,Khoa học dữ liệu,3,MT1007(HT),
,,Data science,,,
,,B. Giáo dục chung (Knowledge) [BB],,,
,,B1. Kinh tế- Chính trị- Xã hội- Luật (Economics - Politics - Sociology - Law) [],,,
1,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
2,SP1033,Kinh tê Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
3,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
4,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
5,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of VieTNamese Communist Party,,,
6,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to VieTNamese Law,,,
,,B2. Giáo dục chung khác (Other Knowledge) [BB],,,
,,B2.1. Giáo dục chung khác 1 (Other Knowledge 1) [BB],,,
1,GE1001,Nhập môn về Kỹ thuật,3,,
,,Introduction to Engineering,,,
2,GE1029,Sức khỏe An toàn Môi trường,3,,
,,Health Safety and Environment (HSE),,,
,,B2.2. Giáo dục chung khác 2 (chọn 3 tín chỉ) (Other Knowledge 2 (select 3 cred),,,
1,IM1021,Khởi nghiệp,3,,
,,Entrepreneurship,,,
2,GE2099,Khoa học Trái Đất ứng dụng và Kinh tế tuần hoàn,3,,
,,Applied earth science and circular economy,,,
,,B3. Ngoại ngữ (Foreign Language) [BB],,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
3,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
4,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,C. Kiến thức giáo dục chuyên nghiệp (Professional Knowledge) [BB],,,
,,C1. Cơ sở ngành (Core) [BB],,,
1,GE2065,Vật liệu xây dựng,2,,
,,Construction Materials,,,
2,GE2067,Sức bên - kết cấu vật liệu,3,,
,,Strength of Materials,,,
3,GE2069,Trắc địa công trình,3,MT1007(KN) MT1005(KN) MT1003(KN),
,,Engineering surveying,,,
4,GE2071,Kết cấu bê tông cốt thép,3,,
,,Reinforced Concrete Structures,,,
5,GE2073,Các PP khảo sát và TN hiện trường,3,GE3229(SHT),
,,Methods of investigation and in-situ test,,,
6,GE2075,Thực hành các phương pháp khảo sát và TN hiện trườn,1,GE2073(SHT),
,,Practice in methods of investigation and in-situ test,,,
7,GE2077,Địa chất thuỷ văn công trình,3,GE2069(KN),
,,Engineering Hydrogeology,,,
8,GE3227,Thí nghiệm vật liệu và kết cấu bê tông cốt thép,1,,
,,Testing of reinforced concrete materials and structures,,,
9,GE3229,Địa kỹ thuật công trình,4,,
,,Principles of Geotechnical Engineering,,,
10,GE3231,Quan trắc địa kỹ thuật công trình,3,GE2069(SHT),
,,Monitoring in geotechnical engineering,,,
11,GE3235,Kinh tế xây dựng,2,,
,,Construction Economics,,,
12,GE3233,Địa động lực công trình,2,GE2077(KN),
,,Engineering geodynamics,,,
13,GE3241,Thí nghiệm địa kỹ thuật công trình,1,GE3229(KN),
,,Geotechnical Testing,,,
14,GE3243,Vẽ kỹ thuật xây dựng,3,,
,,Civil Engineering Drawing,,,
,,C2. Chuyên ngành (Speciality) [BB],,,
1,GE3225,Phân tích dữ liệu,3,,
,,Data analysis,,,
2,GE3237,TK giải pháp cải tạo công trình trên đất yếu,3,GE3229(TQ),
,,Design of methods for Soft Soil Improvement,,,
3,GE4155,TK các giải pháp ôn định công trình,3,GE3229(TQ),
,,Design of methods for stabilization of construction,,,
4,GE4169,Kỹ thuật thi công công trình ngầm,3,,
,,Underground construction engineering,,,
5,GE3239,Kỹ thuật nên móng công trình,3,,
,,Foundation engineering,,,
6,GE4157,Kết cấu thép công trình ngầm,3,,
,,Underground metal structures,,,
,,C3. Tốt nghiệp (Graduation) [BB],,,
