STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,1. Kiến thức giáo dục đại cương (General Knowledge),,,
,,Toán (Mathematics),,,
1,IM1017,Thống kê trong kinh doanh,3,,
,,Statistics for Business,,,
2,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
3,MT1017,Giải tích trong kinh doanh,3,,
,,Calculus for Business,,,
,,Khoa học tự nhiên (Science),,,
,,Nhóm tự chọn A (chọn 3 tín chỉ trong các học phần sau),,,
,,Elective Courses - Group A (Select 3 credits in the group of courses below),,,
4.1,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
4.2,CH1011,Sinh học,3,,
,,Biology,,,
4.3,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
4.4,EN1015,Vi sinh vật đại cương và thí nghiệm,4,,
,,Microbiology and Experiment,,,
4.5,MT1009,Phương pháp tính,3,MT1007(KN) MT1017(KN),
,,Numerical Methods,,,
4.6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
,,Kinh tế- Chính trị- Xã hội- Luật (Economics - Politics - Sociology - Law),,,
5,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
6,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
7,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
8,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
9,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
10,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,Giáo dục chung khác (Other Knowledge),,,
,,Nhập môn (Introduction to Engineering),,,
11,IM1001,Giới thiệu ngành,3,,
,,Orientation to Management Studies,,,
,,Kỹ thuật ngoài ngành (Technical Elective Outside IM),,,
12,,Tự chọn 3 tín chỉ ngoài ngành: các học phần cơ sở ngành/ngành/chuyên ngành từ năm thứ hai,3,,
,,Select 3 credits outside IM: Courses of Core/Major/Speciality from 2nd year,,,
,,Con người và môi trường (Humans and Environment),,,
13,IM3051,Đạo đức kinh doanh và trách nhiệm xã hội,3,,
,,Business Ethics and Corporate Social Responsibility,,,
,,Ngoại ngữ (Foreign Language),,,
14,LA1003,Anh văn 1,2,,
,,English 1,,,
15,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
16,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
17,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,2. Kiến thức giáo dục chuyên nghiệp (Professional Knowledge),,,
,,Cơ sở ngành (Core),,,
1,IM1003,Kinh tế học vi mô,3,,
,,Microeconomics,,,
2,IM1007,Quản trị đại cương,3,,
,,Fundamentals of Management,,,
3,IM1009,Kinh tế học vĩ mô,3,IM1003(KN),
,,Macroeconomics,,,
4,IM1011,Máy tính trong kinh doanh,3,,X
,,Computer in Business,,,
5,IM1015,Kế toán tài chính,3,,
,,Financial Accounting,,,
6,IM1019,Tiếp thị căn bản,3,,
,,Principle of Marketing,,,
7,IM1029,Hệ thống sản xuất,3,,
,,Manufacturing Systems,,,
8,IM2017,Hành vi tổ chức,3,IM1007(KN),X
,,Organizational Behavior,,,
9,IM2019,Kế toán quản trị,3,IM1015(KN),X
,,Managerial Accounting,,,
10,IM2029,Thực tập nhận thức,2,IM1001(TQ),
,,Field Trip,,,
11,IM2031,Quản lý sản xuất,3,IM1029(KN),X
,,Production and Operations Management,,,
12,IM2033,Tài chính doanh nghiệp,3,"IM1003(KN) IM1009(KN) IM1015(KN)",X
,,Corporate Finance,,,
13,IM2035,Phương pháp định lượng,3,IM1017(KN),
,,Quantitative Methods,,,
,,Ngành (Major),,,
14,IM3047,Giao tiếp trong kinh doanh,3,,
,,Business Communication,,,
15,IM3059,Quản lý chiến lược,3,"IM1007(KN) IM1009(TQ)",X
,,Strategic Management,,,
16,IM3063,Quản lý chất lượng,3,,X
,,Quality Management,,,
17,IM3087,Hệ thống thông tin quản lý,3,,X
,,Management Information Systems,,,
18,IM3105,Phương pháp nghiên cứu trong kinh doanh,3,"IM1017(TQ) IM1019(TQ)",X
,,Research Methods for Business,,,
19,IM3107,Khởi nghiệp và đổi mới sáng tạo,3,,
,,Entrepreneurship and Innovation,,,
,,Chuyên ngành (Speciality),,,
,,Nhóm tự chọn B (chọn 15 tín chỉ trong các học phần sau) **,
,,Elective Courses - Group B (Select 15 credits in the group of courses below) **,
20,IM3009,Hệ thống tài chính,3,IM1009(TQ),
,,Financial System,,,
21,IM3021,Quản lý chuỗi cung ứng,3,"IM1007(KN) IM2031(KN)",
,,Supply Chain Management,,,
22,IM3023,Thương mại điện tử,3,IM1011(KN),
,,Electronic Commerce,,,
23,IM3029,Quản lý công nghệ,3,,
,,Management of Technology,,,
24,IM3033,Tiếp thị giữa các tổ chức,3,IM1019(TQ),
,,Business to Business Marketing,,,
25,IM3035,Quản lý bảo trì,3,"IM1017(TQ) IM2031(TQ)",
,,Maintenance Management,,,
26,IM3041,Hệ hỗ trợ quyết định và trí tuệ kinh doanh,3,IM1011(KN),
,,Decision Support and Business Intelligence Systems,,,
27,IM3055,Quản lý nhân sự,3,IM1007(KN),
,,Human Resource Management,,,
28,IM3073,Điều độ sản xuất,3,"IM1029(KN) IM2031(KN)",
,,Scheduling and Sequencing,,,
29,IM3075,An toàn công nghiệp và quản lý rủi ro,3,,
,,Industrial Safety and Risk Management,,,
30,IM3077,Quản lý sản xuất theo Lean và sáu Sigma,3,,
,,Lean Six Sigma Manufacturing,,,
31,IM3081,Quản trị kinh doanh quốc tế,3,,
,,International Business Management,,,
32,IM3083,Hành vi người tiêu dùng,3,IM1019(TQ),
,,Consumer Behavior,,,
33,IM3085,Tài chính quốc tế,3,IM1009(TQ),
,,International Finance,,,
34,IM3089,Đổi mới sản phẩm/dịch vụ,3,,
,,Product/Services Innovation,,,
35,IM3091,Phân tích và thiết kế chuỗi cung ứng,3,,
,,Supply Chain Design and Analysis,,,
36,IM3093,Quản lý logistics và vận chuyển quốc tế,3,,
,,Global Transportation and Logistics Management,,,
37,IM3095,Quản lý vận hành bán lẻ,3,,
,,Operational Retail Management,,,
38,IM3097,Chuyển đổi cung ứng kỹ thuật số,3,,
,,Digital Supply Chain Transformation,,,
39,IM3099,Quản lý chuỗi cung ứng theo Lean,3,,
,,Lean Supply Chain Management,,,
40,IM3101,Quản lý cung ứng và thu mua quốc tế,3,,
,,Global Purchasing and Supply Management,,,
41,IM3103,Quản lý rủi ro chuỗi cung ứng,3,,
,,Supply Chain Risk Management,,,
42,IM4003,Quản lý dự án,3,,
,,Project Management,,,
43,IM4007,Kế hoạch kinh doanh,3,"IM1019(TQ) IM2033(TQ)",
,,Business Plan,,,
44,IM4019,Khoa học dữ liệu trong kinh doanh,3,,
,,Data science for Business,,,
45,IM4035,ISO 9000,3,IM3063(KN),
,,ISO 9000,,,
46,IM3109,Tiếp thị số,3,,
,,Digital Marketing,,,
,,Tốt nghiệp (Graduation),,,
47,IM3325,Thực tập ngoài trường,2,IM2029(KN),
,,Internship,,,
48,IM4033,Đồ án chuyên ngành,2,IM3325(SH),X
,,Project,,,
49,IM4327,Khóa luận tốt nghiệp,4,"IM3325(TQ) IM4033(TQ)",X
,,Capstone Project,,,
,,3. Tự chọn tự do: 9 tín chỉ (Free Electives: 9 Credits),,,
,,4. Chứng chỉ (Certification),,,
1,,Giáo dục quốc phòng,,,
,,Military Training,,,
2,,Giáo dục thể chất,,,
,,Physical Education,,,
,,Học phần trong nhóm tự chọn ** được quy định cho chuyên ngành (Courses in the Elective Group ** specified for the Speciality),,,
