STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,I. Cấu trúc CTĐT (Program Structure),,,
,,A. Toán & Khoa học Tự nhiên (Mathematics and Basic Sciences) [BB],,,
,,A.1. Toán (Mathematics) [BB],,,
1,IM1017,Thống kê trong Kinh doanh,3,,
,,Statistics for Business,,,
2,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
3,MT1017,Giải tích trong Kinh doanh,3,,
,,Calculus for Business,,,
,,A.2. Khoa học Tự nhiên (Basic Sciences) [TC],,,
1,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
2,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
3,MT1009,Phương pháp tính,3,MT1003(KN),
,,Numerical Methods,,,
4,CH1017,Sinh học đại cương,3,,
,,General Biology,,,
5,EN1015,Vi sinh Vật đại cương và Thí nghiệm,4,,
,,Microbiology and Experiment,,,
6,GE1013,Khoa học Trái đất,4,,
,,Earth Science,,,
7,GE1011,Địa vật Lý Đại Cương + Kiến tập,3,,
,,Basic Geophysics,,,
,,B. Giáo dục chung (General education) [BB],,,
,,B.1. Kinh tế - Chính trị - Xã hội - Luật (Socials and Economics) [BB],,,
1,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to Vietnamese Law,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
4,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
5,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
6,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,B.2. Nhập môn (Foundational courses) [BB],,,
1,IM1001,Giới thiệu ngành,3,,
,,Orientation to Management Studies,,,
,,B.3. Kỹ thuật ngoài ngành (Technical out of major) [TC],,,
,,B.4. Kiến thức về con người và môi trường/kỹ năng nghề nghiệp chuyên nghiệp (Knowledge of people and environment/professional career skills) [BB],,,
1,IM3051,Đạo đức Kinh doanh và Trách nhiệm Xã hội,3,,
,,Business EThics and Corporate Social Responsibility,,,
,,B.5. Ngoại ngữ (Foreign Languages) [BB],,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
3,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
4,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,C. Cơ sở ngành (Core courses) [BB],,,
,,C.1. Bắt buộc cơ sở ngành (Compulsory core courses) [BB],,,
1,IM1003,Kinh tế học Vi mô,3,,
,,Microeconomics,,,
2,IM1007,Quản trị Đại cương,3,,
,,Fundamentals of Management,,,
3,IM1009,Kinh tế học Vĩ mô,3,IM1003(KN),
,,Macroeconomics,,,
4,IM1015,Kế toán Tài chính,3,,
,,Financial Accounting,,,
5,IM1019,Tiếp thị Căn bản,3,,
,,Principle of Marketing,,,
6,IM1029,Hệ thống Sản xuất,3,,
,,Manufacturing Systems,,,
7,IM1033,Công nghệ số trong kinh doanh,3,,
,,Digital Technology in Business,,,
8,IM2017,Hành vi Tổ chức,3,IM1007(KN),
,,Organizational Behavior,,,
9,IM2019,Kế toán Quản trị,3,IM1015(KN),
,,Managerial Accounting,,,
10,IM2031,Quản lý Sản xuất,3,,
,,Production and Operations Management,,,
11,IM2035,Phương pháp Định lượng,3,,
,,Quantitative MeThods,,,
12,IM2029,Thực tập Nhận Thức,2,IM1001(TQ),
,,Field Trip,,,
13,IM2033,Tài chính Doanh nghiệp,3,IM1015(KN) IM1009(KN) IM1003(KN),
,,Corporate Finance,,,
,,C.2. Tự chọn cơ sở ngành (Elective core courses) [TC],,,
,,D. Ngành/Chuyên ngành (Major/Speciality) [BB],,,
,,D.1. Ngành (Major course) [BB],,,
,,D.1.1. Bắt buộc ngành (Compulsory Major Courses) [BB],,,
1,IM3047,Giao tiếp trong Kinh doanh,3,,
,,Business Communication,,,
2,IM3059,Quản lý Chiến lược,3,IM1007(KN) IM1009(KN),
,,Strategic Management,,,
3,IM3063,Quản lý Chất lượng,3,,
,,Quality Management,,,
4,IM3107,Khởi nghiệp và đổi mới sáng tạo,3,,
,,Entrepreneurship and Innovation,,,
5,IM3087,Hệ thống Thông tin Quản lý,3,,
,,Management Information Systems,,,
6,IM3105,Phương pháp nghiên cứu trong kinh doanh,3,IM1019(KN) IM1017(KN),
,,Research Methods for Business,,,
,,D.1.2. Tự chọn ngành (Elective Major Courses) [TC],,,
,,D.2. Chuyên ngành (Speciality courses) [BB],,,
,,D.2.1. Chuyên ngành Quản lý Công nghiệp (Speciality courses Industrial Management) [BB],,,
,,D.2.1.1. Bắt buộc chuyên ngành (Compulsory Speciality Courses) [BB],,,
,,D.2.1.2. Tự chọn chuyên ngành (Elective Speciality Courses) [TC],,,
,,D.2.1.2.1. Tự chọn chuyên ngành (Elective Speciality Courses) [TC],,,
1,IM3021,Quản lý Chuỗi cung ứng,3,,
,,Supply Chain Management,,,
2,IM3073,Điều độ Sản xuất,3,IM2031(KN) IM1029(KN),
,,Scheduling and Sequencing,,,
3,IM3055,Quản lý Nhân sự,3,IM1007(KN),
,,Human Resource Management,,,
4,IM3077,Quản lý Sản xuất Theo Lean và Sáu Sigma,3,,
,,Lean Six Sigma Manufacturing,,,
,,D.2.1.2.2. Tự chọn chuyên ngành (Elective Speciality Courses) [TC],,,
1,IM3041,Hệ Hỗ trợ Quyết định và Trí tuệ Kinh doanh,3,,
,,Decision Support and Business Intelligence Systems,,,
2,IM3085,Tài chính Quốc tế,3,,
,,International Finance,,,
3,IM3081,Quản trị Kinh doanh Quốc tế,3,IM1009(TQ),
,,International Business Management,,,
4,IM3075,An toàn Công nghiệp và Quản lý Rủi ro,3,,
,,Industrial Safety and Risk Management,,,
5,IM3023,Thương mại Điện tử,3,,
,,Electronic Commerce,,,
6,IM3033,Tiếp thị giữa các Tổ chức,3,IM1019(TQ),
,,Business to Business Marketing,,,
7,IM3097,Chuyển đổi Cung ứng Kỹ thuật số,3,,
,,Digital Supply Chain Transformation,,,
8,IM3091,Phân tích và Thiết kế Chuỗi cung ứng,3,,
,,Supply Chain Design and Analysis,,,
9,IM3099,Quản lý Chuỗi cung Ứng Theo Lean,3,,
,,Lean Supply Chain Management,,,
10,IM3095,Quản lý Vận hành Bán lẻ,3,,
,,Operational Retail Management,,,
11,IM3029,Quản lý Công nghệ,3,,
,,Management of Technology,,,
,,D.2.1.2.3. Tự chọn chuyên ngành (Elective Speciality Courses) [TC],,,
1,IM3093,Quản lý logistics và vận chuyển quốc tế,3,,
,,Global Transportation and Logistics Management,,,
2,IM3083,Hành vi Người tiêu dùng,3,IM1019(KN),
,,Consumer Behavior,,,
3,IM3089,Đổi mới sản phẩm/dịch vụ,3,,
,,Product/Services Innovation,,,
4,IM3109,Tiếp thị số,3,,
,,Digital Marketing,,,
5,IM3009,Hệ thống Tài chính,3,IM1009(TQ),
,,Financial System,,,
6,IM3103,Quản lý rủi ro chuỗi cung ứng,3,,
,,Supply Chain Risk Management,,,
7,IM3101,Quản lý Cung ứng và Thu mua Quốc tế,3,,
,,Global Purchasing and Supply Management,,,
8,IM4007,Kế hoạch Kinh doanh,3,IM2033(TQ) IM1019(TQ),
,,Business Plan,,,
9,IM4035,ISO 9000,3,IM3063(KN),
,,ISO 9000,,,
10,IM4003,Quản lý Dự án,3,,
,,Project Management,,,
11,IM4019,Khoa học Dữ liệu trong Kinh doanh,3,,
,,Data scicence for Business,,,
12,IM3035,Quản lý Bảo trì,3,IM1017(KN) IM2031(KN),
,,Maintenance Management,,,
,,D.2.2. Chuyên ngành Quản lý chuỗi cung ứng và vận hành (Speciality courses Operations and Supply chain Management) [BB],,,
,,D.2.2.1. Bắt buộc chuyên ngành (Compulsory Speciality Courses) [BB],,,
,,D.2.2.1.1. Bắt buộc chuyên ngành (Compulsory Speciality Courses) [BB],,,
1,IM3021,Quản lý Chuỗi cung ứng,3,,
,,Supply Chain Management,,,
,,D.2.2.1.2. Bắt buộc chuyên ngành (Compulsory Speciality Courses) [BB],,,
1,IM3091,Phân tích và Thiết kế Chuỗi cung ứng,3,,
,,Supply Chain Design and Analysis,,,
,,D.2.2.1.3. Bắt buộc chuyên ngành (Compulsory Speciality Courses) [BB],,,
1,IM3093,Quản lý logistics và vận chuyển quốc tế,3,,
,,Global Transportation and Logistics Management,,,
,,D.2.2.2. Tự chọn chuyên ngành (Elective Speciality Courses) [TC],,,
,,D.2.2.2.1. Tự chọn chuyên ngành (Elective Speciality Courses) [TC],,,
1,IM3095,Quản lý Vận hành Bán lẻ,3,,
,,Operational Retail Management,,,
2,IM3097,Chuyển đổi Cung ứng Kỹ thuật số,3,,
,,Digital Supply Chain Transformation,,,
3,IM3099,Quản lý Chuỗi cung Ứng Theo Lean,3,,
,,Lean Supply Chain Management,,,
,,D.2.2.2.2. Tự chọn chuyên ngành (Elective Speciality Courses) [TC],,,
1,IM4003,Quản lý Dự án,3,,
,,Project Management,,,
2,IM3103,Quản lý rủi ro chuỗi cung ứng,3,,
,,Supply Chain Risk Management,,,
3,IM3101,Quản lý Cung ứng và Thu mua Quốc tế,3,,
,,Global Purchasing and Supply Management,,,
,,D.2.3. Chuyên ngành Quản trị kinh doanh (Speciality courses Business Administration) [BB],,,
,,D.2.3.1. Bắt buộc chuyên ngành (Compulsory Speciality Courses) [BB],,,
,,D.2.3.1.1. Bắt buộc chuyên ngành (Compulsory Speciality Courses) [BB],,,
1,IM3055,Quản lý Nhân sự,3,IM1007(KN),
,,Human Resource Management,,,
,,D.2.3.1.2. Bắt buộc chuyên ngành (Compulsory Speciality Courses) [BB],,,
1,IM3023,Thương mại Điện tử,3,,
,,Electronic Commerce,,,
,,D.2.3.1.3. Bắt buộc chuyên ngành (Compulsory Speciality Courses) [BB],,,
