STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,1. 1. Kiến thức giáo dục đại cương: (Compulsory General Knowledge: ),39,,
,,1.1. 1.1 Kiến thức Toán và Khoa học Tự nhiên (Mathematics and Basic Science: ),9,,
1,IM1017,Thống kê trong Kinh doanh,3,,
,,Statistics for Business,,,
2,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
3,MT1017,Giải tích trong Kinh doanh,3,,
,,Calculus for Business,,,
,,1.1_b. 1.1_b Nhóm tự chọn Khoa học tự nhiên (Chọn ít nhất 3 tín chỉ): (Elective Courses - Basic Science (Choose at least 3 credits):),3,,
1,CO2013,Hệ cơ sở Dữ liệu,4,,
,,Database Systems,,,
2,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
3,CH1017,Sinh học đại cương,3,,
,,General Biology,,,
4,EN1015,Vi sinh Vật đại cương và Thí nghiệm,4,,
,,Microbiology and Experiment,,,
5,GE1013,Khoa học Trái đất,4,,
,,Earth Science,,,
6,GE1011,Địa vật Lý đại Cương + Kiến tập,3,,
,,Basic Geophysics,,,
,,"1.2. 1.2 Kiến thức Kinh tế, Chính trị, Xã hội, Luật (Economics - Politics - Sociology - Law:)",13,,
1,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to VietNamese Law,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
4,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
5,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
6,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of VieTNamese Communist Party,,,
,,1.3. 1.3 Kiến thức Nhập môn: (Introduction to Engineering:),6,,
1,IM1001,Giới thiệu ngành,3,,
,,Orientation to Management Studies,,,
,,1.4. 1.4 Kiến thức Con người và Môi trường: (Humans and Environment:),3,,
1,IM3051,Đạo đức Kinh doanh và Trách nhiệm Xã hội,3,,
,,Business Ethics and Corporate Social Responsibility,,,
,,1.5. 1.5 Kiến thức Kỹ thuật ngoài ngành (Chọn ít nhất 3 tín chỉ trong các môn sau): (Technical Elective Outside IM (Choose at least 3 credits among these subjects):),3,,
1,AS2069,Phương pháp số cho khoa học dữ liệu,4,MT1003(SHT) MT1007(SHT),
,,Numerical methods for data science,,,
2,CO1027,Kỹ thuật Lập trình,3,,
,,Programming Fundamentals,,,
,,1.6. 1.6 Kiến thức Ngoại ngữ: (Foreign Languages:),8,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
3,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
4,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,1.7. 1.7 Chứng chỉ: (Certifications:),0,,
1,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
,,"1.8. Giáo dục thể chất: 0TC (Chọn 1 môn học trong các môn học sau: PE1009, PE1011, PE1013, PE1015, PE1017, PE1019, PE1021, PE1025, PE1027, PE1053, PE1057, PE1061) (Physical Education 1: 0 credits (Choose 1 course among these courses PE1009, PE1011, PE1013, PE1015, PE1017, PE1019, PE1021, PE1025, PE1027, PE1053, PE1057, PE1061))",0,,
1,PE1009,Bóng đá (Học phần 1),0,,
,,Football,,,
2,PE1011,Bóng chuyền (Học phần 1),0,,
,,Volleyball,,,
3,PE1013,Bóng bàn (Học phần 1),0,,
,,Table tennis,,,
4,PE1015,Bóng rổ (Học phần 1),0,,
,,Basketball,,,
5,PE1017,Cầu lông (Học phần 1),0,,
,,Badminton,,,
6,PE1019,Bơi (học Phần 1),0,,
,,Swimming,,,
7,PE1021,Aerobic (học Phần 1),0,,
,,Aerobic,,,
8,PE1025,Điền kinh (Học phần 1),0,,
,,Athletics,,,
9,PE1027,Quần vợt (Học phần 1),0,,
,,Tennis,,,
10,PE1053,Cờ vua (Học phần 1),0,,
,,Chess,,,
11,PE1057,Bowling (học phần 1),0,,
,,Bowling,,,
12,PE1061,Pickleball (học phần 1),0,,
,,Pickleball,,,
,,"1.9. Giáo dục thể chất: 0TC (Chọn 1 môn học trong các môn học sau: PE1033, PE1035, PE1037, PE1039, PE1041, PE1043, PE1045, PE1049, PE1051, PE1055, PE1059, PE1063) (Physical Education 2: 0 credits (Choose 1 course among these courses: PE1033, PE1035, PE1037, PE1039, PE1041, PE1043, PE1045, PE1049, PE1051, PE1055, PE1059, PE1063))",0,,
1,PE1033,Bóng đá (Học phần 2),0,,
,,Football,,,
2,PE1035,Bóng chuyền (Học phần 2),0,,
,,Volleyball,,,
3,PE1037,Bóng bàn (Học phần 2),0,,
,,Table tennis,,,
4,PE1039,Bóng rổ (Học phần 2),0,,
,,Basketball,,,
5,PE1041,Cầu lông (Học phần 2),0,,
,,Badminton,,,
6,PE1043,Bơi (học Phần 2),0,,
,,Swimming,,,
7,PE1045,Aerobic (học Phần 2),0,,
,,Aerobic,,,
8,PE1049,Điền kinh (học phần 2),0,,
,,Athletics,,,
9,PE1051,Quần vợt (Học phần 2),0,,
,,Tennis,,,
10,PE1055,Cờ vua (học phần 2),0,,
,,Chess,,,
11,PE1059,Bowling (học phần 2),0,,
,,Bowling,,,
12,PE1063,Pickleball (học phần 2),0,,
,,Pickleball,,,
,,2. Kiến thức giáo dục chuyên nghiệp: (Professional Education Knowledge:),91,,
,,2.1. 2.1 Kiến thức Cơ sở ngành: (Core Courses:),29,,
1,IM1003,Kinh tế học Vi mô,3,,
,,Microeconomics,,,
2,IM1007,Quản trị Đại cương,3,,
,,Fundamentals of Management,,,
3,IM1009,Kinh tế học Vĩ mô,3,IM1003(KN),
