STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,A.1. Toán và KH Tự nhiên (Mathematics and Basic Sciences) [BB],30,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
8,EE1007,Vật lý Bán dẫn,4,,
,,Semiconductor Physics,,,
9,MT1009,Phương pháp tính,3,MT1003(KN),
,,Numerical Methods,,,
,,A.2. Chính trị, Kinh tế, Văn hóa, Xã hội (Socials and Economics) [BB],13,,
1,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to Vietnamese Law,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
4,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
5,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
6,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,A.3. Nhập môn (Introduction to Engineering) [BB],3,,
1,EE1001,Nhập môn Về kỹ Thuật,3,,
,,Introduction to Electrical and Electronics Engineering,,,
,,A.4. Ngoại ngữ (Foreign Languages) [BB],8,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
3,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
4,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,A.5. Cơ sở ngành (Core Courses) [BB],31,,
1,EE1009,Kỹ thuật số,3,EE2031(KN),EE1007(KN),
,,Digital Designs,,,
2,EE2005,Tín hiệu và Hệ thống,3,EE2031(KN),EE2033(KN),
,,Signals and Systems,,,
3,EE2081,Ngôn ngữ lập trình,3,MT1009(KN),
,,Programming Languages,,,
4,EE2017,Cơ sở Kỹ thuật điện,3,EE2003(KN),EE2031(KN),EE2033(KN),
,,Fundamentals of Power Engineering,,,
5,EE2019,Cơ sở Điều khiển Tự động,3,EE2031(KN),x
,,Fundamentals of Control Systems,,,
6,EE2021,Cơ sở Điện tử Công suất,3,EE2033(KN),x
,,Fundamental of Power Electronics,,,
7,EE2023,Thực tập Điện tử 1,1,EE2033(KN),x
,,Electronic Workshop 1,,,
8,EE2025,Thực tập Điện 1,1,EE2033(KN),x
,,Electrical Workshop 1,,,
9,EE2033,Giải tích mạch,3,MT1005(KN),
,,Electric Circuit Analysis,,,
10,EE2035,Mạch điện tử,3,EE2033(TQ),EE1007(KN),
,,Electronic Circuits,,,
11,EE2039,Vi xử lý,3,EE1009(SHT),x
,,Microprocessor,,,
12,EE3023,Thực tập Điện 2,1,EE2017(KN),EE2033(KN),x
,,Electrical Workshop 2,,,
13,EE3185,Đồ án 1 (Kỹ thuật Điều khiển và Tự động hóa),1,EE2039(TQ),EE2021(KN),EE2019(KN),x
,,Project 1,,,
,,A.6. Chuyên ngành (Speciality Courses) [BB],15,,
1,EE3005,Đo lường Công nghiệp,3,EE2035(KN),x
,,Industrial Instrumentation,,,
2,EE3007,Lý Thuyết Điều khiển Nâng cao,3,EE2019(KN),x
,,Advanced Control Theory,,,
3,EE3017,Đo lường và Điều khiển bằng Máy tính,3,EE2081(KN),EE2039(KN),EE2019(KN),x
,,PC-Based Measurement and Control,,,
4,EE3029,Thiết bị và Hệ thống Tự động,3,EE2033(KN),x
,,Devices and Automation Systems,,,
5,EE3065,Kỹ thuật Robot,3,EE2081(KN),x
,,Robotics,,,
,,A.7. Tốt nghiệp (Graduation Internship/Projects) [BB],8,,
1,EE3355,Thực tập Ngoài trường,2,EE3029(KN),EE2019(KN),EE2021(KN),EE3185(SHT),x
,,Internship,,,
2,EE4009,Đồ án 2 (KT Điều khiển và Tự động hóa),2,EE2019(TQ),EE3029(TQ),EE3355(SHT),EE3185(TQ),EE3023(KN),EE3017(KN),EE3007(KN),EE3005(KN),x
,,Project 2,,,
3,EE4357,Đồ án Tốt nghiệp,4,EE4009(TQ),EE3355(TQ),x
,,Capstone Project,,,
,,B. Các môn tự chọn chuyên ngành nhóm A (Elective Specialized courses - Group A) [TC],9,,
1,EE3057,Nhập môn Điều khiển Thông minh,3,EE2019(KN),
,,Introduction to Intelligent Control,,,
2,EE3063,Trí tuệ Nhân tạo trong Điều Khiển,3,EE2081(KN),
,,Artificial Intelligence,,,
3,EE3067,Hệ thống Điều khiển Nhúng,3,EE2039(KN),
,,Embedded Control Systems,,,
4,EE3069,PLC,3,EE2019(KN),EE2039(KN),x
,,Programmable Logic Controller,,,
5,EE3071,SCADA,3,EE2081(KN),
,,SCADA,,,
6,EE3075,Thiết bị và Hệ thống Tự động Thủy khí,3,EE2019(KN),
,,Pneumatic and Hydraulic Control Components and Systems,,,
7,EE3077,Thị giác máy,3,EE2081(KN),
,,Machine Vision,,,
8,EE3079,Điện tử Công suất Ứng dụng,3,EE2021(KN),
,,Power Electronics and Applications,,,
9,EE3173,Điều khiển Chuyển động,3,EE2019(KN),
,,Motion Control,,,
10,EE3175,Mô hình và mô phỏng hệ thống công nghiệp,3,EE2019(KN),
,,Modeling and Simulation of Industrial Systems,,,
,,C. Môn tự chọn nhóm Quản lý/Khởi nghiệp – Nhóm B (Elective Courses – Group of Management) [TC],3,,
1,IM1023,Quản lý Sản xuất cho Kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
2,IM1025,Quản lý Dự án cho Kỹ sư,3,,
,,Project Management for Engineers,,,
3,IM3001,Quản trị Kinh doanh cho Kỹ sư,3,,
,,Business Administration for Engineers,,,
4,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
,,Entrepreneurship and Innovation,,,
,,D. Môn tự chọn nhóm Con người và môi trường/Kỹ năng nghề nghiệp chuyên nghiệp – Nhóm C [TC],3,,
1,EN1003,Con người và Môi trường,3,,
,,Humans and The Environment,,,
2,ME1019,Quản lý năng suất và chất lượng,3,,
,,Quality and Productivity Management,,,
,,E. Các môn tự chọn tự do (Free Elective Courses) [TC],9,,
,,F. Giáo dục quốc phòng (Military Training) [BB],0,,
1,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
,,G. Giáo dục thể chất (Physical education part 1) [TC],0,,
1,PE1009,Bóng đá (Học phần 1),0,,
,,Football,,,
2,PE1011,Bóng chuyền (Học phần 1),0,,
,,Volleyball,,,
3,PE1013,Bóng bàn (Học phần 1),0,,
,,Table tennis,,,
4,PE1021,Aerobic (học Phần 1),0,,
,,Aerobic,,,
5,PE1015,Bóng rổ (Học phần 1),0,,
,,Basketball,,,
6,PE1017,Cầu lông (Học phần 1),0,,
,,Badminton,,,
7,PE1025,Điền kinh (Học phần 1),0,,
,,Athletics,,,
8,PE1019,Bơi (học Phần 1),0,,
,,Swimming,,,
9,PE1027,Quần vợt (Học phần 1),0,,
,,Tennis,,,
10,PE1053,Cờ vua (Học phần 1),0,,
,,Chess,,,
11,PE1057,Bowling (học phần 1),0,,
,,Bowling,,,
12,PE1061,Pickleball (học phần 1),0,,
,,Pickleball,,,
,,H. Giáo dục thể chất (Physical education part 2) [TC],0,,
1,PE1037,Bóng bàn (Học phần 2),0,,
,,Table tennis,,,
2,PE1041,Cầu lông (Học phần 2),0,,
,,Badminton,,,
3,PE1033,Bóng đá (Học phần 2),0,,
,,Football,,,
4,PE1045,Aerobic (học Phần 2),0,,
,,Aerobic,,,
5,PE1043,Bơi (Học Phần 2),0,,
,,Swimming,,,
6,PE1039,Bóng rổ (Học phần 2),0,,
,,Basketball,,,
7,PE1035,Bóng chuyền (Học phần 2),0,,
,,Volleyball,,,
8,PE1049,Điền kinh (học phần 2),0,,
,,Athletics,,,
9,PE1051,Quần vợt (Học phần 2),0,,
,,Tennis,,,
10,PE1055,Cờ vua (học phần 2),0,,
,,Chess,,,
11,PE1063,Pickleball (học phần 2),0,,
,,Pickleball,,,
12,PE1059,Bowling (học phần 2),0,,
,,Bowling,,,
,,I. Điều kiện tốt nghiệp (Graduation Condition) [BB],0,,
1,SA4001,Hoạt động sinh viên,0,,
,,Student Activities,,,
2,ENG_GC,Điều kiện tiếng Anh tốt nghiệp,0,,
,,English Requirement for Graduation,,,
,,Z. Con người và môi trường (Humans and Environment) [TC],3,,
