STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,1. Kiến thức giáo dục đại cương,,,
,,Toán,,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
,,Khoa học tự nhiên,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
,,Toán và KH tự nhiên khác,,,
8,EE1007,Vật lý bán dẫn,4,,
,,Semiconductor Physics,,,
9,MT1009,Phương pháp tính,3,MT1003(KN) MT1007(KN),
,,Numerical Methods,,,
,,Kinh tế- Chính trị- Xã hội- Luật,,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,Giáo dục chung khác,,,
,,Nhập môn,,,
16,EE1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Electrical and Electronics Engineering,,,
,,Nhóm Quản lý (chọn 3 tín chỉ trong các học phần sau),,,
,,Elective Courses - Management for Engineers (Select 3 credits in the group of courses below),,,
17.1,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
17.2,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
17.3,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
17.4,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
17.5,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
,,Con người và môi trường,,,
18,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
,,Ngoại ngữ,,,
19,LA1003,Anh văn 1,2,,
,,English 1,,,
20,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
21,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
22,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,2. Kiến thức giáo dục chuyên nghiệp,,,
,,Cơ sở ngành,,,
1,EE1009,Kỹ thuật số,3,EE1007(KN) EE2033(SH),x
,,Digital Designs,,,
2,EE2003,Trường điện từ,3,EE2033(KN) MT1005(KN),
,,Electromagnetic Field,,,
3,EE2009,Hệ thống máy tính và ngôn ngữ lập trình,3,MT1009(KN),
,,Computer Systems and Programming Languages,,,
4,EE2017,Cơ sở kỹ thuật điện,3,EE2033(KN),x
,,Fundamentals of Power Engineering,,,
5,EE2019,Cơ sở điều khiển tự động,3,EE2033(KN),
,,Fundamentals of Control Systems,,,
6,EE2021,Cơ sở điện tử công suất,3,EE2033(KN),x
,,Fundamental of Power Electronics,,,
7,EE2023,Thực tập điện tử 1,1,EE2033(KN),x
,,Electronic Workshop 1,,,
8,EE2025,Thực tập điện 1,1,EE2033(KN),x
,,Electrical Workshop 1,,,
9,EE2033,Giải tích mạch,3,MT1005(KN),
,,Electric Circuit Analysis,,,
10,EE2035,Mạch điện tử,3,EE1007(KN) EE2033(KN),
,,Electronic Circuits,,,
11,EE2039,Vi xử lý,3,EE1009(KN),x
,,Microprocessor,,,
12,EE3023,Thực tập điện 2,1,EE2033(KN),x
,,Electrical Workshop 2,,,
13,EE3181,Đồ án 1 (Kỹ thuật điện),1,"EE2017(KN) EE2019(KN) EE2021(KN) EE2023(KN) EE2025(KN) EE3013(KN)",x
,,Project 1,,,
,,Chuyên ngành,,,
14,EE3001,Hệ thống cung cấp điện,3,EE2017(KN) EE3013(SH),x
,,Power Delivery System,,,
15,EE3009,Máy điện,3,EE2003(KN) EE2017(KN),x
,,Electric Machinery,,,
16,EE3013,Giải tích hệ thống điện,3,EE2033(KN) MT1009(KN),x
,,Power System Analysis,,,
17,EE3027,Nhà máy điện và trạm biến áp,3,EE2017(KN) EE3013(KN),x
,,Electric Power Plants and Substations,,,
18,EE3097,Kỹ thuật an toàn điện,3,EE2033(KN),x
,,Electrical Safety Engineering,,,
,,Nhóm tự chọn A (chọn 9 tín chỉ trong các học phần sau),,,
,,Elective Courses - Group A (Select 9 credits in the group of courses below),,,
19,EE3087,Bảo vệ rơle trong hệ thống điện,3,EE3013(KN),
,,Power System Protection,,,
20,EE3089,Kỹ thuật cao áp,3,EE3013(KN),
,,High Voltage Engineering,,,
21,EE3091,Vật liệu kỹ thuật điện,3,EE2003(KN),
,,Electrical Engineering Materials,,,
22,EE3093,Vận hành và điều khiển hệ thống điện,3,EE3013(KN),
,,Power System Operation and Control,,,
23,EE3095,Ổn định hệ thống điện,3,EE3013(KN),
,,Power System Stability,,,
24,EE3099,Kỹ thuật chiếu sáng,3,EE2017(KN),
,,Lighting Technology,,,
25,EE3101,Kỹ thuật tiết kiệm và sử dụng hiệu quả điện năng,3,EE2021(KN) EE3001(KN),
,,Energy Efficiency Technique,,,
26,EE3131,Hệ thống năng lượng xanh,3,EE2017(KN) EE2021(KN),
,,Green Power and Energy System,,,
27,EE3133,Thiết bị điện trong phân phối điện,3,EE2033(KN),
,,Electrical Distribution Equipment,,,
28,EE3135,Kỹ thuật nhiệt lạnh,3,EE2017(KN) PH1003(KN),
,,Heat and Refrigeration Engineering,,,
29,EE3139,Cảm biến và đo lường,3,EE2017(KN),
,,Sensors and Instrumentation,,,
30,EE3143,Điều khiển và ứng dụng các bộ biến đổi công suất,3,EE2021(KN),
,,Control and Applications of Power Electronic Converters,,,
31,EE3145,Kỹ thuật ra quyết định,3,EE3001(KN) EE3013(KN),
,,Techniques for Engineering Decisions,,,
32,EE3171,IoT trong công nghiệp và dân dụng,3,EE2017(KN) EE2039(KN),
,,IoT in Industrial and Civil Engineering,,,
33,EE3179,Truyền động điện,3,EE2021(KN) EE3009(KN),
,,Electric Drives,,,
34,EE4027,Nhập môn chiếu sáng,3,,
,,Light and Experiences,,,
35,EE4029,Chiếu sáng thông minh,3,,
,,Smart Lighting,,,
,,Tốt nghiệp,,,
36,EE3345,Thực tập ngoài trường,2,EE3181(SH),x
,,Internship,,,
37,EE4007,Đồ án 2 (Kỹ thuật điện),2,"EE3001(KN) EE3009(KN) EE3023(KN) EE3027(KN) EE3097(SH) EE3181(KN) EE3345(SH)",x
,,Project 2,,,
38,EE4347,Đồ án tốt nghiệp,4,EE3345(TQ) EE4007(TQ),x
,,Capstone Project,,,
,,3. Tự chọn tự do: 9 tín chỉ,,,
,,Free Electives: 9 Credits,,,
,,4. Chứng chỉ,,,
1,,Giáo dục quốc phòng,,
,,Military Trainning,,,
