STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,I. Các môn bắt buộc (Compulsary Courses),,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
8,EE1007,Vật lý bán dẫn,4,,
,,Semiconductor Physics,,,
9,MT1009,Phương pháp tính,3,,
,,Numerical Methods,,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
16,EE1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Electrical and Electronics Engineering,,,
17,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
18,LA1003,Anh văn 1,2,,
,,English 1,,,
19,LA1005,Anh văn 2,2,,
,,English 2,,,
20,LA1007,Anh văn 3,2,,
,,English 3,,,
21,LA1009,Anh văn 4,2,,
,,English 4,,,
22,EE1009,Kỹ thuật số,3,,
,,Digital Designs,,,
23,EE2005,Tín hiệu và hệ thống,3,,
,,Signals and Systems,,,
24,EE2009,Hệ thống máy tính và ngôn ngữ lập trình,3,,
,,Computer Systems and Programming Languages,,,
25,EE2023,Thực tập điện tử 1,1,,
,,Electronic Workshop 1,,,
26,EE2025,Thực tập điện 1,1,,
,,Electrical Workshop 1,,,
27,EE2033,Giải tích mạch,3,,
,,Electric Circuit Analysis,,,
28,EE2035,Mạch điện tử,3,,
,,Electronic Circuits,,,
29,EE2039,Vi xử lý,3,,
,,Microprocessor,,,
30,EE2059,Đồ án 1 (KT Điện tử- Viễn thông & Kỹ thuật điều khiển và Tự động hóa),1,,
,,Project 1,,,
31,EE2003,Trường điện từ,3,,
,,Electromagnetic Field,,,
32,EE2015,Xử lý số tín hiệu,3,,
,,Digital Signal Processing,,,
33,EE2047,Truyền số liệu và mạng,3,,
,,Data Communications and Networking,,,
34,EE2049,Thực tập điện tử 2,1,,
,,Electronic Workshop 2,,,
35,EE2017,Cơ sở kỹ thuật điện,3,,
,,Fundamentals of Power Engineering,,,
36,EE2019,Cơ sở điều khiển tự động,3,,
,,Fundamentals of Control Systems,,,
37,EE2021,Cơ sở điện tử công suất,3,,
,,Fundamental of Power Electronics,,,
38,EE2051,Thực tập điện 2,1,,
,,Electrical Workshop 2,,,
,,II. Các môn bắt buộc và tự chọn của chuyên ngành (Compulsary and Elective Major Courses),,,
1,,Tự chọn tự do (Free Elective) (Tối thiểu 9 TC),9,,
2,,Các môn tự chọn nhóm (Elective Courses - Group) A (Tối thiểu 9 TC),9,,
3,,Các môn tự chọn nhóm (Elective Courses - Group) B (Tối thiểu 6 TC),6,,
4,,Các môn tự chọn nhóm (Elective Courses - Group) C (Tối thiểu 3 TC),3,,
,,"Các môn tự chọn nhóm (Elective Courses - Group) A",,,
1,EE3031,Lập trình hệ thống nhúng,3,,
,,Embedded System Programming,,,
2,EE3035,Xử lý ảnh,3,,
,,Digital Image Processing,,,
3,EE3037,Điện tử y sinh,3,,
,,Biomedical Electronics,,,
4,EE3041,Xử lý tín hiệu số với FPGA,3,,
,,Digital Signal Processing on FPGA,,,
5,EE3043,Cấu trúc máy tính,3,,
,,Computer Architecture,,,
6,EE3085,Mạng viễn thông,3,,
,,Communication Networks,,,
7,EE3107,Thông tin di động,3,,
,,Mobile Communications,,,
8,EE3111,Mạng máy tính,3,,
,,Computer Network,,,
9,EE3117,Thiết kế vi mạch số,3,,
,,Digital IC Design,,,
10,EE3121,Thiết kế vi mạch tương tự và hỗn hợp,3,,
,,Analog and Mixed Signal IC Design,,,
11,EE3127,Anten - truyền sóng vô tuyến,3,,
,,Antennas and Radio Wave Propagation,,,
12,EE3129,Điện tử ứng dụng,3,,
,,Applied Electronics,,,
13,EE3167,Thiết kế và phát triển ứng dụng IoT,3,,
,,Design and Development of IoT Applications,,,
14,EE3169,Máy học cơ bản và ứng dụng,3,,
,,An Introduction to Machine Learning and Applications,,,
15,EE3177,Chuyên đề điện tử - viễn thông,3,,
,,Special Topics in Electronics and Telecomunications,,,
,,"Các môn tự chọn nhóm (Elective Courses - Group) B",,,
1,EE3057,Nhập môn điều khiển thông minh,3,,
,,Introduction to Intelligent Control,,,
2,EE3063,Trí tuệ nhân tạo trong điều khiển,3,,
,,Artificial Intelligence,,,
3,EE3067,Hệ thống điều khiển nhúng,3,,
,,Embedded Control Systems,,,
4,EE3069,PLC,3,,
,,Programmable Logic Controller,,,
5,EE3071,SCADA,3,,
,,SCADA,,,
6,EE3075,Thiết bị và hệ thống tự động thủy khí,3,,
,,Pneumatic & Hydraulic Control Components and Systems,,,
7,EE3077,Thị giác máy,3,,
,,Machine Vision,,,
8,EE3079,Điện tử công suất ứng dụng,3,,
