STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,A. Các môn bắt buộc (Compulsary Courses) [BB],,,
,,A.1. Toán & Khoa học tự nhiên (Mathematics and Basic Sciences) [BB],,,
,,A.1.1. Toán (Mathematics) [BB],,,
1,MT1011,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1013,Giải tích 2,4,,
,,Calculus 2,,,
3,MT1015,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
4,MT2007,Giải tích 3,3,,
,,Calculus 3,,,
5,MT2009,Xác suất và Thống kê,4,,
,,Probability and Statistics,,,
6,MT2011,Phương pháp tính,3,,
,,Numerical MeThods,,,
,,A.1.2. Khoa học tự nhiên (Basic Sciences) [BB],,,
1,PH1009,Vật lý 1,4,,
,,General Physics 1,,,
2,PH2005,Vật lý 2,4,,
,,General Physics 2,,,
3,PH2007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
4,AS2047,Vật lý sóng,3,,
,,Wave Physics,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
,,A.2. Chính trị, Kinh tế, Văn hóa, Xã hội (Socials and Economics) [BB],,,
1,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to VieTNamese Law,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031,(KN)
,,Marxist - Leninist Political Economy,,,
4,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033,(KN)
,,Scientific Socialism,,,
5,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035,(KN)
,,History of VieTNamese Communist Party,,,
6,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039,(KN)
,,Ho Chi Minh Ideology,,,
,,A.3. Nhập môn (Introduction to Engineering) [BB],,,
1,EE1001,Nhập môn Về kỹ Thuật,3,,
,,Introduction to Electrical and Electronics Engineering,,,
,,A.4. Con người và môi trường (Humans and Environment) [BB],,,
1,EN1003,Con người và Môi trường,3,,
,,Humans and The Environment,,,
,,A.5. Ngoại ngữ (Foreign Languages) [BB],,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,LA1005,Anh văn 2,2,LA1003,(TQ)
,,English 2,,,
3,LA1007,Anh văn 3,2,LA1005,(TQ)
,,English 3,,,
4,LA1009,Anh văn 4,2,LA1007,(TQ)
,,English 4,,,
5,LA1011,Pháp văn 1,2,,
,,French 1,,,
6,LA1013,Pháp văn 2,2,,
,,French 2,,,
7,LA1015,Pháp văn 3,2,,
,,French 3,,,
8,LA1017,Pháp văn 4,2,,
,,French 4,,,
9,LA3021,Pháp văn 5,2,,
,,French 5,,,
10,LA3023,Pháp văn 6,2,,
,,French 6,,,
,,A.6. Môn học cơ sở ngành (Core Courses) [BB],,,
1,CI1003,Vẽ kỹ thuật,3,,
,,Engineering Drawing,,,
2,EE1009,Kỹ thuật số,3,EE2031,EE1007(KN)
,,Digital Designs,,,
3,EE2003,Trường điện từ,3,MT1013,MT1005(KN)
,,Electromagnetic Field,,,
4,EE2009,Hệ thống Máy tính và Ngôn ngữ Lập trình,3,MT2011,(KN)
,,Computer Systems and Programming Languages,,,
5,EE2031,Điện - Giải tích mạch,3,MT1013,(KN)
,,Electrics - Circuit Analysis,,,
6,EE3189,Điện tử học Tương tự và Ứng dụng,3,EE2031,(TQ)
,,Analog Circuits and Applications,,,
7,EE2119,Thực tập Công nhân,2,EE2031,(SHT)
,,Workshop Practice,,,
8,EE4213,Đồ án cơ sở ngành (HTNL),1,EE2017(TQ), EE4055(KN), EE3013(KN), EE2019(KN),
,,Project 1 (Energy Systems),,,
9,EE4091,Thực tập điện tử,1,EE2031,(KN)
,,Electronics Workshop,,,
10,EE2017,Cơ sở Kỹ thuật điện,3,EE2003(KN), EE2031(KN), EE2033(KN),
,,Fundamentals of Power Engineering,,,
11,EE2019,Cơ sở Điều khiển Tự động,3,EE2031(KN), EE2033(KN),
,,Fundamentals of Control Systems,,,
12,EE3013,Giải tích Hệ thống điện,3,EE2017(KN), MT2011(KN),
,,Power System Analysis,,,
,,A.7. Môn học chuyên ngành (Speciality Courses) [BB],,,
1,EE4055,Điện tử Công suất,3,EE2031,(KN)
,,Power Electronics,,,
2,EE3097,Kỹ thuật An toàn điện,3,EE2031(KN), EE2033(KN),
,,Electrical Safety Engineering,,,
3,EE4063,Hệ thống Cung cấp điện (PBL),3,EE2017,(KN)
,,Power Delivery System,,,
4,EE4065,Nhà máy Điện và Trạm biến áp (PBL),3,EE3013(KN), EE2017(KN),
,,Electric Power Plants and Substations,,,
5,EE3009,Máy điện,3,EE2017,(TQ)
,,Electric Machinery,,,
6,EE5005,Thiết bị Điện trong Phân phối điện (PBL),3,EE2017(KN), EE2031(TQ),
,,Electrical Distribution Equipment,,,
7,EE5007,Kỹ thuật Cao áp (Pbl),3,EE3013,(KN)
,,High Voltage Engineering,,,
8,EE3395,Thực tập Ngoài trường,2,EE2009(KN), EE3189(KN), EE2119(TQ), EE2017(KN),
,,Internship,,,
,,A.8. Tốt nghiệp (Graduation Internship/Projects) [BB],,,
1,EE4395,Thực tập Kỹ sư,2,EE3097(KN), EE4065(KN), EE4063(KN), EE4213(SHT), EE3395(TQ),
,,Engineering Internship,,,
2,EE5003,Đồ án Chuyên ngành,2,EE3097(KN), EE4065(KN), EE4063(KN), EE4213(TQ), EE4395(SHT),
,,Specialized Project,,,
3,EE5027,Luận văn Tốt nghiệp,9,EE5003(TQ), EE4395(TQ),
,,Thesis,,,
,,A.9. Quản lý/Khởi nghiệp (Management/Entrepreneurship) [BB],,,
1,IM1021,Khởi nghiệp,3,,
,,Entrepreneurship,,,
,,B. Các môn tự chọn chuyên ngành nhóm A (Elective Specialized Courses - Group A) [TC],,,
,,B.1. Môn tự chọn chuyên ngành nhóm A (Elective Specialized Course - Group A) [TC],,,
1,EE5031,Điều khiển và ứng dụng các bộ biến đổi công suất (PBL),3,EE4055,(KN)
,,Control and Applications of Power Converters (Project-Based Learnin,,,
