STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,"I. Các môn bắt buộc (Compulsary Courses)",,,
1,MT1011,Giải tích 1,4,,Toán và KH Tự nhiên
,,Calculus 1,,,
2,MT1013,Giải tích 2,4,,Toán và KH Tự nhiên
,,Calculus 2,,,
3,MT1015,Đại số tuyến tính,3,,Toán và KH Tự nhiên
,,Linear Algebra,,,
4,MT2007,Giải tích 3,3,,Toán và KH Tự nhiên
,,Calculus 3,,,
5,MT2009,Xác suất và thống kê,4,,Toán và KH Tự nhiên
,,Probability and Statistics,,,
6,MT2011,Phương pháp tính,3,,Toán và KH Tự nhiên
,,Numerical Analysis,,,
7,PH1009,Vật lý 1,4,,Toán và KH Tự nhiên
,,General Physics 1,,,
8,PH2005,Vật lý 2,4,,Toán và KH Tự nhiên
,,General Physics 2,,,
9,PH2007,Thí nghiệm vật lý,1,,Toán và KH Tự nhiên
,,Labs of General Physics,,,
10,AS2049,Cơ học vật rắn & sóng cơ,3,,Toán và KH Tự nhiên
,,Solid Mechanics and Wave,,,
11,CH1003,Hóa đại cương,3,,Toán và KH Tự nhiên
,,General Chemistry,,,
12,SP1007,Pháp luật Việt Nam đại cương,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Introduction to Vietnamese Law,,,
13,SP1031,Triết học Mác - Lênin,3,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Marxist - Leninist Philosophy,,,
14,SP1033,Kinh tế chính trị Mác - Lênin,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Marxist - Leninist Political Economy,,,
15,SP1035,Chủ nghĩa xã hội khoa học,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Scientific Socialism,,,
16,SP1037,Tư tưởng Hồ Chí Minh,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,Ho Chi Minh Ideology,,,
17,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,Chính trị, Kinh tế, Văn hóa, Xã hội
,,History of Vietnamese Communist Party,,,
18,CI1001,Nhập môn về kỹ thuật,3,,Nhập môn
,,Introduction to Engineering,,,
19,EN1003,Con người và môi trường,3,,Con người và môi trường
,,Humans and the Environment,,,
20,LA1003,Anh văn 1,2,,Ngoại ngữ
,,English 1,,,
21,LA1005,Anh văn 2,2,,Ngoại ngữ
,,English 2,,,
22,LA1007,Anh văn 3,2,,Ngoại ngữ
,,English 3,,,
23,LA1009,Anh văn 4,2,,Ngoại ngữ
,,English 4,,,
24,LA1011,Pháp văn 1,2,,Ngoại ngữ
,,French 1,,,
25,LA1013,Pháp văn 2,2,,Ngoại ngữ
,,French 2,,,
26,LA1015,Pháp văn 3,2,,Ngoại ngữ
,,French 3,,,
27,LA1017,Pháp văn 4,2,,Ngoại ngữ
,,French 4,,,
28,LA3021,Pháp văn 5,2,,Ngoại ngữ
,,French 5,,,
29,LA3023,Pháp văn 6,2,,Ngoại ngữ
,,French 6,,,
30,CI1033,Vẽ kỹ thuật xây dựng,3,,Cơ sở ngành
,,Civil Engineering Drawing,,,
31,CI2003,Cơ lưu chất,3,,Cơ sở ngành
,,Fluid Mechanics,,,
32,CI2007,Sức bền vật liệu,4,,Cơ sở ngành
,,Strength of Materials,,,
33,CI2095,Địa chất công trình,3,,Cơ sở ngành
,,Engineering Geology,,,
34,CI2119,Thực tập công nhân,2,,Cơ sở ngành
,,Workshop Practice,,,
35,CI2137,Cơ học đất,3,,Cơ sở ngành
,,Soil Mechanics,,,
36,CI2135,Cơ kết cấu,3,,Cơ sở ngành
,,Mechanics of Structures,,,
37,CI2153,Thủy lực và thủy văn đô thị,4,,Cơ sở ngành
,,Hydraulics and Urban Hydrology,,,
38,EE2031,Điện - giải tích mạch,3,,Cơ sở ngành
,,Electrics - Circuit Analysis,,,
39,CI2127,Hóa học nước trong kỹ thuật môi trường,3,,Cơ sở ngành
,,Water Chemistry in Environmental Engineering,,,
40,CI2129,Các quá trình xử lý trong kỹ thuật môi trường,3,,Cơ sở ngành
,,Physico-chemical Processes in Environmental Engineering,,,
41,CI2131,Thí nghiệm môi trường nước đô thị,1,,Cơ sở ngành
,,Urban Water Testing,,,
,,"II. Các môn bắt buộc và tự chọn của chuyên ngành (Compulsary and Elective Major Courses)",,,
,,"II.1 Chuyên ngành: Kỹ thuật & Quản lý nước đô thị (Speciality: Urban Water Engineering and Management)",,,
,,"Tự chọn tự do (Free Elective) (Tối thiểu 9 TC)",,,
,,"Các môn tự chọn nhóm (Elective Courses - Group) A (Tối thiểu 3 TC)",,,
,,"Các môn tự chọn nhóm (Elective Courses - Group) B (Tối thiểu 3 TC)",,,
,,"Các môn tự chọn nhóm (Elective Courses - Group) C (Tối thiểu 3 TC)",,,
,,"Các môn tự chọn nhóm (Elective Courses - Group) D (Tối thiểu 3 TC)",,,
42,CI3241,Cấp thoát nước,3,,Chuyên ngành
,,Water Supply and Sewerage,,,
43,CI4203,Đồ án cấp thoát nước,1,,Chuyên ngành
,,Water Supply and Drainage Project,,,
44,CI5003,Kiểm soát nước mưa chảy tràn đô thị,3,,Chuyên ngành
,,Urban Hydrology and Stormwater Management,,,
45,CI5009,Đồ án nghiên cứu khoa học và phát triển,1,,Chuyên ngành
,,R&D Training Project,,,
46,CI3395,Thực tập ngoài trường,2,,Chuyên ngành
,,Internship,,,
47,CI5013,Kỹ thuật hạ tầng đô thị,3,,Chuyên ngành PBL; PBL: 3
,,Urban Infrastructure Engineering,,,
48,CI4211,Kỹ thuật xử lý nước cấp,3,,Chuyên ngành PBL; PBL: 3
,,Water Supply Treatment Engineering,,,
49,CI5035,Kỹ thuật xử lý nước thải,3,,Chuyên ngành PBL; PBL: 3
,,Wastewater Treatment Engineering,,,
50,CI4395,Thực tập kỹ sư,2,,Tốt nghiệp
,,Engineering Internship,,,
51,CI5001,Đồ án chuyên ngành,2,,Tốt nghiệp
,,Specialized Project,,,
52,CI5027,Luận văn tốt nghiệp,9,,Tốt nghiệp
,,Thesis,,,
