STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,1. Kiến thức giáo dục đại cương (General Knowledge),,,
,,Toán (Mathematics),,,
1,MT1011,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1013,Giải tích 2,4,,
,,Calculus 2,,,
3,MT1015,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2007,Giải tích 3,3,,
,,Calculus 3,,,
5,MT2009,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
6,MT2011,Phương pháp tính,3,,
,,Numerical Analysis,,,
,,Khoa học tự nhiên (Science),,,
7,AS2047,Vật lý sóng,3,,
,,Wave Physics,,,
8,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
9,PH1009,Vật lý 1,4,,
,,General Physics 1,,,
10,PH2005,Vật lý 2,4,,
,,General Physics 2,,,
11,PH2007,Thí nghiệm vật lý,1,,
,,Labs of General Physics,,,
,,Kinh tế- Chính trị- Xã hội- Luật (Economics - Politics - Sociology - Law),,,
12,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
13,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
14,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
15,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
16,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
17,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,Giáo dục chung khác (Other Knowledge),,,
,,Nhập môn (Introduction to Engineering),,,
18,EE1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Electrical and Electronics Engineering,,,
,,Quản lý (Management for Engineers),,,
19,IM1021,Khởi nghiệp,3,,
,,Entrepreneurship,,,
,,Con người và môi trường (Humans and Environment),,,
20,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
,,Ngoại ngữ (Foreign Language),,,
,,Tiếng Anh (English),,,
21,LA1003,Anh văn 1,2,,
,,English 1,,,
22,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
23,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
24,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,Tiếng Pháp (French),,,
25,LA1011,Pháp văn 1,2,,
,,French 1,,,
26,LA1013,Pháp văn 2,2,,
,,French 2,,,
27,LA1015,Pháp văn 3,2,,
,,French 3,,,
28,LA1017,Pháp văn 4,2,,
,,French 4,,,
29,LA3021,Pháp văn 5,2,,
,,French 5,,,
30,LA3023,Pháp văn 6,2,,
,,French 6,,,
,,2. Kiến thức giáo dục chuyên nghiệp (Professional Knowledge),,,
,,Cơ sở ngành (Core),,,
1,CI1003,Vẽ kỹ thuật,3,,
,,Engineering Drawing,,,
2,EE1009,Kỹ thuật số,3,EE2031(SH) PH2005(KN),
,,Digital Designs,,,
3,EE2003,Trường điện từ,3,EE2031(KN) MT1013(KN),
,,Electromagnetic Field,,,
4,EE2005,Tín hiệu và hệ thống,3,EE2031(KN),
,,Signals and Systems,,,
5,EE2009,Hệ thống máy tính và ngôn ngữ lập trình,3,MT2011(KN),
,,Computer Systems and Programming Languages,,,
6,EE2015,Xử lý số tín hiệu,3,EE2005(KN),
,,Digital Signal Processing,,,
7,EE2031,Điện tử và sơ đồ mạch,3,MT1013(KN),
,,Electrics - Circuit Analysis,,,
8,EE2039,Vi xử lý,3,EE1009(KN),
,,Microprocessor,,,
9,EE2109,Thực tập công nhân,2,EE2031(SH),
,,Workshop Practice,,,
10,EE3189,Điện tử học tương tự và ứng dụng,3,EE2031(KN),
,,Analog Circuits and Applications,,,
11,EE4057,Đồ án cơ sở ngành,2,"EE3019(SH) EE2005(KN) EE3189(KN) EE3019(SH) EE3189(KN) EE4053(KN) EE4053(KN)",
,,Project 1,,,
,,Chuyên ngành (Speciality),,,
12,EE3015,Kỹ thuật hệ thống viễn thông,3,EE2005(KN),
,,Communication Systems Engineering,,,
13,EE3019,Truyền số liệu và mạng,3,EE1009(KN) EE2005(KN),
,,Data Communications and Networking,,,
,,Nhóm tự chọn A (chọn 9 tín chỉ trong các học phần sau),,,
,,Elective Course - Group A (Select 9 credits in the group of courses below),,,
14,EE3031,Kỹ thuật hệ thống nhúng,3,EE4053(KN),
,,Embedded System Programming,,,
15,EE3035,Xử lý ảnh,3,EE2015(KN),
,,Digital Image Processing,,,
16,EE3037,Điện tử y sinh,3,EE3189(KN) PH2005(KN),
,,Biomedical Electronics,,,
17,EE3041,Xử lý tín hiệu số trên FPGA,3,EE1009(KN) EE2015(KN),
,,Digital Signal Processing on FPGA,,,
18,EE3043,Cấu trúc máy tính,3,EE2039(KN),
,,Computer Architecture,,,
19,EE3085,Mạng viễn thông,3,EE3015(KN),
,,Communication Networks,,,
20,EE3111,Mạng máy tính,3,EE3019(KN),
,,Computer Network,,,
21,EE3117,Thiết kế vi mạch số,3,EE3189(KN) PH2005(KN),
,,Digital IC Design,,,
22,EE3121,Thiết kế vi mạch tương tự và hỗn hợp,3,EE3189(KN) PH2005(KN),
,,Analog and Mixed Signal IC Design,,,
23,EE3125,Quang điện tử,3,EE3189(KN),
,,Optoelectronics,,,
24,EE3127,Anten - truyền sóng vô tuyến,3,EE2003(KN),
,,Antennas and Radio Wave Propagation,,,
25,EE3129,Điện tử ứng dụng,3,EE2039(KN) EE3189(KN),
,,Applied Electronics,,,
26,EE3167,Thiết kế và phát triển ứng dụng IoT,3,EE3019(KN) EE4053(KN),
,,Design and Development of IoT Applications,,,
27,EE3169,Máy học cơ bản và ứng dụng,3,EE2015(KN),
,,An Introduction to Machine Learning and Applications,,,
28,EE3177,Chuyên đề điện tử - viễn thông,3,EE3015(KN) EE4053(KN),
,,Special Topics in Electronics and Telecomunications,,,
29,EE4067,Thông tin số,3,EE3015(KN),
,,Digital Communications,,,
,,Chuyên ngành (PBL) (Speciality (PBL)),,,
30,EE4051,Thiết kế vi mạch (PBL),3,EE3189(KN),1
,,IC Design,,,
31,EE4053,Thiết kế hệ thống nhúng (PBL),3,EE2039(KN),1
,,Embedded System Design,,,
32,EE5013,Kỹ thuật siêu cao tần (PBL),3,EE2003(KN) EE3189(TQ),1
,,Microwave Engineering,,,
33,EE5015,Mạch điện tử thông tin (PBL),3,EE3189(TQ),1
,,Electronics Circuits for Communications,,,
34,EE5019,Thông tin di động (PBL),3,EE3015(KN) EE3019(KN),1
,,Mobile Communications,,,
,,Tốt nghiệp (Graduation),,,
35,EE3385,Thực tập ngoài trường,2,"EE2039(SH) EE2109(TQ) EE3189(SH)",
,,Internship,,,
36,EE4385,Thực tập kỹ sư,2,EE3385(TQ) EE4057(SH),
,,Engineering Internship,,,
37,EE5001,Đồ án chuyên ngành,2,"EE3019(KN) EE4057(KN) EE4385(SH) EE5013(SH) EE5015(SH) EE5019(SH)",
,,Specialized Project,,,
38,EE5017,Luận văn tốt nghiệp,9,EE4385(TQ) EE5001(TQ),
,,Thesis,,,
,,3. Tự chọn tự do: 9 tín chỉ (Free Electives: 9 Credits),,,
,,4. Chứng chỉ (Certification),,,
1,,Giáo dục quốc phòng,,,
,,Military Trainning,,,
2,,Giáo dục thể chất,,,
,,Physical Education,,,
