STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
1. Kiến thức giáo dục đại cương (General Knowledge),,,,,
Toán (Mathematics),,,,,
1,MT1011,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1013,Giải tích 2,4,,
,,Calculus 2,,,
3,MT1015,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2007,Giải tích 3,3,,
,,Calculus 3,,,
5,MT2009,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
6,MT2011,Phương pháp tính,3,,
,,Numerical Analysis,,,
Khoa học tự nhiên (Science),,,,,
7,PH1009,Vật lý 1,4,,
,,General Physics 1,,,
8,PH2005,Vật lý 2,4,,
,,General Physics 2,,,
9,PH2007,Thí nghiệm vật lý,1,,
,,Labs of General Physics,,,
10,AS2049,Cơ học vật rắn & sóng cơ,3,"MT1011(KN) MT1015(KN) PH1009(KN)",
,,Solid Mechanics and Wave,,,
11,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
Kinh tế- Chính trị- Xã hội- Luật (Economics - Politics - Sociology - Law),,,,,
12,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
13,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
14,SP1033,Kinh tế chính trị Mác - Lênin,2,"SP1031(KN)",
,,Marxist - Leninist Political Economy,,,
15,SP1035,Chủ nghĩa xã hội khoa học,2,"SP1033(KN)",
,,Scientific Socialism,,,
16,SP1037,Tư tưởng Hồ Chí Minh,2,"SP1039(KN)",
,,Ho Chi Minh Ideology,,,
17,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,"SP1035(KN)",
,,History of Vietnamese Communist Party,,,
Giáo dục chung khác (Other Knowledge),,,,,
Nhập môn (Introduction to Engineering),,,,,
18,MA1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
Quản lý (Management for Engineers),,,,,
19,IM1021,Khởi nghiệp,3,,
,,Entrepreneurship,,,
20,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
Ngoại ngữ (Foreign Language),,,,,
21,LA1003,Anh văn 1,2,,
,,English 1,,,
22,LA1005,Anh văn 2,2,"LA1003(TQ)",
,,English 2,,,
23,LA1007,Anh văn 3,2,"LA1005(TQ)",
,,English 3,,,
24,LA1009,Anh văn 4,2,"LA1007(TQ)",
,,English 4,,,
25,LA1011,Pháp văn 1,2,,
,,French 1,,,
26,LA1013,Pháp văn 2,2,,
,,French 2,,,
27,LA1015,Pháp văn 3,2,,
,,French 3,,,
28,LA1017,Pháp văn 4,2,,
,,French 4,,,
29,LA3021,Pháp văn 5,2,,
,,French 5,,,
30,LA3023,Pháp văn 6,2,,
,,French 6,,,
2. Kiến thức giáo dục chuyên nghiệp (Professional Knowledge),,,,,
Cơ sở ngành (Core),,,,,
1,CI1003,Vẽ kỹ thuật,3,,
,,Engineering Drawing,,,
2,EE2031,Điện - giải tích mạch,3,"MT1013(KN)",
,,Electrics - Circuit Analysis,,,
3,MA1003,Cơ sở khoa học vật liệu,3,"CH1003(SH) MT1011(KN) PH1009(KN) PH2005(SH)",
,,Fundamentals of Materials Science,,,
4,MA2007,Hóa học polyme,3,"MA2039(KN)",
,,Polymer Chemistry,,,
5,MA2015,Hóa lý polymer,3,"MA2037(KN)",
,,Physical Chemistry of Polymers,,,
6,MA2035,Công nghệ vật liệu,3,,
,,Materials Technologies,,,
7,MA2037,Hóa lý - Công nghệ Vật liệu,3,"CH1003(KN) MT1011(KN)",
,,Physical Chemistry,,,
8,MA2039,Hóa hữu cơ - Công nghệ Vật liệu,3,"CH1003(KN)",
,,Organic Chemistry,,,
9,MA2119,Thực tập công nhân,2,,
,,Workshop Practice,,,
10,MA3121,Thí nghiệm hóa học polyme,1,,
,,Laboratory Practicum in Chemistry of Polymer,,,
11,MA3123,Thí nghiệm hóa lý polyme,1,,
,,Laboratory Practicum in Phyiscal Chemistry of Polymer,,,
Chuyên ngành (Speciality),,,,,
12,MA3019,Kỹ thuật sản xuất các chất cao phân tử,3,"MA2007(KN) MA2015(SH)",
,,Polymers Fabrication Engineering,,,
13,MA4067,Kỹ thuật gia công polyme,4,"MA2015(KN) MA3019(KN)",
,,Polymer Processing,,,
14,MA4069,Các tính chất của vật liệu polyme,3,"MA2007(KN) MA4067(SH)",
,,Properties of Polymer,,,
15,MA4079,Công nghệ các chất tạo màng,3,"MA2007(KN) MA2015(KN) MA3019(KN)",
,,Organic Coating Technology,,,
16,MA4153,Công nghệ cao su,3,,
,,Rubber Technology,,,
17,MA4155,Thí nghiệm công nghệ cao su,2,,
,,Practices of Rubber Technology,,,
18,MA5015,Các phương pháp phân tích cấu trúc vật liệu hữu cơ,3,,
,,Characterization of Polymers,,,
19,MA5019,Thực hành tạo màng và các tính chất của vật liệu polyme,1,,
,,Practice Creating Polymer Films and Properties Analysis,,,
Nhóm tự chọn B (chọn 6 tín chỉ trong các học phần sau) Elective Courses - Group B (Select 6 credits in the group of courses below),,,,,
20,MA4085,Polyme blend,3,"MA2007(KN) MA2015(KN) MA3019(KN)",
,,Polymer Blend,,,
21,MA4159,Công nghệ phân loại và tái chế rác thải nhựa,3,,
,,Technology of Sorting and Recycling Plastic Waste,,,
22,MA4161,Công nghệ sản xuất bao bì,3,,
,,Packaging Technology,,,
23,MA4163,Kỹ thuật sản xuất xenlulo và giấy,3,,
,,Introduction to Pulp and Paper Technology,,,
24,MA4165,Polyme y sinh và polyme phân hủy,3,,
,,Biopolymers and Degradable Polymers,,,
25,MA4167,Vật liệu cao su ứng dụng,3,,
,,Engineering with Rubber,,,
26,MA4169,Vật liệu polyme xốp,3,,
,,Porous Polymer Material,,,
Chuyên ngành (PBL) (Speciality (PBL)),,,,,
27,MA4157,Đồ án chuyên ngành 1 (PBL),2,,"2"
,,Project for Polymer Materials 1,,,
28,MA5025,Vật liệu polymer composite,3,,"3"
,,Polymer Composite,,,
Tốt nghiệp (Graduation),,,,,
29,MA3395,Thực tập ngoài trường,2,"MA2119(TQ)",
,,Internship,,,
30,MA4395,Thực tập kỹ sư,2,"MA3395(TQ)",
,,Engineering Internship,,,
31,MA5007,Đồ án chuyên ngành 2 (PBL),2,"MA4395(SH)",
,,Project for Polymer Materials 2,,,
32,MA5027,Luận văn tốt nghiệp,9,"MA3395(TQ) MA4395(TQ) MA5007(TQ)",
,,Thesis,,,
,,3. Tự chọn tự do: 9 tín chỉ (Free Electives: 9 Credits),,,,,
4. Chứng chỉ (Certification),,,,,
1,,Giáo dục quốc phòng,,,
,,Military Trainning,,
2,,Giáo dục thể chất,,,
,,Physical Education,,
