STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
A. Kiến thức giáo dục đại cương,,,,
General Knowledge,,,,
1. Toán,,,,
Mathematics,,,,
1,MT1011,Giải tích 1,4,,
,,"Calculus 1",,,
2,MT1013,Giải tích 2,3,,
,,"Calculus 2",,,
3,MT1015,Đại số tuyến tính,3,,
,,"Linear Algebra",,,
4,MT2007,Giải tích 3,3,,
,,"Calculus 3",,,
5,MT2009,Xác suất và thống kê,4,,
,,"Probability and Statistics",,,
6,MT2011,Phương pháp tính,3,,
,,"Numerical Analysis",,,
2. Khoa học tự nhiên,,,,
Science,,,,
7,AS2049,Cơ học vật rắn & sóng cơ,3,"MT1011(KN) MT1015(KN) PH1009(KN)",
,,"Solid Mechanics and Wave",,,
8,CH1003,Hóa đại cương,3,,
,,"General Chemistry",,,
9,PH1009,Vật lý 1,4,,
,,"General Physics 1",,,
10,PH2005,Vật lý 2,4,,
,,"General Physics 2",,,
11,PH2007,Thí nghiệm vật lý,1,,
,,"Labs of General Physics",,,
3. Kinh tế- Chính trị- Xã hội- Luật,,,,
Economics - Politics - Sociology - Law,,,,
12,SP1007,Pháp luật Việt Nam đại cương,2,,
,,"Introduction to Vietnamese Law",,,
13,SP1031,Triết học Mác - Lênin,3,,
,,"Marxist - Leninist Philosophy",,,
14,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,"Marxist - Leninist Political Economy",,,
15,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,"Scientific Socialism",,,
16,SP1037,Tư tưởng Hồ Chí Minh,2,SP1035(KN),
,,"Ho Chi Minh Ideology",,,
17,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,"History of Vietnamese Communist Party",,,
4. Giáo dục chung khác,,,,
Other Knowledge,,,,
Nhập môn,,,,
Introduction to Engineering,,,,
18,MA1001,Nhập môn về kỹ thuật,3,,
,,"Introduction to Engineering",,,
Quản lí,,,,
Management for Engineers,,,,
19,IM1021,Khởi nghiệp,3,,
,,"Entrepreneurship",,,
20,EN1003,Con người và môi trường,3,,
,,"Humans and the Environment",,,
Ngoại ngữ,,,,
Foreign Language,,,,
21,LA1003,Anh văn 1,2,,
,,"English 1",,,
22,LA1005,Anh văn 2,2,LA1003(TQ),
,,"English 2",,,
23,LA1007,Anh văn 3,2,LA1005(TQ),
,,"English 3",,,
24,LA1009,Anh văn 4,2,LA1007(TQ),
,,"English 4",,,
25,LA1011,Pháp văn 1,2,,
,,"French 1",,,
26,LA1013,Pháp văn 2,2,,
,,"French 2",,,
27,LA1015,Pháp văn 3,2,,
,,"French 3",,,
28,LA1017,Pháp văn 4,2,,
,,"French 4",,,
29,LA3021,Pháp văn 5,2,,
,,"French 5",,,
30,LA3023,Pháp văn 6,2,,
,,"French 6",,,
B. Kiến thức giáo dục chuyên nghiệp,,,,
Professional Knowledge,,,,
1. Cơ sở ngành,,,,
Core,,,,
1,CI1003,Vẽ kỹ thuật,3,,
,,"Engineering Drawing",,,
2,EE2031,Điện - giải tích mạch,3,MT1013(KN),
,,"Electrics - Circuit Analysis",,,
3,MA3111,Vật lý vật liệu,3,,
,,"Materials Physics",,,
4,MA3113,Hóa học vật liệu,3,,
,,"Materials Chemistry",,,
5,MA3125,Thực hành vật liệu 1,2,,
,,"Materials Practice 1",,,
6,MA3141,Kỹ thuật phân tích vật liệu,3,,
,,"Materials Analysis Techniques",,,
7,MA3143,Thực hành phân tích vật liệu,2,,
,,"Materials Analysis Practice",,,
2. Chuyên ngành,,,,
Speciality,,,,
8,MA2109,Thực tập công nhân,2,,
,,"Workshop Practice",,,
9,MA4139,Kỹ thuật phân tích hóa lý,3,,
,,"Physical-chemical Analysis",,,
10,MA4141,Công nghệ điện hóa,3,,
,,"Electrochemical Technologies",,,
11,MA4145,Thực hành điện hóa,2,,
,,"Practices of Electrochemistry",,,
12,MA4175,Thực hành vật liệu 2,2,,
,,"Materials Practice 2",,,
13,MA5023,Pin: từ cổ điển đến hiện đại,3,,
,,"Batteries: From Classic to Modern",,,
Nhóm tự chọn A (chọn 18 tín chỉ trong các học phần sau),,,,
Elective Courses - Group A (Select 18 credits in the group of courses below),,,,
14,MA3127,Vật liệu siêu dẫn,3,,
,,"Superconducting Materials",,,
15,MA3129,Khoa học ăn mòn,3,,
,,"Corrosion Science",,,
16,MA3131,Vật liệu và mô phỏng số,3,,
,,"Materials and Numerical Simulation",,,
17,MA3133,Kỹ thuật sản xuất bán dẫn,3,,
,,"Semiconductor Production Engineering",,,
18,MA3135,"Công nghệ sản xuất và lắp đặt tấm quang điện",3,,
,,"Technologies for Photovoltaic Cell Production and Installation",,,
19,MA3137,Kỹ thuật xúc tác,3,,
,,"Catalyst Engineering",,,
20,MA3139,Vật liệu nano cacbon,3,,
,,"Carbon Based Nanomaterials",,,
21,MA3145,Các nguồn năng lượng bền vững,3,,
,,"Sustainable Energies",,,
22,MA3147,Công nghệ vật liệu đại cương,3,,
,,"Fundamental of Materials Technologies",,,
Chuyên ngành (PBL),,,,
Speciality (PBL),,,,
23,MA4173,Thiết kế quy trình sản xuất/nhà máy,3,,,"3"
,,"Design of Manufacturing Process/Factory",,,
24,MA5003,Vật liệu nano trong các hệ năng lượng,3,,,"3"
,,"Nanomaterials in Energy Systems",,,
25,MA5021,Dự án năng lượng,3,,,"3"
,,"Energy Project",,,
Tốt nghiệp,,,,
Graduation,,,,
26,MA3385,Thực tập ngoài trường,2,,MA2109(TQ)
,,"Internship",,,
27,MA4385,Thực tập kỹ sư,2,,MA3385(TQ)
,,"Engineering Internship",,,
28,MA5005,Đồ án chuyên ngành vật liệu và năng lượng,2,,MA4385(SH)
,,"Project for Materials and Energy Major",,,
29,MA5017,Luận văn tốt nghiệp,9,MA3385(TQ) MA4385(TQ) MA5005(TQ),
,,"Thesis",,,
,,3. Tự chọn tự do: 9 tín chỉ,,,,
Free Electives: 9 Credits,,,,
4. Chứng chỉ,,,,
Certification,,,,
1,,Giáo dục quốc phòng,,,
,,"Military Training",,,
2,,Giáo dục thể chất,,,
,,"Physical Education",,,
