STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,"Học kỳ 1 (Semester 1)",,,
,,"Các học phần bắt buộc (Compulsary Courses)",,,
1,SP1041,Kỹ năng mềm,0,,
,,Soft Skill,,,
2,,Giáo dục thể chất,0,,
,,Physical Education,,,
3,EE1025,Nhập môn về kỹ thuật,3,,
,,Engineering Orientation,,,
4,MT1019,Giải tích 1 (CT Tiên tiến),4,,
,,Calculus 1 - Advanced Program,,,
5,EE1029,Cơ sở kỹ thuật điện - máy tính,4,,
,,Introduction to Electrical and Computer Engineering,,,
6,PH1011,Vật lý - cơ học,4,,
,,University Physics - Mechanics,,,
7,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
,,"Các học phần tự chọn (Elective Courses)",,,
1,,Tự chọn Kỹ năng Xã hội (chọn 1 trong các học phần sau),,
,,"Elective Courses - Group of Social Skills (Select 1 in the group of courses below)",,,
1.1,SP1013,Kỹ năng xã hội A (báo chí),0,,
,,Social Skills A,,,
1.2,SP1015,Kỹ năng xã hội B (sân khấu),0,,
,,Social Skills B,,,
1.3,SP1017,Kỹ năng xã hội C (Thanh nhạc),0,,
,,Social Skills C,,,
1.4,SP1019,Kỹ năng xã hội D (Nhiếp ảnh),0,,
,,Social Skills D,,,
1.5,SP1021,Kỹ năng xã hội E (dẫn chương trình),0,,
,,Social Skills E,,,
1.6,SP1023,Kỹ năng xã hội F (nhảy hiện đại),0,,
,,Social Skills F,,,
1.7,SP1025,Kỹ năng xã hội G (nhảy đường phố),0,,
,,Social Skills G,,,
1.8,SP1027,Kỹ năng xã hội H (tư duy phản biện),0,,
,,Social Skills H,,,
1.9,SP1045,Kỹ năng xã hội I (kỹ năng sáng tạo),0,,
,,Skill of Innovators,,,
,,"Học kỳ 2 (Semester 2)",,,
,,"Các học phần bắt buộc (Compulsary Courses)",,,
1,,Giáo dục thể chất,0,,
,,Physical Education,,,
2,MT1021,Giải tích 2 (CT Tiên tiến),4,,
,,Calculus 2 - Advanced Program,,,
3,MT1023,Cơ sở phương trình vi phân,3,,
,,Introduction to Ordinary Differential Equations,,,
4,PH1013,Vật lý - nhiệt lượng tử,3,,
,,University Physics Thermodynamics - Quantum Physics",,,
5,MT1007,Đại số tuyến tính,3,,
