STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,"Ngành: Kỹ thuật Vật liệu (Materials Engineering)",,,""
,,"Chuyên ngành: Kỹ thuật Vật liệu (Materials Engineering)",,,""
,,"Tổng số tín chỉ: 132.0",,,""
,,"Học kỳ 1",,,""
,,"Các môn bắt buộc",,,""
1,PE1003,Giáo dục thể chất 1,0,,""
,,Physical Education 1,,,""
2,MI1003,Giáo dục quốc phòng,0,,""
,,Military Training,,,""
3,LA1003,Anh văn 1,2,,""
,,English 1,,,""
4,MT1007,Đại số tuyến tính,3,,""
,,Linear Algebra,,,""
5,MT1003,Giải tích 1,4,,""
,,Calculus 1,,,""
6,PH1003,Vật lý 1,4,,""
,,General Physics 1,,,""
7,PH1007,Thí nghiệm vật lý,1,,""
,,General Physics Labs,,,""
8,MA1001,Nhập môn về kỹ thuật,3,,""
,,Introduction to Engineering,,,""
,,"Học kỳ 2",,,""
,,"Các môn bắt buộc",,,""
1,PE1005,Giáo dục thể chất 2,0,,""
,,Physical Education 2,,,""
2,LA1005,Anh văn 2,2,,""
,,English 2,,,""
3,MT1005,Giải tích 2,4,,""
,,Calculus 2,,,""
4,PH1005,Vật lý 2,4,,""
,,General Physics 2,,,""
5,CH1003,Hóa đại cương,3,,""
,,General Chemistry,,,""
6,CI1003,Vẽ kỹ thuật,3,,""
,,Engineering Drawing,,,""
,,"Học kỳ 3",,,""
,,"Các môn bắt buộc",,,""
1,PE1007,Giáo dục thể chất 3,0,,""
,,Physical Education 3,,,""
2,LA1007,Anh văn 3,2,,""
,,English 3,,,""
3,MT2013,Xác suất và thống kê,4,,""
,,Probability and Statistics,,,""
4,MA2033,Vật lý chất rắn,3,,""
,,Solid State Physics,,,""
5,SP1007,Pháp luật Việt Nam đại cương,2,,""
,,Introduction to Vietnamese Law,,,""
6,MA1003,Cơ sở khoa học vật liệu,3,,""
,,Fundamentals of Materials Science,,,""
7,CH2009,Hóa phân tích,3,,""
,,Analytical Chemistry,,,""
,,"Học kỳ 4",,,""
,,"Các môn bắt buộc",,,""
1,LA1009,Anh văn 4,2,,""
,,English 4,,,""
2,SP1031,Triết học Mác - Lênin,3,,""
,,Marxist - Leninist Philosophy,,,""
3,EE1005,Kỹ thuật điện,3,,""
,,Electrical Engineering,,,""
4,MA2035,Công nghệ vật liệu,3,,""
,,Materials Technologies,,,""
5,MA2037,Hóa lý - Công nghệ Vật liệu,3,,""
,,Physical Chemistry,,,""
6,MA2041,Hóa vô cơ - Công nghệ Vật liệu,3,,""
,,Inorganic Chemistry,,,""
,,"Các môn tự chọn cơ sở ngành (chọn 3 tín chỉ trong các môn học sau)",,,""
6,MA2039,Hóa hữu cơ - Công nghệ Vật liệu,3,,""
,,Organic Chemistry,,,""
7,MA2041,Hóa vô cơ - Công nghệ Vật liệu,3,,""
,,Inorganic Chemistry,,,""
,,"Học kỳ 5",,,""
,,"Các môn bắt buộc",,,""
1,SP1033,Kinh tế chính trị Mác - Lênin,2,,""
,,Marxist - Leninist Political Economy,,,""
2,MA3101,Truyền nhiệt và truyền khối,3,,""
,,Heat Transfer and Mass Transfer,,,""
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,""
,,Tự chọn tự do,3,,""
,,Free Elective,,,""
,,"Các môn tự chọn cơ sở chuyên ngành 1 (chọn 8 tín chỉ trong các môn học sau)",,,""
4,MA2007,Hóa học polyme,3,,""
,,Polymer Chemistry,,,""
5,MA2011,Điện hóa học,3,,""
,,Electrochemistry,,,""
6,MA2013,Các nguồn năng lượng tái tạo,3,,""
,,Renewable Energy Resources,,,""
7,MA2015,Hóa lý polymer,3,,""
,,Physical Chemistry of Polymers,,,""
8,MA3007,Phương pháp đánh giá vật liệu,3,,""
,,Characterization of Materials,,,""
9,MA3085,Hóa học và hóa lý silicat,4,,""
,,Chemistry and Physical Chemistry of Silicate,,,""
10,MA3087,Thực hành hóa học và hóa lý silicat,1,,""
,,Lab. Work of Solid State Chemistry and Physical Chemistry of Silicate,,,""
11,MA3089,Quá trình và thiết bị cơ nhiệt,4,,""
,,Materials Processing and Equipments,,,""
12,MA3103,Kim loại học và nhiệt luyện,4,,""
,,Physical Metallurgy and Heat Treatment,,,""
13,MA3105,Luyện kim đen,3,,""
,,Ferrous Metallurgy,,,""
14,MA3107,Các phương pháp phân tích và đánh giá vật liệu: tổ chức tế vi thành phần hóa th,3,,""
,,Characterization of Materials: Microstructure, Chemical Composition, Phase and Mechanical,,,""
15,MA3121,Thí nghiệm hóa học polyme,1,,""
,,Laboratory Practicum in Chemistry of Polymer,,,""
16,MA3123,Thí nghiệm hóa lý polyme,1,,""
,,Laboratory Practicum in Phyiscal Chemistry of Polymer,,,""
,,"Học kỳ 6",,,""
,,"Các môn bắt buộc",,,""
1,SP1035,Chủ nghĩa xã hội khoa học,2,,""
,,Scientific Socialism,,,""
2,MA3083,Cơ học vật liệu,3,,""
,,Mechanical Behavior of Materials,,,""
3,MA3325,Thực tập ngoài trường,2,,""
,,Internship,,,""
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,""
,,Tự chọn tự do,3,,""
,,Free Elective,,,""
,,"Các môn tự chọn cơ sở chuyên ngành 2 (chọn 7 tín chỉ trong các môn học sau)",,,""
5,MA3009,Công nghệ cao su,4,,""
,,Rubber Technology,,,""
6,MA3011,Hóa học xúc tác,3,,""
,,Chemical Catalysis,,,""
7,MA3019,Kỹ thuật sản xuất các chất cao phân tử,3,,""
,,Polymers Fabrication Engineering,,,""
8,MA3031,Vật liệu chuyển hóa và tồn trữ năng lượng,3,,""
,,Materials for Energy Storage and Conversion,,,""
9,MA3035,Thí nghiệm silicat đại cương,1,,""
,,Basic Silicate Lab,,,""
10,MA3039,Kỹ thuật sản xuất các sản phẩm thủy tinh,3,,""
,,Glass Manufacturing,,,""
11,MA3051,Thí nghiệm silicat chuyên ngành,2,,""
,,Silicate Specialized Lab,,,""
12,MA3093,Công nghệ gốm sứ,3,,""
,,Ceramic Technology,,,""
13,MA3095,Lý thuyết và công nghệ đúc,4,,""
,,Theory and Technology of Metal Casting,,,""
14,MA3099,Thí nghiệm điện hóa học,2,,""
,,Experiments in Electrochemistry,,,""
15,MA3109,Thí nghiệm đúc,1,,""
,,Casting Laboratory Exercise,,,""
16,MA3149,Thí nghiệm chế tạo các hệ năng lượng,1,,""
,,Experiments in Energy Systems Fabrication,,,""
11,MA4067,Kỹ thuật gia công polyme,4,,""
,,Polymer Processing,,,""
18,MA4069,Các tính chất của vật liệu polyme,3,,""
,,Properties of Polymer,,<seg_61>
19,MA4087,Công nghệ xi-măng bê tông,4,,""
,,Cement and Concrete Technology,,,""
20,MA4103,Luyện kim màu,3,,""
,,Non-ferrous Metallurgy,,,""
21,MA4111,Thí nghiệm phân tích hóa lý,1,,""
