STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Speciality: Materials Engineering - 132.0 Credits,,,
,,Học kỳ 1 (Semester 1),17,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,,Giáo dục thể chất,0,,
,,Physical Education,,,
2,LA1003,Anh văn 1,2,,
,,English 1,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
5,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
6,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
7,MA1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Học kỳ 2 (Semester 2),16,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,,Giáo dục thể chất,0,,
,,Physical Education,,,
2,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
3,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
4,PH1005,Vật lý 2,4,PH1003(KN),
,,General Physics 2,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,CI1003,Vẽ kỹ thuật,3,,
,,Engineering Drawing,,,
7,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
,,Học kỳ 3 (Semester 3),17,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
2,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
3,MA2033,Vật lý chất rắn,3,,
,,Solid State Physics,,,
4,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
5,MA1003,Cơ sở khoa học vật liệu,3,CH1003(SH) MT1003(KN) PH1003(KN) PH1005(SH),
,,Fundamentals of Materials Science,,,
6,CH2009,Hóa phân tích,3,CH1003(KN),
,,Analytical Chemistry,,,
,,Học kỳ 4 (Semester 4),17,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,EE1005,Kỹ thuật điện,3,,
,,Electrical Engineering,,,
4,MA2035,Công nghệ vật liệu,3,,
,,Materials Technologies,,,
5,MA2037,Hóa lý - Công nghệ Vật liệu,3,CH1003(KN) MT1003(KN),
,,Physical Chemistry,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Nhóm tự chọn cơ sở ngành (chọn 3 tín chỉ trong các học phần sau) **, ,,,
,,Elective Core Courses - Group (Select 3 credits in the group of courses below) **, ,,,
1.1,MA2039,Hóa hữu cơ - Công nghệ Vật liệu,3,CH1003(KN),
,,Organic Chemistry,,,
1.2,MA2041,Hóa vô cơ - Công nghệ Vật liệu,3,CH1003(KN),
,,Inorganic Chemistry,,,
,,Học kỳ 5 (Semester 5),16,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
2,MA3101,Truyền nhiệt và truyền khối,3,PH1003(KN),
,,Heat Transfer and Mass Transfer,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Tự chọn tự do 3 tín chỉ,,,
,,Free Electives 3 credits,,,
,,Nhóm tự chọn cơ sở chuyên ngành 1 (chọn 8 tín chỉ trong các học phần sau) **, ,,,
,,Elective Core Speciality Courses - Group 1 (Select 8 credits in the group of courses below) **, ,,,
2.1,MA2007,Hóa học polyme,3,MA2039(KN),
,,Polymer Chemistry,,,
2.2,MA2011,Điện hóa học,3,MA2037(KN),
,,Electrochemistry,,,
2.3,MA2013,Các nguồn năng lượng tái tạo,3,MA2037(KN),
,,Renewable Energy Resources,,,
2.4,MA2015,Hóa lý polymer,3,MA2037(KN),
,,Physical Chemistry of Polymers,,,
2.5,MA3007,Phương pháp đánh giá vật liệu,3,MA1003(KN) MA2033(KN),
,,Characterization of Materials,,,
2.6,MA3085,Hóa học và hóa lý silicat,4,,
,,Chemistry and Physical Chemistry of Silicate,,,
2.7,MA3087,Thực hành hóa học và hóa lý silicat,1,,
,,Lab. Work of Solid State Chemistry and Physical Chemistry of Silicate,,,
2.8,MA3089,Quá trình và thiết bị cơ nhiệt,4,,
,,Materials Processing and Equipments,,,
2.9,MA3103,Kim loại học và nhiệt luyện,4,MA1003(KN),
,,Physical Metallurgy and Heat Treatment,,,
2.10,MA3105,Luyện kim đen,3,MA2037(KN) MA2041(KN),
,,Ferrous Metallurgy,,,
2.11,MA3107,Các phương pháp phân tích và đánh giá vật liệu: tổ chức tế vi thành phần hóa thành phần pha và tính chất cơ,3,MA1003(KN),
,,Characterization of Materials: Microstructure, Chemical Composition, Phase and Mechanical Properties,,,
2.12,MA3121,Thí nghiệm hóa học polyme,1,,
,,Laboratory Practicum in Chemistry of Polymer,,,
2.13,MA3123,Thí nghiệm hóa lý polyme,1,,
,,Laboratory Practicum in Phyiscal Chemistry of Polymer,,,
,,Học kỳ 6 (Semester 6),17,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
2,MA3083,Cơ học vật liệu,3,PH1003(KN),
,,Mechanical Behavior of Materials,,,
3,MA3325,Thực tập ngoài trường,2,,
,,Internship,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Tự chọn tự do 3 tín chỉ,,,
,,Free Electives 3 credits,,,
,,Nhóm tự chọn cơ sở chuyên ngành 2 (chọn 7 tín chỉ trong các học phần sau) **, ,,,
,,Elective Core Speciality Courses - Group 2 (Select 7 credits in the group of courses below) **, ,,,
2.1,MA3009,Công nghệ cao su,4,MA2007(KN) MA2015(KN),
,,Rubber Technology,,,
2.2,MA3011,Hóa học xúc tác,3,MA1003(KN) MA2033(KN),
,,Chemical Catalysis,,,
2.3,MA3019,Kỹ thuật sản xuất các chất cao phân tử,3,MA2007(KN) MA2015(SH),
,,Polymers Fabrication Engineering,,,
2.4,MA3031,Vật liệu chuyển hóa và tồn trữ năng lượng,3,MA2011(KN),
,,Materials for Energy Storage and Conversion,,,
2.5,MA3035,Thí nghiệm silicat đại cương,1,,
,,Basic Silicate Lab,,,
2.6,MA3039,Kỹ thuật sản xuất các sản phẩm thủy tinh,3,,
,,Glass Manufacturing,,,
2.7,MA3051,Thí nghiệm silicat chuyên ngành,2,MA3035(KN),
,,Silicate Specialized Lab,,,
2.8,MA3093,Công nghệ gốm sứ,3,,
,,Ceramic Technology,,,
2.9,MA3095,Lý thuyết và công nghệ đúc,4,MA2041(KN),
,,Theory and Technology of Metal Casting,,,
2.10,MA3099,Thí nghiệm điện hóa học,2,,
,,Experiments in Electrochemistry,,,
2.11,MA3109,Thí nghiệm đúc,1,,
,,Casting Laboratory Exercise,,,
2.12,MA3149,Thí nghiệm chế tạo các hệ năng lượng,1,,
,,Experiments in Energy Systems Fabrication,,,
2.13,MA4067,Kỹ thuật gia công polyme,4,MA2015(KN) MA3019(KN),
,,Polymer Processing,,,
2.14,MA4069,Các tính chất của vật liệu polyme,3,MA2007(KN) MA4067(SH),
