STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1 (Semester 1),16,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
3,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
4,IU1001,Nhập môn Về kỹ Thuật,3,,
,,Introduction to Engineering,,,
5,LA1003,Anh văn 1,2,,
,,English 1,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Giáo dục thể chất (Chọn một trong các học phần trong danh mục),,,
,,Physical Education Part 1 (Select one of the courses in the list),,,
1.1,PE1009,Bóng đá (Học phần 1),0,,
,,Football,,,
1.2,PE1011,Bóng chuyền (Học phần 1),0,,
,,Volleyball,,,
1.3,PE1013,Bóng bàn (Học phần 1),0,,
,,Table tennis,,,
1.4,PE1015,Bóng rổ (Học phần 1),0,,
,,Basketball,,,
1.5,PE1017,Cầu lông (Học phần 1),0,,
,,Badminton,,,
1.6,PE1019,Bơi (học Phần 1),0,,
,,Swimming,,,
1.7,PE1021,Aerobic (học Phần 1),0,,
,,Aerobic,,,
1.8,PE1025,Điền kinh (Học phần 1),0,,
,,AThletics,,,
1.9,PE1027,Quần vợt (Học phần 1),0,,
,,Tennis,,,
1.10,PE1053,Cờ vua (Học phần 1),0,,
,,Chess,,,
1.11,PE1057,Bowling (học phần 1),0,,
,,Bowling,,,
1.12,PE1061,Pickleball (học phần 1),0,,
,,Pickleball,,,
1.13,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
1.14,PE1005,Giáo dục thể chất 2,0,PE1003(HT),
,,Physical Education 2,,,
1.15,PE1007,Giáo dục thể chất 3,0,,
,,Physical Education 3,,,
,,Học kỳ 2 (Semester 2),17,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
2,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
3,IU1011,Vật lý Kỹ thuật Bảo trì,4,PH1003(KN),
,,Physics in Maintenance Engineering,,,
4,IU1015,Vẽ Kỹ thuật Bảo trì,3,,
,,Engineering Drawing for Maintenance,,,
5,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
6,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
7,MI1003,Giáo dục quốc phòng,,
,,National defense education,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Giáo dục thể chất (Chọn một trong các học phần trong danh mục),,,
,,Physical Education Part 2 (Select one of the courses in the list),,,
2.1,PE1033,Bóng đá (Học phần 2),0,,
,,Football,,,
