STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1,,,,
,,Các môn bắt buộc,,,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
3,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
4,ME1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
5,LA1003,Anh văn 1,2,,
,,English 1,,,
6,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
7,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
,,Học kỳ 2,,,,
,,Các môn bắt buộc,,,,
1,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
2,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
3,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
4,PH1005,Vật lý 2,4,,
,,General Physics 2,,,
5,LA1005,Anh văn 2,2,,
,,English 2,,,
6,PE1005,Giáo dục thể chất 2,0,,
,,Physical Education 2,,,
7,ME1015,Nguyên lý máy,4,,
,,Kinematics and Dynamics of Machines,,,
,,Học kỳ 3,,,,
,,Các môn bắt buộc,,,,
1,ME2091,Phương pháp số,3,,
,,Numerical Analysis,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,LA1007,Anh văn 3,2,,
,,English 3,,,
4,PE1007,Giáo dục thể chất 3,0,,
,,Physical Education 3,,,
5,CI2001,Sức bền vật liệu,3,,
,,Strength of Materials,,,
6,ME1013,Thực tập cơ khí đại cương 1,2,,
,,General Mechanical Practice 1,,,
7,ME2089,Vẽ kỹ thuật cơ khí,4,,
,,Mechanical Engineering Drawing,,,
,,Học kỳ 4,,,,
,,Các môn bắt buộc,,,,
1,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
2,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
3,LA1009,Anh văn 4,2,,
,,English 4,,,
4,ME2007,Chi tiết máy,3,,
,,Machine Elements,,,
5,ME2087,Thực tập cơ khí đại cương 2,2,,
,,General Mechanical Practice 2,,,
6,ME2015,Vật liệu học và xử lý,3,,
,,Materials and Heat Treatment,,,
7,ME2117,Thí nghiệm cơ học máy,1,,
,,Labs of machine machanics,,,
,,Học kỳ 5,,,,
,,Các môn bắt buộc,,,,
1,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
2,ME3139,Đồ án thiết kế,2,,
,,Design Project,,,
3,ME2005,Trang bị điện - điện tử trong máy công nghiệp,4,,
,,Electrical & Electronic Equipment for Industrial Machinery,,,
4,ME3141,Thực hành tự động hóa thiết kế (CAD),1,,
,,Labs of CAD,,,
5,ME3003,Dung sai và kỹ thuật đo,3,,
,,Tolerance and Measurement,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,,
6,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 6,,,,
,,Các môn bắt buộc,,,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
2,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
3,ME2013,Nhiệt động lực học và truyền nhiệt,3,,
,,Thermodynamics and Heat Transfer,,,
4,ME2071,Các quá trình chế tạo,3,,
,,Manufacturing Processes,,,
5,ME3143,Thực tập kỹ thuật cơ khí,2,,
,,Engineering workshop,,,
6,ME3135,Thực tập ngoài trường,2,,
,,Internship,,,
,,Các môn tự chọn nhóm A (chọn 3 tín chỉ trong các môn học sau),,,,
7,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
8,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
9,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
10,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
11,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
,,Học kỳ 7,,,,
,,Các môn bắt buộc,,,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,
2,ME4061,Đồ án chuyên ngành,2,,
,,Mechanical Engineering Project,,,
3,ME2009,Kỹ thuật điều khiển tự động,3,,
,,Control System Technology,,,
4,ME3001,Kỹ thuật thủy lực và khí nén,3,,
,,Hydraulic and Pneumatic Engineering,,,
5,CO1003,Nhập môn về lập trình,3,,
,,Introduction to Computer Programming,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,,
6,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 8,,,,
,,Các môn bắt buộc,,,,
1,ME4387,Đồ án tốt nghiệp (kt cơ khí),4,,
,,Capstone Project,,,
2,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
3,ME2019,Môi trường và con người,3,,
,,Environment and Human,,,
4,ME4063,Công nghệ 4.0 trong lãnh vực cơ khí,3,,
,,Industry 4.0 in Mechanical Engineering,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,,
5,,Tự chọn tự do,3,,
,,Free Elective,,,
