STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,"Học kỳ 1 (Semester 1)","16",,
,,"Các học phần bắt buộc (Compulsary Courses)",,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
3,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
4,ME1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
5,LA1003,Anh văn 1,2,,
,,English 1,,,
6,,Giáo dục thể chất,0,,
,,Physical Education,,,
,,"Học kỳ 2 (Semester 2)","18",,
,,"Các học phần bắt buộc (Compulsary Courses)",,,
1,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
2,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
3,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
4,PH1005,Vật lý 2,4,PH1003(KN),
,,General Physics 2,,,
5,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
6,,Giáo dục thể chất,0,,
,,Physical Education,,,
7,ME1015,Nguyên lý máy,4,PH1003(KN),
,,Kinematics and Dynamics of Machines,,,
8,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
,,"Học kỳ 3 (Semester 3)","17",,
,,"Các học phần bắt buộc (Compulsary Courses)",,,
1,ME2091,Phương pháp số,3,,
,,Numerical Analysis,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
4,CI2001,Sức bền vật liệu,3,,
,,Strength of Materials,,,
5,ME1013,Thực tập cơ khí đại cương 1,2,,
,,General Mechanical Practice 1,,,
6,ME2089,Vẽ kỹ thuật cơ khí,4,,X
,,Mechanical Engineering Drawing,,,
,,"Học kỳ 4 (Semester 4)","17",,
,,"Các học phần bắt buộc (Compulsary Courses)",,,
1,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
2,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
3,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
4,ME2007,Chi tiết máy,3,,X
,,Machine Elements,,,
5,ME2087,Thực tập cơ khí đại cương 2,2,,
,,General Mechanical Practice 2,,,
6,ME2015,Vật liệu học và xử lý,3,PH1003(KN) PH1005(KN),X
,,Materials and Heat Treatment,,,
7,ME2117,Thí nghiệm cơ học máy,1,ME1015(KN) ME2007(SH),
,,Labs of machine machanics,,,
,,"Học kỳ 5 (Semester 5)","15",,
,,"Các học phần bắt buộc (Compulsary Courses)",,,
1,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
2,ME3139,Đồ án thiết kế,2,ME2007(SH),X
,,Design Project,,,
3,ME2005,Trang bị điện - điện tử trong máy công nghiệp,4,,X
,,Electrical & Electronic Equipment for Industrial Machinery,,,
