STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1,,,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
3,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
4,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
5,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
6,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
7,ME1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Học kỳ 2,,,,
1,LA1005,Anh văn 2,2,,
,,English 2,,,
2,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
3,PH1005,Vật lý 2,4,,
,,General Physics 2,,,
4,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
5,PE1005,Giáo dục thể chất 2,0,,
,,Physical Education 2,,,
6,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
7,ME1013,Thực tập cơ khí đại cương 1,2,,
,,General Mechanical Practice 1,,,
,,Học kỳ 3,,,,
1,LA1007,Anh văn 3,2,,
,,English 3,,,
2,ME2091,Phương pháp số,3,,
,,Numerical Analysis,,,
3,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
4,PE1007,Giáo dục thể chất 3,0,,
,,Physical Education 3,,,
5,ME1015,Nguyên lý máy,4,,
,,Kinematics and Dynamics of Machines,,,
6,CO1003,Nhập môn về lập trình,3,,
,,Introduction to Computer Programming,,,
7,ME2087,Thực tập cơ khí đại cương 2,2,,
,,General Mechanical Practice 2,,,
,,Học kỳ 4,,,,
1,LA1009,Anh văn 4,2,,
,,English 4,,,
2,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
3,CI2001,Sức bền vật liệu,3,,
,,Strength of Materials,,,
4,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
5,ME2089,Vẽ kỹ thuật cơ khí,4,,
,,Mechanical Engineering Drawing,,,
6,ME2115,Thực tập kỹ thuật,2,,
,,Technical Practice,,,
,,Học kỳ 5,,,,
1,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
2,ME2005,Trang bị điện - điện tử trong máy công nghiệp,4,,
,,Electrical & Electronic Equipment for Industrial Machinery,,,
3,ME2007,Chi tiết máy,3,,
,,Machine Elements,,,
4,ME2009,Kỹ thuật điều khiển tự động,3,,
,,Control System Technology,,,
5,ME3145,Đồ án hệ thống truyền động,2,,
,,Transmission System Project,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,,
,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 6,,,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
2,ME3123,Thực tập ngoài trường,2,,
,,Internship,,,
3,ME3007,Vi điều khiển,3,,
,,Micro-Controller,,,
4,ME3011,Động lực học và điều khiển,3,,
,,Dynamic Systems and Control,,,
5,ME3005,Thiết kế hệ thống cơ điện tử,3,,
,,Mechatronics System Design,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,,
,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 7,,,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,
2,ME2071,Các quá trình chế tạo,3,,
,,Manufacturing Processes,,,
3,ME3013,Hệ thống PLC,3,,
,,Programmable Logic Controllers,,,
4,ME3015,Kỹ thuật robot,3,,
,,Robotics,,,
5,ME4071,Đồ án chuyên ngành,2,,
,,Mechatronics System Design Project,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,,
,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 8,,,,
1,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
2,ME2019,Môi trường và con người,3,,
,,Environment and Human,,,
3,ME3001,Kỹ thuật thủy lực và khí nén,3,,
,,Hydraulic and Pneumatic Engineering,,,
4,ME4327,Đồ án tốt nghiệp (cdt),4,,
,,Capstone Project,,,
,,Các môn tự chọn nhóm A (chọn 3 tín chỉ trong các môn học sau),,,,
5,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
6,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
7,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
8,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
9,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
,,Học kỳ 1 (Tài năng),,,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
3,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
4,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
5,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
6,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
7,ME1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Học kỳ 2 (Tài năng),,,,
1,LA1005,Anh văn 2,2,,
,,English 2,,,
2,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
3,PH1005,Vật lý 2,4,,
,,General Physics 2,,,
4,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
5,PE1005,Giáo dục thể chất 2,0,,
,,Physical Education 2,,,
6,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
7,ME1013,Thực tập cơ khí đại cương 1,2,,
,,General Mechanical Practice 1,,,
,,Học kỳ 3 (Tài năng),,,,
1,LA1007,Anh văn 3,2,,
,,English 3,,,
2,ME2091,Phương pháp số,3,,
,,Numerical Analysis,,,
3,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
4,PE1007,Giáo dục thể chất 3,0,,
,,Physical Education 3,,,
5,ME1015,Nguyên lý máy,4,,Cốt lõi
,,Kinematics and Dynamics of Machines,,,
6,CO1003,Nhập môn về lập trình,3,,
,,Introduction to Computer Programming,,,
7,ME2087,Thực tập cơ khí đại cương 2,2,,
,,General Mechanical Practice 2,,,
,,Học kỳ 4 (Tài năng),,,,
1,LA1009,Anh văn 4,2,,
,,English 4,,,
2,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
3,CI2001,Sức bền vật liệu,3,,
,,Strength of Materials,,,
4,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
5,ME2089,Vẽ kỹ thuật cơ khí,4,,Cốt lõi
,,Mechanical Engineering Drawing,,,
6,ME2115,Thực tập kỹ thuật,2,,
,,Technical Practice,,,
,,Học kỳ 5 (Tài năng),,,,
1,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
2,ME2005,Trang bị điện - điện tử trong máy công nghiệp,4,,Cốt lõi
,,Electrical & Electronic Equipment for Industrial Machinery,,,
3,ME2007,Chi tiết máy,3,,Cốt lõi
,,Machine Elements,,,
4,ME2009,Kỹ thuật điều khiển tự động,3,,Cốt lõi
,,Control System Technology,,,
5,ME3145,Đồ án hệ thống truyền động,2,,Cốt lõi
,,Transmission System Project,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,,
,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 6 (Tài năng),,,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
2,ME3123,Thực tập ngoài trường,2,,
,,Internship,,,
3,ME3007,Vi điều khiển,3,,Cốt lõi
,,Micro-Controller,,,
4,ME3011,Động lực học và điều khiển,3,,Cốt lõi
,,Dynamic Systems and Control,,,
5,ME3005,Thiết kế hệ thống cơ điện tử,3,,
,,Mechatronics System Design,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,,
,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 7 (Tài năng),,,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,
2,ME2071,Các quá trình chế tạo,3,,
,,Manufacturing Processes,,,
3,ME3013,Hệ thống PLC,3,,Cốt lõi
,,Programmable Logic Controllers,,,
4,ME3015,Kỹ thuật robot,3,,Cốt lõi
,,Robotics,,,
5,ME4071,Đồ án chuyên ngành,2,,Cốt lõi
,,Mechatronics System Design Project,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,,
,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 8 (Tài năng),,,,
1,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
2,ME2019,Môi trường và con người,3,,
,,Environment and Human,,,
