STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1 (Semester 1),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
3,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
4,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
5,,Giáo dục thể chất,0,,
,,Physical Education,,,
6,ME1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Học kỳ 2 (Semester 2),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,PH1005,Vật lý 2,4,PH1003(KN),
,,General Physics 2,,,
5,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
6,,Giáo dục thể chất,0,,
,,Physical Education,,,
7,ME1003,Cơ khí đại cương,3,,
,,General Mechanics,,,
8,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
,,Học kỳ 3 (Semester 3),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
2,MT1009,Phương pháp tính,3,MT1003(KN) MT1007(KN),
,,Numerical Methods,,,
3,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
4,ME2107,Thí nghiệm kiểm tra phân tích vật liệu dệt,2,,
,,Testing and Experiments of Textile Materials,,,
5,ME2103,Khoa học vật liệu dệt,3,,
,,Science of Textile Materials,,,
6,ME2059,Polymer dệt,3,,
,,Polymers in Textile,,,
,,Học kỳ 4 (Semester 4),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
2,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
3,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
4,ME2171,Công nghệ may mặc,3,,
,,Garment and Clothing Technology,,,
5,ME2167,CAD-CAM trong dệt may,3,,
,,Application of CAD-CAM in Textiles,,,
6,ME2101,Cơ học máy,3,,
,,Mechanics of Machines,,,
,,Học kỳ 5 (Semester 5),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
2,ME3051,Công nghệ dệt thoi,3,,
,,Weaving Technology,,,
3,ME3283,Công nghệ sợi 1,3,,
,,Spinning Technology 1,,,
4,ME3061,Hóa học thuốc nhuộm,3,,
,,Dyestuff,,,
5,ME3169,Thực tập kỹ thuật dệt,2,,
,,Textile practices,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn tự do 3 tín chỉ,3,,
,,Free Electives 3 credits,,,
,,Học kỳ 6 (Semester 6),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
2,ME3055,Công nghệ sợi 2,4,,
,,Spinning Technology 2,,,
3,ME3063,Công nghệ dệt kim,3,,
,,Knitting Technology,,,
4,ME3131,Thực tập ngoài trường,2,,
,,Internship,,,
5,ME3081,Thiết bị sợi dệt,3,,
,,Textile Machinery,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Tự chọn Quản lý (chọn 3 tín chỉ trong các học phần sau),,,
,,Elective Courses - Management for Engineers (Select 3 credits in the group of courses below),,,
1.1,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
1.2,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
1.3,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
1.4,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
1.5,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
,,Học kỳ 7 (Semester 7),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
2,ME3171,Cấu trúc vải,4,,
,,Fabric Construction,,,
3,ME3047,Công nghệ không dệt,3,,
,,Nonwoven Technology,,,
4,ME3067,Công nghệ nhuộm hoàn tất vải,3,,
,,Technology in Dyeing and Finishing Fabric,,,
5,ME4113,Đồ án 1,2,ME3131(SH),
,,Project 1,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn tự do 3 tín chỉ,3,,
,,Free Electives 3 credits,,,
,,Học kỳ 8 (Semester 8),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
2,ME1017,Môi trường và phát triển bền vững trong dệt may,3,,
,,Environment and Sustainability Development in Textile and Clothing Industry,,,
3,ME4347,Đồ án tốt nghiệp (kt dệt),4,ME3131(TQ) ME4113(TQ),
,,Capstone Project,,,
4,ME2169,Kiểm định và đánh giá chất lượng trong dệt may,3,,
,,Testing and Accreditation in Textiles,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn tự do 3 tín chỉ,3,,
,,Free Electives 3 credits,,,
