STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,"Học kỳ 1",,,
,,"Các môn bắt buộc",,,
1,LA1003,"Anh văn 1",2,,
,,English 1,,,
2,MT1003,"Giải tích 1",4,,
,,Calculus 1,,,
3,PH1003,"Vật lý 1",4,,
,,General Physics 1,,,
4,CH1003,"Hóa đại cương",3,,
,,General Chemistry,,,
5,MI1003,"Giáo dục quốc phòng",0,,
,,Military Training,,,
6,PE1003,"Giáo dục thể chất 1",0,,
,,Physical Education 1,,,
7,ME1001,"Nhập môn về kỹ thuật",3,,
,,Introduction to Engineering,,,
,,"Học kỳ 2",,,
,,"Các môn bắt buộc",,,
8,LA1005,"Anh văn 2",2,,
,,English 2,,,
9,MT1005,"Giải tích 2",4,,
,,Calculus 2,,,
10,MT1007,"Đại số tuyến tính",3,,
,,Linear Algebra,,,
11,PH1005,"Vật lý 2",4,,
,,General Physics 2,,,
12,PH1007,"Thí nghiệm vật lý",1,,
,,General Physics Labs,,,
13,PE1005,"Giáo dục thể chất 2",0,,
,,Physical Education 2,,,
14,ME1009,"Quản lý sản xuất",3,,
,,Operations Management,,,
,,"Học kỳ 3",,,
,,"Các môn bắt buộc",,,
15,LA1007,"Anh văn 3",2,,
,,English 3,,,
16,MT1009,"Phương pháp tính",3,,
,,Numerical Methods,,,
17,SP1031,"Triết học Mác - Lênin",3,,
,,Marxist - Leninist Philosophy,,,
18,PE1007,"Giáo dục thể chất 3",0,,
,,Physical Education 3,,,
19,ME2051,"Vận trù học",3,,
,,Operations Research,,,
20,CI1003,"Vẽ kỹ thuật",3,,
,,Engineering Drawing,,,
21,ME2049,"Ứng dụng máy tính trong công nghiệp",3,,
,,Computer Applications for Industrial Engineering,,,
,,"Học kỳ 4",,,
,,"Các môn bắt buộc",,,
22,LA1009,"Anh văn 4",2,,
,,English 4,,,
23,MT2013,"Xác suất và thống kê",4,,
,,Probability and Statistics,,,
24,SP1033,"Kinh tế chính trị Mác - Lênin",2,,
,,Marxist - Leninist Political Economy,,,
25,ME2123,"Kỹ thuật hệ thống",3,,
,,Systems Engineering,,,
26,ME2111,"Thiết kế công việc và nhân trắc học",3,,
,,Work Design and Ergonomics,,,
27,ME2045,"Kinh tế kỹ thuật",3,,
,,Engineering Economy,,,
,,"Học kỳ 5",,,
,,"Các môn bắt buộc",,,
28,SP1035,"Chủ nghĩa xã hội khoa học",2,,
,,Scientific Socialism,,,
29,ME3157,"Kỹ thuật dự báo",3,,
,,Forecasting Engineering,,,
30,ME3117,"Thiết kế mặt bằng",3,,
,,Facility Layout Design,,,
31,ME2125,"Quản lý logistics",3,,
,,Management of Business Logistics,,,
32,ME3159,"Thực tập đại cương",2,,
,,Professional Practice - Field Trips in Industrial Systems,,,
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,
33,,"Tự chọn tự do",3,,
,,Free Elective,,,
,,"Học kỳ 6",,,
,,"Các môn bắt buộc",,,
34,SP1039,"Lịch sử Đảng Cộng sản Việt Nam",2,,
,,History of Vietnamese Communist Party,,,
35,ME3161,"Quản lý vật tư và tồn kho",3,,
,,Material and Inventory Management,,,
36,ME3223,"Quản lý dự án",3,,
,,Project Management,,,
37,ME3231,"Kỹ thuật mô hình hóa và mô phỏng",3,,
,,Modelling & Simulation Engineering,,,
38,ME3163,"Thực hành mô hình hóa và mô phỏng",2,,
,,Modelling & Simulation Project,,,
39,ME3127,"Thực tập ngoài trường",2,,
,,Internship,,,
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,
40,,"Tự chọn tự do",3,,
,,Free Elective,,,
,,"Học kỳ 7",,,
,,"Các môn bắt buộc",,,
41,SP1037,"Tư tưởng Hồ Chí Minh",2,,
,,Ho Chi Minh Ideology,,,
42,ME4615,"Sản xuất tinh gọn",3,,
,,Lean Production,,,
43,ME3225,"Kiểm soát và quản lý chất lượng",3,,
,,Quality Management and Control,,,
44,ME3229,"Kỹ thuật ra quyết định",3,,
,,Decision Making Techniques,,,
45,ME4101,"Đồ án thiết kế hệ thống công nghiệp",2,,
,,Industrial System Designing Project,,,
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,
46,,"Tự chọn tự do",3,,
,,Free Elective,,,
,,"Học kỳ 8",,,
,,"Các môn bắt buộc",,,
47,SP1007,"Pháp luật Việt Nam đại cương",2,,
,,Introduction to Vietnamese Law,,,
48,ME4031,"Kỹ thuật điều độ (KT Hệ thống Công nghiệp)",3,,
,,Scheduling Engineering,,,
49,ME4607,"Phân tích và thiết kế hệ thống thông tin quản lý",3,,
,,Analysis and Design of Management Information System,,,
50,ME4367,"Đồ án tốt nghiệp (kt hệ thống cn)",4,,
,,Capstone Project,,,
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,
51,,"Tự chọn tự do",3,,
,,Free Elective,,,
