STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1 (Semester 1),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
3,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
4,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
5,,Giáo dục thể chất,0,,
,,Physical Education,,,
6,ME1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Học kỳ 2 (Semester 2),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,PH1005,Vật lý 2,4,PH1003(KN),
,,General Physics 2,,,
5,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
6,,Giáo dục thể chất,0,,
,,Physical Education,,,
7,ME1009,Quản lý sản xuất,3,,
,,Operations Management,,,
8,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
,,Học kỳ 3 (Semester 3),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
2,MT1009,Phương pháp tính,3,MT1003(KN) MT1007(KN),
,,Numerical Methods,,,
3,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
4,ME2051,Vận trù học,3,,X
,,Operations Research,,,
5,CI1003,Vẽ kỹ thuật,3,,
,,Engineering Drawing,,,
6,ME2049,ứng dụng máy tính trong công nghiệp,3,,
,,Computer Applications for Industrial Engineering,,,
,,Học kỳ 4 (Semester 4),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
2,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
3,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
4,ME2125,Quản lý logistics,3,,
,,Management of Business Logistics,,,
5,ME2111,Thiết kế công việc và nhân trắc học,3,,
,,Work Design and Ergonomics,,,
6,ME2045,Kinh tế kỹ thuật,3,,
,,Engineering Economy,,,
,,Học kỳ 5 (Semester 5),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
2,ME2141,Kỹ thuật dự báo,3,ME2049(KN),X
,,Forecasting Engineering,,,
3,ME2139,Thiết kế mặt bằng,3,,X
,,Facility Layout Design,,,
4,ME2123,Kỹ thuật hệ thống,3,ME1009(KN),X
,,Systems Engineering,,,
5,ME2143,Thực tập đại cương,2,,
,,Professional Practice - Field Trips in Industrial Systems,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn tự do 3 tín chỉ,3,,
,,Free Electives 3 credits,,,
,,Học kỳ 6 (Semester 6),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
2,ME3161,Quản lý vật tư và tồn kho,3,ME1009(KN),X
,,Material and Inventory Management,,,
3,ME3223,Quản lý dự án,3,ME1009(KN),
,,Project Management,,,
4,ME2149,Kỹ thuật mô hình hóa và mô phỏng,3,ME2049(KN),X
,,Modelling & Simulation Engineering,,,
5,ME2147,Thực hành mô hình hóa và mô phỏng,2,ME2149(SH),X
,,Modelling & Simulation Project,,,
6,ME3127,Thực tập ngoài trường,2,,
,,Internship,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn tự do 3 tín chỉ,3,,
,,Free Electives 3 credits,,,
,,Học kỳ 7 (Semester 7),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
2,ME4615,Sản xuất tinh gọn,3,,
,,Lean Production,,,
3,ME3225,Kiểm soát và quản lý chất lượng,3,ME1009(KN),X
,,Quality Management and Control,,,
4,ME4031,Kỹ thuật điều độ (KT Hệ thống Công nghiệp),3,ME2051(KN),X
,,Scheduling Engineering,,,
5,ME4101,Đồ án thiết kế hệ thống công nghiệp,2,ME3127(SH),X
,,Industrial System Designing Project,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn tự do 3 tín chỉ,3,,
,,Free Electives 3 credits,,,
,,Học kỳ 8 (Semester 8),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
2,ME3229,Kỹ thuật ra quyết định,3,ME1009(KN) ME2051(KN),X
,,Decision Making Techniques,,,
3,ME4607,Phân tích và thiết kế hệ thống thông tin quản lý,3,,
,,Analysis and Design of Management Information System,,,
4,ME4367,Đồ án tốt nghiệp (kt hệ thống cn),4,ME3127(TQ) ME4101(TQ),X
,,Capstone Project,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn tự do 3 tín chỉ,3,,
,,Free Electives 3 credits,,,
