STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1,,Học kỳ 1,16,,
,,Các học phần bắt buộc,,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
3,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
4,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
5,ME1001,Nhập môn Về Kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Các học phần tự chọn,,,
1,,Giáo Dục Thể Chất Học Phần 1,,,
,,Physical Education - Session 1,,,
1.1,PE1009,Bóng đá (Học phần 1),0,,
,,Football,,,
1.2,PE1011,Bóng chuyền (Học phần 1),0,,
,,Volleyball,,,
1.3,PE1013,Bóng bàn (Học phần 1),0,,
,,Table tennis,,,
1.4,PE1015,Bóng rổ (Học phần 1),0,,
,,Basketball,,,
1.5,PE1017,Cầu lông (Học phần 1),0,,
,,Badminton,,,
1.6,PE1019,Bơi (học Phần 1),0,,
,,Swimming,,,
1.7,PE1021,Aerobic (học Phần 1),0,,
,,Aerobic,,,
1.8,PE1025,Điền kinh (Học phần 1),0,,
,,AThletics,,,
1.9,PE1027,Quần vợt (Học phần 1),0,,
,,Tennis,,,
1.10,PE1053,Cờ vua (Học phần 1),0,,
,,Chess,,,
1.11,PE1057,Bowling (học phần 1),0,,
,,Bowling,,,
1.12,PE1061,Pickleball (học phần 1),0,,
,,Pickleball,,,
,,Học kỳ 2,,Học kỳ 2,17,,
,,Các học phần bắt buộc,,,
1,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
4,PH1005,Vật lý 2,4,PH1003(KN),
,,General Physics 2,,,
5,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
6,ME1009,Quản lý Sản xuất,3,,
,,Operations Management,,,
7,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
,,Các học phần tự chọn,,,
1,,Giáo Dục Thể Chất Học Phần 2,,,
,,Physical Education - Session 2,,,
1.1,PE1033,Bóng đá (Học phần 2),0,,
,,Football,,,
1.2,PE1035,Bóng chuyền (Học phần 2),0,,
,,Volleyball,,,
1.3,PE1037,Bóng bàn (Học phần 2),0,,
,,Table tennis,,,
1.4,PE1039,Bóng rổ (Học phần 2),0,,
,,Basketball,,,
1.5,PE1041,Cầu lông (Học phần 2),0,,
,,Badminton,,,
1.6,PE1043,Bơi (học Phần 2),0,,
,,Swimming,,,
1.7,PE1045,Aerobic (học Phần 2),0,,
,,Aerobic,,,
1.8,PE1049,Điền kinh (học phần 2),0,,
,,Athletics,,,
1.9,PE1051,Quần vợt (Học phần 2),0,,
,,Tennis,,,
1.10,PE1055,Cờ vua (học phần 2),0,,
,,Chess,,,
1.11,PE1059,Bowling (học phần 2),0,,
,,Bowling,,,
1.12,PE1063,Pickleball (học phần 2),0,,
,,Pickleball,,,
,,Học kỳ 3,,Học kỳ 3,17,,
,,Các học phần bắt buộc,,,
1,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
2,MT1009,Phương pháp tính,3,MT1003(KN),
,,Numerical Methods,,,
3,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
4,CI1003,Vẽ kỹ thuật,3,,
,,Engineering Drawing,,,
5,ME2051,Vận trù học,3,,x
,,Operations Research,,,
6,ME2049,Ứng dụng Máy tính trong Công nghiệp,3,,x
,,Computer Applications for Industrial Engineering,,,
,,Học kỳ 4,,Học kỳ 4,16,,
,,Các học phần bắt buộc,,,
1,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
2,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,
3,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
4,ME2139,Thiết kế mặt bằng,3,,x
,,Facility Layout Design,,,
5,ME2177,Thiết kế công việc và Ergonomics,3,,
,,Work Design and Ergonomics,,,
6,ME2143,Thực tập đại cương,2,,
,,Professional Practice - Field Trips in Industrial System,,,
,,Học kỳ 5,,Học kỳ 5,17,,
,,Các học phần bắt buộc,,,
1,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
2,ME2141,Kỹ thuật dự báo,3,MT2013(HT),x
,,Forecasting Engineering,,,
3,ME2319,Kỹ thuật và Quản lý Logistics,3,,
,,Logistics Engineering and Management,,,
4,ME2181,Quản lý Dự án trong Công nghiệp và Dịch vụ,3,,
,,Project Management in Industry and Services,,,
5,ME2045,Kinh tế Kỹ thuật,3,,
,,Engineering Economy,,,
6,ME2123,Kỹ thuật Hệ thống,3,ME1009(HT),x
,,Systems Engineering,,,
,,Học kỳ 6,,Học kỳ 6,16,,
,,Các học phần bắt buộc,,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of VieTNamese Communist Party,,,
2,ME3161,Quản lý Vật tư và Tồn Kho,3,ME1009(HT),x
,,Material and Inventory Management,,,
3,ME2149,Kỹ thuật mô hình hóa và mô phỏng,3,MT2013(HT),x
,,Modelling & Simulation Engineering,,,
4,ME3127,Thực tập Ngoài trường,2,,
,,Internship,,,
,,Các học phần tự chọn,,,
1,,Tự chọn tự do,6,,
,,Free Elective,,,
,,Học kỳ 7,,Học kỳ 7,18,,
,,Các học phần bắt buộc,,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
2,ME4607,Phân tích và Thiết kế Hệ thống thông tin Quản lý,3,,
,,Analysis and Design of Management Information Syst,,,
3,ME3229,Kỹ thuật ra Quyết định,3,ME2051(HT),
,,Decision Making Techniques,,,
4,ME4031,Kỹ thuật Điều độ (KT Hệ thống Công Nghiệp),3,ME2051(HT),x
,,Scheduling Engineering,,,
5,ME2147,Thực hành mô hình hóa và mô phỏng,2,ME2149(HT),x
,,Modelling & Simulation Project,,,
6,ME4101,Đồ án Thiết kế Hệ thống Công nghiệp,2,ME3127(SHT),x
,,Industrial System Designing Project,,,
,,Các học phần tự chọn,,,
1,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 8,,Học kỳ 8,15,,
,,Các học phần bắt buộc,,,
1,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to VieTNamese Law,,,
2,ME4615,Sản xuất Tinh gọn,3,,
,,Lean Production,,,
3,ME3225,Kiểm soát và Quản lý chất lượng,3,ME1009(HT),x
,,Quality Management and Control,,,
4,ME4367,Đồ án Tốt nghiệp (Kỹ thuật Hệ thống Công nghiệp),4,ME4101(TQ) ME3127(TQ),x
,,Industrial Engineering Capstone Project,,,
,,Các học phần tự chọn,,,
1,,Tự chọn tự do,3,,
,,Free Elective,,,
