STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1,,,
,,Các môn bắt buộc,,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
3,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
4,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
5,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
6,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
7,ME1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Học kỳ 2,,,
,,Các môn bắt buộc,,,
1,LA1005,Anh văn 2,2,,
,,English 2,,,
2,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,PH1005,Vật lý 2,4,,
,,General Physics 2,,,
5,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
6,PE1005,Giáo dục thể chất 2,0,,
,,Physical Education 2,,,
7,CI1003,Vẽ kỹ thuật,3,,
,,Engineering Drawing,,,
,,Học kỳ 3,,,
,,Các môn bắt buộc,,,
1,LA1007,Anh văn 3,2,,
,,English 3,,,
2,MT1009,Phương pháp tính,3,,
,,Numerical Methods,,,
3,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
4,PE1007,Giáo dục thể chất 3,0,,
,,Physical Education 3,,,
5,ME1015,Nguyên lý máy,4,,
,,Kinematics and Dynamics of Machines,,,
6,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
7,ME1013,Thực tập cơ khí đại cương 1,2,,
,,General Mechanical Practice 1,,,
,,Học kỳ 4,,,
,,Các môn bắt buộc,,,
1,LA1009,Anh văn 4,2,,
,,English 4,,,
2,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
3,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
4,CI2001,Sức bền vật liệu,3,,
,,Strength of Materials,,,
5,ME2121,Bơm, quạt, máy nén,3,,
,,Pumps, Fans and Compressors,,,
6,ME2099,Nhiệt động lực học kỹ thuật,3,,
,,Engineering Thermodynamics,,,
,,Học kỳ 5,,,
,,Các môn bắt buộc,,,
1,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
2,EE1005,Kỹ thuật điện,3,,
,,Electrical Engineering,,,
3,ME3035,Kỹ thuật lạnh,3,,
,,Refrigeration Engineering,,,
4,ME3147,Truyền nhiệt và thiết bị trao đổi nhiệt,3,,
,,Heat Transfer and Heat Exchangers,,,
5,ME3149,Thực tập nhiệt đại cương,2,,
,,General Thermal Practice,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,
6,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 6,,,
,,Các môn bắt buộc,,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
2,ME3043,Lò hơi và thiết bị đốt,3,,
,,Steam Boilers and Burners,,,
3,ME3153,Kỹ thuật điều hòa không khí,3,,
,,Air Conditioning Engineering,,,
4,ME3155,Thực tập kỹ thuật nhiệt lạnh,2,,
,,Thermal Engineering Workshop,,,
5,ME3125,Thực tập ngoài trường,2,,
,,Internship,,,
,,Các môn tự chọn nhóm B (chọn 3 tín chỉ trong các môn học sau),,,
6,ME3199,Đồ án thiết kế - hướng thiết bị trao đổi nhiệt,2,,
,,Design Project - Heat Exchanger Orientation,,,
7,ME3151,Đồ án thiết kế - hướng thiết bị lạnh,2,,
,,Design Project - Refrigeration Equipment Orientation,,,
,,Các môn tự chọn nhóm C (chọn 3 tín chỉ trong các môn học sau),,,
8,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
9,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
10,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
11,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
12,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
,,Học kỳ 7,,,
,,Các môn bắt buộc,,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,
2,ME2019,Môi trường và con người,3,,
,,Environment and Human,,,
3,ME4073,Năng lượng tái tạo,3,,
,,Renewable Energy,,,
4,ME4075,Thực hành tính toán mô phỏng trong nhiệt lạnh,1,,
,,Simulation Practice in Thermal Engineering,,,
5,ME4081,Đồ án chuyên ngành,2,,
,,Thermal Engineering Project,,,
,,Các môn tự chọn nhóm B (chọn 3 tín chỉ trong các môn học sau),,,
6,ME4015,Trung tâm nhiệt điện,3,,
,,Thermal Power Center,,,
7,ME4083,Kỹ thuật đo lường trong nhiệt lạnh,3,,
,,Measurements in Themal Engineering,,,
8,ME4131,Kỹ thuật sấy,3,,
,,Drying Technology,,,
9,ME4307,Kinh tế năng lượng,3,,
,,Energy Economy,,,
10,ME4311,Điện trong kỹ thuật lạnh,3,,
,,Electrical Engineering in Refrigeration Systems,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,
11,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 8,,,
,,Các môn bắt buộc,,,
1,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
2,ME4313,Anh văn chuyên ngành,3,,
,,English on Thermal Engineering,,,
3,ME4337,Đồ án tốt nghiệp,4,,
,,Capstone Project,,,
,,Các môn tự chọn nhóm B (chọn 3 tín chỉ trong các môn học sau),,,
4,ME4015,Trung tâm nhiệt điện,3,,
,,Thermal Power Center,,,
5,ME4083,Kỹ thuật đo lường trong nhiệt lạnh,3,,
,,Measurements in Themal Engineering,,,
6,ME4131,Kỹ thuật sấy,3,,
,,Drying Technology,,,
7,ME4307,Kinh tế năng lượng,3,,
,,Energy Economy,,,
8,ME4311,Điện trong kỹ thuật lạnh,3,,
,,Electrical Engineering in Refrigeration Systems,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,
9,,Tự chọn tự do,3,,
,,Free Elective,,,
