STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,,,,,Học kỳ 1,,,16,,
,,"Các môn bắt buộc",,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
3,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
4,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
5,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
6,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
7,ME1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Học kỳ 2,,,17,,
,,"Các môn bắt buộc",,,
1,LA1005,Anh văn 2,2,,
,,English 2,,,
2,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,PH1005,Vật lý 2,4,,
,,General Physics 2,,,
5,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
6,PE1005,Giáo dục thể chất 2,0,,
,,Physical Education 2,,,
7,ME1009,Quản lý sản xuất,3,,
,,Operations Management,,,
,,Học kỳ 3,,,17,,
,,"Các môn bắt buộc",,,
1,LA1007,Anh văn 3,2,,
,,English 3,,,
2,MT1009,Phương pháp tính,3,,
,,Numerical Methods,,,
3,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
4,PE1007,Giáo dục thể chất 3,0,,
,,Physical Education 3,,,
5,ME2125,Quản lý logistics,3,,
,,Management of Business Logistics,,,
6,ME2123,Kỹ thuật hệ thống,3,,
,,Systems Engineering,,,
7,ME2049,Ứng dụng máy tính trong công nghiệp,3,,
,,Computer Applications for Industrial Engineering,,,
,,Học kỳ 4,,,17,,
,,"Các môn bắt buộc",,,
1,LA1009,Anh văn 4,2,,
,,English 4,,,
2,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
3,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
4,ME2113,Quản lý thu mua,3,,
,,Procurement Management,,,
5,ME2111,Thiết kế công việc và nhân trắc học,3,,
,,Work Design and Ergonomics,,,
6,ME2051,Vận trù học,3,,
,,Operations Research,,,
,,Học kỳ 5,,,16,,
,,"Các môn bắt buộc",,,
1,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
2,ME3159,Thực tập đại cương,2,,
,,Professional Practice - Field Trips in Industrial Systems,,,
3,ME3165,Quản lý chuỗi cung ứng,3,,
,,Supply Chain Management,,,
4,ME3157,Kỹ thuật dự báo,3,,
,,Forecasting Engineering,,,
5,ME2045,Kinh tế kỹ thuật,3,,
,,Engineering Economy,,,
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,
6,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 6,,,18,,
,,"Các môn bắt buộc",,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
2,ME3223,Quản lý dự án,3,,
,,Project Management,,,
3,ME3167,Thực hành quản lý dự án,2,,
,,Project Management Practice,,,
4,ME3225,Kiểm soát và quản lý chất lượng,3,,
,,Quality Management and Control,,,
5,ME3253,Hoạch định mặt bằng,3,,
,,Facility Planning,,,
6,ME3129,Thực tập ngoài trường,2,,
,,Internship,,,
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,
7,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 7,,,16,,
,,"Các môn bắt buộc",,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,
2,ME4103,Đồ án thiết kế hệ thống logistics,2,,
,,Logistics System Design Project,,,
3,ME4021,Vận tải hàng hóa,3,,
,,Freight Transportation,,,
4,ME4025,Quản lý tồn kho trong chuỗi cung ứng,3,,
,,The Warehouse & Inventory Management,,,
5,ME4607,Phân tích và thiết kế hệ thống thông tin quản lý,3,,
,,Analysis and Design of Management Information System,,,
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,
6,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 8,,,15,,
,,"Các môn bắt buộc",,,
1,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
2,ME4023,Điều độ trong chuỗi cung ứng,3,,
,,Planning and Scheduling in Supply Chain,,,
3,ME3257,Mô hình ra quyết định trong chuỗi cung ứng,3,,
,,Decision Making Models in Supply Chain,,,
4,ME4377,Đồ án tốt nghiệp (logistics),4,,
,,Capstone Project,,,
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,
5,,Tự chọn tự do,3,,
,,Free Elective,,,
