STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
3,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
4,CO1005,Nhập môn điện toán,3,,
,,Introduction to Computing,,,
5,CO1023,Hệ thống số,3,,
,,Digital Systems,,,
6,,Giáo dục thể chất học phần 1,0,,
,,Physical Education - Session 1,,,
6.1,PE1009,Bóng đá (Học phần 1),0,,
,,Football,,,
6.2,PE1011,Bóng chuyền (Học phần 1),0,,
,,Volleyball,,,
6.3,PE1013,Bóng bàn (Học phần 1),0,,
,,Table tennis,,,
6.4,PE1015,Bóng rổ (Học phần 1),0,,
,,Basketball,,,
6.5,PE1017,Cầu lông (Học phần 1),0,,
,,Badminton,,,
6.6,PE1019,Bơi (học Phần 1),0,,
,,Swimming,,,
6.7,PE1021,Aerobic (học Phần 1),0,,
,,Aerobic,,,
6.8,PE1025,Điền kinh (Học phần 1),0,,
,,Athletics,,,
6.9,PE1027,Quần vợt (Học phần 1),0,,
,,Tennis,,,
6.10,PE1053,Cờ vua (Học phần 1),0,,
,,Chess,,,
6.11,PE1057,Bowling (học phần 1),0,,
,,Bowling,,,
6.12,PE1061,Pickleball (học phần 1),0,,
,,Pickleball,,,
,,Học kỳ 2 - 19 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
4,CO1007,Cấu trúc rời rạc cho khoa học máy tính,4,,
,,Discrete Structures for Computing,,,
5,CO1027,Kỹ thuật lập trình,3,,
,,Programming Fundamentals,,,
6,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
7,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
8,,Giáo dục thể chất học phần 2,0,,
,,Physical Education - Session 2,,,
8.1,PE1033,Bóng đá (Học phần 2),0,,
,,Football,,,
8.2,PE1035,Bóng chuyền (Học phần 2),0,,
,,Volleyball,,,
8.3,PE1037,Bóng bàn (Học phần 2),0,,
,,Table tennis,,,
8.4,PE1039,Bóng rổ (Học phần 2),0,,
,,Basketball,,,
8.5,PE1041,Cầu lông (Học phần 2),0,,
,,Badminton,,,
8.6,PE1043,Bơi (học Phần 2),0,,
,,Swimming,,,
8.7,PE1045,Aerobic (học Phần 2),0,,
,,Aerobic,,,
8.8,PE1049,Điền kinh (học phần 2),0,,
,,Athletics,,,
8.9,PE1051,Quần vợt (Học phần 2),0,,
,,Tennis,,,
8.10,PE1055,Cờ vua (học phần 2),0,,
,,Chess,,,
8.11,PE1059,Bowling (học phần 2),0,,
,,Bowling,,,
8.12,PE1063,Pickleball (học phần 2),0,,
,,Pickleball,,,
,,Học kỳ 3 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,CO2007,Kiến trúc máy tính,4,CO1005(KN) CO1023(KN),X
,,Computer Architecture,,,
4,CO2011,Mô hình hóa toán học,3,CO1007(KN),
,,Mathematical Modeling,,,
5,CO2003,Cấu trúc dữ liệu và giải thuật,4,CO1007(KN) CO1027(KN),X
,,Data Structures and Algorithms,,,
,,Học kỳ 4 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
2,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
3,CO2017,Hệ điều hành,3,,X
,,Operating Systems,,,
4,CO2039,Lập trình nâng cao,3,,X
,,Advanced Programming,,,
5,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn tự do,3,,
,,Free Electives,,,
,,Học kỳ 5 - 16 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
2,CO3093,Mạng máy tính,3,,X
,,Computer Networks,,,
3,CO2013,Hệ cơ sở dữ liệu,4,,X
,,Database Systems,,,
4,CO3001,Công nghệ phần mềm,3,CO1027(KN),X
,,Software Engineering,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn nhóm A (chọn 1 tín chỉ),,,
,,Elective Courses - Group A (Select 1 credit),,,
1.1,CO3101,Đồ án tổng hợp - hướng trí tuệ nhân tạo,1,,X
,,Programming Intergration Project,,
1.2,CO3103,Đồ án tổng hợp - hướng công nghệ phần mềm,1,,X
,,Programming Intergration Project,,
1.3,CO3105,Đồ án tổng hợp - hướng hệ thống thông tin,1,,X
,,Programming Intergration Project,,
1.4,CO3127,Đồ án tổng hợp - hướng kỹ thuật dữ liệu,1,,X
,,Programming Intergration Project - Data Engineering,,
1.5,CO3119,Đồ án mạng máy tính,1,,X
,,Computer Networks Project,,
,,Học kỳ 6 - 15 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
2,CO2001,Kỹ năng chuyên nghiệp cho kỹ sư,3,CO1005(TQ),
,,Professional Skills for Engineers,,,
3,CO3005,Nguyên lý ngôn ngữ lập trình,4,CO1027(TQ),X
,,Principles of Programming Languages,,,
4,CO3335,Thực tập ngoài trường,2,,
,,Internship,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn tự do,3,,
,,Free Electives,,,
2,,Tự chọn nhóm B (chọn 1 tín chỉ),,,
,,Elective Courses - Group B (Select 1 credit),,,
2.1,CO3107,Thực tập đồ án môn học đa ngành - hướng trí tuệ nhân tạo,1,,X
,,Multidisciplinary Project,,
2.2,CO3109,Thực tập đồ án môn học đa ngành - hướng công nghệ phần mềm,1,,X
,,Multidisciplinary Project,,
2.3,CO3111,Thực tập đồ án môn học đa ngành - hướng hệ thống thông tin,1,,X
,,Multidisciplinary Project,,
,,Học kỳ 7 - 16 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
2,CO4029,Đồ án chuyên ngành,2,CO3335(SH),X
,,Specialized Project,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn tự do,3,,
,,Free Electives,,,
2,,Tự chọn nhóm C (chọn 6 tín chỉ),,,
,,Elective Courses - Group C (Select 6 credits),,,
2.1,CO3011,Quản lý dự án phần mềm,3,,
,,Software Project Management,,
2.2,CO3015,Kiểm tra phần mềm,3,CO1027(TQ) CO3001(KN),
,,Software Testing,,
2.3,CO3017,Kiến trúc phần mềm,3,,
,,Software Architecture,,
2.4,CO3021,Hệ quản trị cơ sở dữ liệu,3,CO2013(KN),
,,Database Management Systems,,
2.5,CO3027,Thương mại điện tử,3,,
,,Electronic Commerce,,
2.6,CO3029,Khai phá dữ liệu,3,,
,,Data Mining,,
2.7,CO3033,Bảo mật hệ thống thông tin,3,CO2013(KN),
,,Information System Security,,
2.8,CO3037,Phát triển ứng dụng internet of things,3,,
,,Internet of Things Application Development,,
2.9,CO3041,Hệ thống thông minh,3,CO3001(TQ),
,,Intelligent Systems,,
2.10,CO3043,Phát triển ứng dụng trên thiết bị di động,3,,
,,Mobile Application Development,,
2.11,CO3045,Lập trình game,3,,
,,Game Programming,,
2.12,CO3049,Lập trình web,3,CO2013(KN),
,,Web Programming,,
2.13,CO3051,Hệ thống thiết bị di động,3,,
,,Mobile Systems,,
2.14,CO3057,Xử lý ảnh số và thị giác máy tính,3,,
,,Digital Image Processing and Computer Vision,,
2.15,CO3059,Đồ họa máy tính,3,,
,,Computer Graphics,,
2.16,CO3061,Nhập môn trí tuệ nhân tạo,3,,
,,Introduction to Artificial Intelligence,,
2.17,CO3065,Công nghệ phần mềm nâng cao,3,,
,,Advanced Software Engineering,,
2.18,CO3067,Tính toán song song,3,,
,,Parallel Computing,,
2.19,CO3069,Mật mã và an ninh mạng,3,,
,,Cryptography and Network Security,,
2.20,CO3085,Xử lý ngôn ngữ tự nhiên,3,,
,,Natural Language Processing,,
2.21,CO3089,Những chủ đề nâng cao trong khoa học máy tính,3,,
,,Selected Topics in High Performance Computing,,
2.22,CO3115,Phân tích và thiết kế hệ thống,3,,
,,Systems Analysis and Design,,
2.23,CO3117,Học máy,3,,
,,Machine Learning,,
2.24,CO3129,Bảo mật Phần mềm,3,,
,,Software Security,,
2.25,CO3131,Công nghệ Phần mềm thế hệ mới,3,,
,,Next-gen Software Engineering,,
2.26,CO3133,Học sâu và Ứng dụng,3,,
,,Deep Learning and Its Applications,,
2.27,CO3135,Lập trình cho Trí tuệ nhân tạo và Khoa học dữ liệu,3,,
,,Programming for AI and Data Science,,
2.28,CO3137,Dữ liệu lớn,3,,
,,Big Data,,
2.29,CO3139,Chuyển đổi số,3,,
,,Digital transformation,,
2.30,CO3151,Quản trị mạng,3,,
,,Network management,,
2.31,CO3153,Đánh giá an toàn mạng máy tính,3,,
,,Computer Network Security Assessment,,
2.32,CO4031,Kho dữ liệu và hệ hỗ trợ quyết định,3,CO2013(KN),
,,Data Warehouses and Decision Support Systems,,
2.33,CO4033,Phân tích dữ liệu lớn và trí tuệ kinh doanh,3,,
,,Big Data Analytics and Business Intelligence,,
2.34,CO4035,Hệ hoạch định tài nguyên tổ chức,3,CO2013(KN),
,,Enterprise Resource Planning Systems,,
2.35,CO4037,Hệ thống thông tin quản lý,3,,
,,Management Information Systems,,
2.36,CO4039,Bảo mật sinh trắc,3,,
,,Biometric Security,,
3,,Tự chọn Quản lý (chọn 3 tín chỉ),,,
,,Elective Courses - Management for Engineers,,,
3.1,IM1013,Kinh tế học đại cương,3,,
,,Economics,,
3.2,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,
3.3,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,
3.4,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,
3.5,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,
3.6,IM1031,Khởi nghiệp và Đổi mới sáng tạo,3,,
,,Entrepreneurship and Innovation,,
3.7,ME1019,Quản lý năng suất và chất lượng,3,,
,,Productivity and Quality,,
,,Học kỳ 8 - 15 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
2,CO4337,Đồ án tốt nghiệp (Khoa học Máy tính),4,CO3335(TQ) CO4029(TQ),X
,,Capstone Project,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn nhóm C (chọn 9 tín chỉ),,,
,,Elective Courses - Group C (Select 9 credits),,,
1.1,CO3011,Quản lý dự án phần mềm,3,,
,,Software Project Management,,
1.2,CO3015,Kiểm tra phần mềm,3,CO1027(TQ) CO3001(KN),
,,Software Testing,,
1.3,CO3017,Kiến trúc phần mềm,3,,
,,Software Architecture,,
1.4,CO3021,Hệ quản trị cơ sở dữ liệu,3,CO2013(KN),
,,Database Management Systems,,
1.5,CO3027,Thương mại điện tử,3,,
,,Electronic Commerce,,
1.6,CO3029,Khai phá dữ liệu,3,,
,,Data Mining,,
1.7,CO3033,Bảo mật hệ thống thông tin,3,CO2013(KN),
,,Information System Security,,
1.8,CO3037,Phát triển ứng dụng internet of things,3,,
,,Internet of Things Application Development,,
1.9,CO3041,Hệ thống thông minh,3,CO3001(TQ),
,,Intelligent Systems,,
1.10,CO3043,Phát triển ứng dụng trên thiết bị di động,3,,
,,Mobile Application Development,,
1.11,CO3045,Lập trình game,3,,
,,Game Programming,,
1.12,CO3049,Lập trình web,3,CO2013(KN),
,,Web Programming,,
1.13,CO3051,Hệ thống thiết bị di động,3,,
,,Mobile Systems,,
1.14,CO3057,Xử lý ảnh số và thị giác máy tính,3,,
,,Digital Image Processing and Computer Vision,,
1.15,CO3059,Đồ họa máy tính,3,,
,,Computer Graphics,,
1.16,CO3061,Nhập môn trí tuệ nhân tạo,3,,
,,Introduction to Artificial Intelligence,,
1.17,CO3065,Công nghệ phần mềm nâng cao,3,,
,,Advanced Software Engineering,,
1.18,CO3067,Tính toán song song,3,,
,,Parallel Computing,,
1.19,CO3069,Mật mã và an ninh mạng,3,,
,,Cryptography and Network Security,,
1.20,CO3085,Xử lý ngôn ngữ tự nhiên,3,,
,,Natural Language Processing,,
1.21,CO3089,Những chủ đề nâng cao trong khoa học máy tính,3,,
,,Selected Topics in High Performance Computing,,
1.22,CO3115,Phân tích và thiết kế hệ thống,3,,
,,Systems Analysis and Design,,
1.23,CO3117,Học máy,3,,
,,Machine Learning,,
1.24,CO3129,Bảo mật Phần mềm,3,,
,,Software Security,,
1.25,CO3131,Công nghệ Phần mềm thế hệ mới,3,,
,,Next-gen Software Engineering,,
1.26,CO3133,Học sâu và Ứng dụng,3,,
,,Deep Learning and Its Applications,,
1.27,CO3135,Lập trình cho Trí tuệ nhân tạo và Khoa học dữ liệu,3,,
,,Programming for Artificial Intelligence and Data Science,,
1.28,CO3137,Dữ liệu lớn,3,,
,,Big Data,,
1.29,CO3139,Chuyển đổi số,3,,
,,Digital transformation,,
1.30,CO3151,Quản trị mạng,3,,
,,Network management,,
1.31,CO3153,Đánh giá an toàn mạng máy tính,3,,
,,Computer Network Security Assessment,,
1.32,CO4031,Kho dữ liệu và hệ hỗ trợ quyết định,3,CO2013(KN),
,,Data Warehouses and Decision Support Systems,,
1.33,CO4033,Phân tích dữ liệu lớn và trí tuệ kinh doanh,3,,
,,Big Data Analytics and Business Intelligence,,
1.34,CO4035,Hệ hoạch định tài nguyên tổ chức,3,CO2013(KN),
,,Enterprise Resource Planning Systems,,
1.35,CO4037,Hệ thống thông tin quản lý,3,,
,,Management Information Systems,,
1.36,CO4039,Bảo mật sinh trắc,3,,
,,Biometric Security,,
