STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,"Học kỳ 1",,,
,,"Các môn bắt buộc",,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
3,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
4,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
5,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
6,CO1005,Nhập môn điện toán,3,,
,,Introduction to Computing,,,
7,CO1023,Hệ thống số,3,,
,,Digital Systems,,,
,,"Học kỳ 2",,,
,,"Các môn bắt buộc",,,
1,LA1005,Anh văn 2,2,,
,,English 2,,,
2,PE1005,Giáo dục thể chất 2,0,,
,,Physical Education 2,,,
3,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
4,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
5,CO1025,Thiết kế luận lý với hdl,3,,
,,Logic Design with HDL,,,
6,CO1027,Kỹ thuật lập trình,3,,
,,Programming Fundamentals,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
,,"Học kỳ 3",,,
,,"Các môn bắt buộc",,,
1,LA1007,Anh văn 3,2,,
,,English 3,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,CO2037,Mạch điện - điện tử,4,,
,,Electrical Electronic Circuits,,,
4,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
5,CO1007,Cấu trúc rời rạc cho khoa học máy tính,4,,
,,Discrete Structures for Computing,,,
6,PE1007,Giáo dục thể chất 3,0,,
,,Physical Education 3,,,
,,"Học kỳ 4",,,
,,"Các môn bắt buộc",,,
1,LA1009,Anh văn 4,2,,
,,English 4,,,
2,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
3,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
4,CO2007,Kiến trúc máy tính,4,,
,,Computer Architecture,,,
5,CO2003,Cấu trúc dữ liệu và giải thuật,4,,
,,Data Structures and Algorithms,,,
,,"Học kỳ 5",,,
,,"Các môn bắt buộc",,,
1,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
2,CO3091,Đồ án môn học thiết kế luận lý,2,,
,,Logic Design Project,,,
3,CO2011,Mô hình hóa toán học,3,,
,,Mathematical Modeling,,,
4,CO2017,Hệ điều hành,3,,
,,Operating Systems,,,
5,CO3009,Vi xử lý - vi điều khiển,3,,
,,Microprocessors-Microcontrollers,,,
,,"Các môn tự chọn nhóm B (chọn 3 tín chỉ trong các môn học sau)",,,
6,CO3071,Hệ phân bố,3,,
,,Distributed Systems,,,
7,CO3035,Hệ thời gian thực,3,,
,,Real-Time Systems,,,
8,CO3117,Học máy,3,,
,,Machine Learning,,,
9,CO2035,Xử lý tín hiệu số,3,,
,,Digital Signal Processing,,,
,,"Học kỳ 6",,,
,,"Các môn bắt buộc",,,
1,CO3093,Mạng máy tính,3,,
,,Computer Networks,,,
2,CO3001,Công nghệ phần mềm,3,,
,,Software Engineering,,,
3,CO2001,Kỹ năng chuyên nghiệp cho kỹ sư,3,,
,,Professional Skills for Engineers,,,
4,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
5,CO3097,Thiết kế vi mạch,3,,
,,LSI Logic Design,,,
6,CO3345,Thực tập ngoài trường,2,,
,,Internship,,,
,,"Các môn tự chọn nhóm A (chọn 1 tín chỉ trong các môn học sau)",,,
7,CO3107,"Thực tập đồ án môn học đa ngành - hướng trí tuệ nhân tạo",1,,
,,Multidisciplinary Project,,,
8,CO3109,"Thực tập đồ án môn học đa ngành - hướng công nghệ phần mềm",1,,
,,Multidisciplinary Project,,,
9,CO3111,"Thực tập đồ án môn học đa ngành - hướng hệ thống thông tin",1,,
,,Multidisciplinary Project,,,
,,"Học kỳ 7",,,
,,"Các môn bắt buộc",,,
1,CO4041,Đồ án môn học kỹ thuật máy tính,2,,
,,Computer Engineering Project,,,
2,CO3007,Đánh giá hiệu năng hệ thống,3,,
,,System Performance Evaluation,,,
3,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,
4,CO3053,Hệ thống nhúng,3,,
,,Embedded System,,,
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,
5,,Tự chọn tự do,3,,
,,Free Elective,,,
,,"Các môn tự chọn nhóm B (chọn 3 tín chỉ trong các môn học sau)",,,
6,CO3071,Hệ phân bố,3,,
,,Distributed Systems,,,
7,CO3035,Hệ thời gian thực,3,,
,,Real-Time Systems,,,
8,CO3117,Học máy,3,,
,,Machine Learning,,,
9,CO2035,Xử lý tín hiệu số,3,,
,,Digital Signal Processing,,,
,,"Học kỳ 8",,,
,,"Các môn bắt buộc",,,
1,CO4347,Đồ án tốt nghiệp (Kỹ thuật Máy tính),4,,
,,Capstone Project,,,
2,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
,,"Các môn tự chọn tự do (chọn 6 tín chỉ)",,,
3,,Tự chọn tự do,6,,
,,Free Elective,,,
,,"Các môn tự chọn nhóm C (chọn 3 tín chỉ trong các môn học sau)",,,
4,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
5,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
6,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
7,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
8,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
