STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
3,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
4,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
5,CO1005,Nhập môn Điện toán,3,,
,,Introduction to Computing,,,
6,CO1023,Hệ thống số,3,,
,,Digital Systems,,,
1,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
2,PE1005,Giáo dục thể chất 2,0,PE1003(HT),
,,Physical Education 2,,,
3,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
4,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
5,CO1025,Thiết kế Luận lý Với HDL,3,CO1023(KN),
,,Logic Design wiTh HDL,,,
6,CO1027,Kỹ thuật Lập trình,3,,
,,Programming Fundamentals,,,
7,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
8,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
1,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,CO2037,Mạch Điện - Điện tử,4,,X
,,Electrical Electronic Circuits,,,
4,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
5,CO1007,Cấu trúc Rời rạc cho Khoa học Máy tính,4,,
,,Discrete Structures for Computing,,,
1,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
2,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,
3,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
4,CO2007,Kiến trúc Máy tính,4,CO1033(KN) CO1005(KN),X
,,Computer Architecture,,,
5,CO2003,Cấu trúc Dữ liệu và Giải Thuật,4,CO1027(KN) CO1007(KN),X
,,Data Structures and AlgoriThms,,,
1,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
2,CO3091,Đồ án môn học Thiết kế Luận lý,2,CO1025(KN) CO1023(KN),
,,Logic Design Project,,,
3,CO2011,Mô hình hóa Toán học,3,CO1007(KN),
,,MaThematical Modeling,,,
4,CO2017,Hệ điều hành,3,,X
,,Operating Systems,,,
5,CO3009,Vi xử lý - Vi điều khiển,3,,
,,Microprocessors-Microcontrollers,,,
,,Các môn tự chọn nhóm B (chọn 3 tín chỉ trong các môn học sau),3,,
,,Elective Courses - Group B (Select 3 credits in the group of courses belov,,,
6,CO3049,Lập trình Web,3,,
,,Web Programming,,,
7,CO3069,Mật mã và An ninh mạng,3,,
,,Cryptography and Network Security,,,
8,CO3071,Hệ phân bố,3,,
,,Distributed Systems,,,
9,CO3117,Học máy,3,,
,,Machine Learning,,,
10,CO3143,Giới thiệu hệ thống trên chip,3,CO2007(KN) CO1025(KN) CO1023(KN),
,,Introduction to System on Chip,,,
11,CO3145,Thiết kế luận lý với HDL nâng cao,3,CO2007(KN) CO1025(KN) CO1023(KN),X
,,Advanced Logic Design with HDL,,,
12,CO3147,Thiết kế vi mạch nâng cao,3,CO3097(KN),
,,Advanced VLSI design,,,
13,CO3149,Tổng hợp luận lý vi mạch,3,CO1025(KN) CO1023(KN),
,,Logic Synthesis,,,
14,CO3021,Hệ Quản trị Cơ sở Dữ Liệu,3,CO2013(KN),
,,Database Management Systems,,,
