STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1,,,
,,Các môn bắt buộc,,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
3,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
4,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
5,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
8,TR1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Học kỳ 2,,,
,,Các môn bắt buộc,,,
1,LA1005,Anh văn 2,2,,
,,English 2,,,
2,PE1005,Giáo dục thể chất 2,0,,
,,Physical Education 2,,,
3,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
4,PH1005,Vật lý 2,4,,
,,General Physics 2,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,TR1003,Vẽ kỹ thuật giao thông,3,,
,,Transportation Drafting,,,
,,Học kỳ 3,,,
,,Các môn bắt buộc,,,
1,TR2001,Cơ kỹ thuật và dao động,3,,
,,Engineering Mechanics & Mechanical Vibrations,,,
2,TR1005,Cơ học thủy khí,3,,
,,Fluid Mechanics,,,
3,LA1007,Anh văn 3,2,,
,,English 3,,,
4,PE1007,Giáo dục thể chất 3,0,,
,,Physical Education 3,,,
5,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
6,CO1003,Nhập môn về lập trình,3,,
,,Introduction to Computer Programming,,,
7,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
,,Học kỳ 4,,,
,,Các môn bắt buộc,,,
1,TR2005,Cơ học vật rắn biến dạng,3,,
,,Mechanics of Deformable Solids,,,
2,EE2011,Kỹ thuật điện-điện tử,3,,
,,Electrical and Electronics Engineering,,,
3,LA1009,Anh văn 4,2,,
,,English 4,,,
4,MT1009,Phương pháp tính,3,,
,,Numerical Methods,,,
5,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
6,TR2011,Khí động lực học 1,3,,
,,Aerodynamics 1 - Incompressible Aerodynamics,,,
,,Học kỳ 5,,,
,,Các môn bắt buộc,,,
1,ME2013,Nhiệt động lực học và truyền nhiệt,3,,
,,Thermodynamics and Heat Transfer,,,
2,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
3,TR3001,Cơ học bay,3,,
,,Flight Mechanics,,,
4,TR3135,Phân tích kết cấu máy bay,3,,
,,Aircraft Structures Analysis,,,
5,TR3077,Thí nghiệm kỹ thuật hàng không 1,1,,
,,Aerospace Engineering Lab 1,,,
,,Học kỳ 6,,,
,,Các môn bắt buộc,,,
1,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
2,TR3011,Khí động lực học 2,3,,
,,Aerodynamics 2 - Compressible Aerodynamics,,,
3,TR3137,Hệ thống lực đẩy máy bay,3,,
,,Aircraft Propulsion Systems,,,
4,TR3051,Thí nghiệm kỹ thuật hàng không 2,1,,
,,Aerospace Engineering Lab 2,,,
5,TR3039,Ổn định và điều khiển bay,3,,
,,Aircraft Stability and Control,,,
6,TR3365,Thực tập ngoài trường,2,,
,,Internship,,,
,,Các môn tự chọn nhóm A (chọn 3 tín chỉ trong các môn học sau),,,
6,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
7,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
8,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,
7,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 7,,,
,,Các môn bắt buộc,,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
2,TR4079,Đồ án chuyên ngành hàng không,2,,
,,Aerospace Engineering Design Project,,,
3,TR4081,Thiết kế máy bay,3,,
,,Aircraft Design,,,
4,TR4015,Thí nghiệm kỹ thuật hàng không 3,1,,
,,Aerospace Engineering Lab 3,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,
5,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Các môn tự chọn nhóm B (chọn 3 tín chỉ trong các môn học sau),,,
6,TR4047,Phương pháp số - động lực học lưu chất,3,,
,,Computational Fluid Dynamics,,,
7,TR4051,Phương pháp phần tử hữu hạn,3,,
,,Finite Element Method,,,
8,TR3087,Khí đàn hồi,3,,
,,Aeroelasticity,,,
9,TR4057,Hệ thống lực đẩy hỏa tiễn,3,,
,,Rocket Engines,,,
10,TR3029,Động cơ gió,3,,
,,Wind Turbines,,,
11,TR3083,Máy thủy khí,3,,
,,Fluid Machinery,,,
12,TR4083,Động cơ tuabin,3,,
,,Turbine Engines,,,
13,TR4095,Máy bay trực thăng,3,,
,,Vertical Take-off and Landing Aircraft,,,
14,TR4097,Cơ học rạn nứt và mỏi,3,,
,,Fracture Mechanics and Fatigue,,,
15,TR4073,Cơ học va chạm,3,,
,,Impact Mechanics,,,
16,TR3003,Cơ học vật liệu hàng không,3,,
,,Mechanics of Aircraft Materials,,,
17,TR4043,Cảm biến và tín hiệu,3,,
,,Sensors and Signals,,,
18,TR3055,Các hệ thời gian thực,3,,
,,Real-Time or Embedded Systems,,,
19,TR3063,Phân tích thiết kế hệ điều khiển,3,,
,,Control-Command Systems: Analysis and Design,,,
20,TR4067,Nhận dạng hệ thống máy bay,3,,
,,Aircraft System Identification,,,
21,TR4069,Điện - điện tử hàng không,3,,
,,Avionics,,,
22,TR4071,Thiết kế tối ưu,3,,
,,Design Optimization,,,
,,Học kỳ 8,,,
,,Các môn bắt buộc,,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,
2,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
3,TR4367,Đồ án tốt nghiệp,4,,
,,Capstone Project,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,
4,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Các môn tự chọn nhóm B (chọn 3 tín chỉ trong các môn học sau),,,
5,TR4047,Phương pháp số - động lực học lưu chất,3,,
,,Computational Fluid Dynamics,,,
6,TR4051,Phương pháp phần tử hữu hạn,3,,
,,Finite Element Method,,,
7,TR3087,Khí đàn hồi,3,,
,,Aeroelasticity,,,
8,TR4057,Hệ thống lực đẩy hỏa tiễn,3,,
,,Rocket Engines,,,
9,TR3029,Động cơ gió,3,,
,,Wind Turbines,,,
10,TR3083,Máy thủy khí,3,,
,,Fluid Machinery,,,
11,TR4083,Động cơ tuabin,3,,
,,Turbine Engines,,,
12,TR4095,Máy bay trực thăng,3,,
,,Vertical Take-off and Landing Aircraft,,,
13,TR4097,Cơ học rạn nứt và mỏi,3,,
,,Fracture Mechanics and Fatigue,,,
14,TR4073,Cơ học va chạm,3,,
,,Impact Mechanics,,,
15,TR3003,Cơ học vật liệu hàng không,3,,
,,Mechanics of Aircraft Materials,,,
16,TR4043,Cảm biến và tín hiệu,3,,
,,Sensors and Signals,,,
17,TR3055,Các hệ thời gian thực,3,,
,,Real-Time or Embedded Systems,,,
18,TR3063,Phân tích thiết kế hệ điều khiển,3,,
,,Control-Command Systems: Analysis and Design,,,
19,TR4067,Nhận dạng hệ thống máy bay,3,,
,,Aircraft System Identification,,,
20,TR4069,Điện - điện tử hàng không,3,,
,,Avionics,,,
21,TR4071,Thiết kế tối ưu,3,,
,,Design Optimization,,,
