STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,"Học kỳ 1",,,"
,,"Các môn bắt buộc",,,"
1,LA1003,Anh văn 1,2,,
,,English 1,,,"
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,"
3,PH1003,Vật lý 1,4,,
,,General Physics 1,,,"
4,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,"
5,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,"
6,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,"
7,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,"
8,TR1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,"
,,"Học kỳ 2",,,"
,,"Các môn bắt buộc",,,"
1,LA1005,Anh văn 2,2,,
,,English 2,,,"
2,MT1005,Giải tích 2,4,,
,,Calculus 2,,,"
3,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,"
4,PH1005,Vật lý 2,4,,
,,General Physics 2,,,"
5,PE1005,Giáo dục thể chất 2,0,,
,,Physical Education 2,,,"
6,TR1003,Vẽ kỹ thuật giao thông,3,,
,,Transportation Drafting,,,"
,,"Học kỳ 3",,,"
,,"Các môn bắt buộc",,,"
1,LA1007,Anh văn 3,2,,
,,English 3,,,"
2,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,"
3,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,"
4,PE1007,Giáo dục thể chất 3,0,,
,,Physical Education 3,,,"
5,CO1003,Nhập môn về lập trình,3,,
,,Introduction to Computer Programming,,,"
6,TR1005,Cơ học thủy khí,3,,
,,Fluid Mechanics,,,"
7,TR2033,Kỹ thuật chế tạo,3,,
,,Manufacturing Engineering,,,"
,,"Học kỳ 4",,,"
,,"Các môn bắt buộc",,,"
1,LA1009,Anh văn 4,2,,
,,English 4,,,"
2,MT1009,Phương pháp tính,3,,
,,Numerical Methods,,,"
3,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,"
4,TR2035,Cơ kết cấu giao thông,3,,
,,Structural Mechanics,,,"
5,ME2013,Nhiệt động lực học và truyền nhiệt,3,,
,,Thermodynamics and Heat Transfer,,,"
6,EE2011,Kỹ thuật điện-điện tử,3,,
,,Electrical and Electronics Engineering,,,"
,,"Học kỳ 5",,,"
,,"Các môn bắt buộc",,,"
1,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,"
2,TR2037,Lý thuyết tàu thủy 1 - tĩnh học,4,,
,,Ship Theory 1 - Hydrostatic,,,"
3,TR2017,Thiết bị năng lượng tàu thủy 1,3,,
,,Ship Power Plants 1,,,"
,,"Các môn tự chọn nhóm A (chọn 3 tín chỉ trong các môn học sau)",,,"
4,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,"
5,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,"
6,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,"
,,"Các môn tự chọn nhóm B (chọn 3 tín chỉ trong các môn học sau)",,,"
7,TR3061,Công nghệ đóng tàu và tổ chức sản xuất,3,,
,,Ship Production & Shipyard Management,,,"
8,TR3085,Trang bị điện - điện tử tàu thủy,3,,
,,Marine Electrical and Electronic Equipments,,,"
9,TR3133,Động lực học tàu thủy và công trình ngoài khơi,3,,
,,Dynamics of Ship & Offshore Structures,,,"
10,TR3019,Thiết bị năng lượng tàu thủy 2,3,,
,,Ship Power Plants 2,,,"
11,TR3053,Thiết kế tàu thủy,3,,
,,Ship Design,,,"
12,TR3027,Thiết kế hệ thống động lực tàu thủy,3,,
,,Marine System Design,,,"
,,"Học kỳ 6",,,"
,,"Các môn bắt buộc",,,"
1,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,"
2,TR3037,Các hệ thống trang thiết bị tàu,3,,
,,Outfitting,,,"
3,TR3005,Lý thuyết tàu thủy 2 - động lực học,3,,
,,Ship Theory 2 - Hydrodynamic,,,"
4,TR3057,Phương pháp phân tích kết cấu tàu,3,,
,,Structural Analysis of Ship,,,"
5,TR3355,Thực tập ngoài trường,2,,
,,Internship,,,"
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,"
6,,Tự chọn tự do,3,,
,,Free Elective,,,"
,,"Học kỳ 7",,,"
,,"Các môn bắt buộc",,,"
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,"
2,TR3017,Kết cấu và sức bền tàu,3,,
,,Ship Structre and Strength,,,"
3,TR4093,Đồ án chuyên ngành (Kỹ thuật tàu thủy),2,,
,,Project,,,"
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,"
4,,Tự chọn tự do,3,,
,,Free Elective,,,"
,,"Các môn tự chọn nhóm B (chọn 6 tín chỉ trong các môn học sau)",,,"
5,TR3061,Công nghệ đóng tàu và tổ chức sản xuất,3,,
,,Ship Production & Shipyard Management,,,"
6,TR3085,Trang bị điện - điện tử tàu thủy,3,,
,,Marine Electrical and Electronic Equipments,,,"
7,TR3133,Động lực học tàu thủy và công trình ngoài khơi,3,,
,,Dynamics of Ship & Offshore Structures,,,"
8,TR3019,Thiết bị năng lượng tàu thủy 2,3,,
,,Ship Power Plants 2,,,"
9,TR3053,Thiết kế tàu thủy,3,,
,,Ship Design,,,"
10,TR3027,Thiết kế hệ thống động lực tàu thủy,3,,
,,Marine System Design,,,"
,,"Học kỳ 8",,,"
,,"Các môn bắt buộc",,,"
1,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,"
2,EN1003,Con người và môi trường,2,,
,,Humans and the Environment,,,"
3,TR4357,Đồ án tốt nghiệp,4,,
,,Capstone Project,,,"
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,"
4,,Tự chọn tự do,3,,
,,Free Elective,,,"
,,"Các môn tự chọn nhóm B (chọn 3 tín chỉ trong các môn học sau)",,,"
5,TR3061,Công nghệ đóng tàu và tổ chức sản xuất,3,,
,,Ship Production & Shipyard Management,,,"
6,TR3085,Trang bị điện - điện tử tàu thủy,3,,
,,Marine Electrical and Electronic Equipments,,,"
7,TR3133,Động lực học tàu thủy và công trình ngoài khơi,3,,
,,Dynamics of Ship & Offshore Structures,,,"
8,TR3019,Thiết bị năng lượng tàu thủy 2,3,,
,,Ship Power Plants 2,,,"
9,TR3053,Thiết kế tàu thủy,3,,
,,Ship Design,,,"
10,TR3027,Thiết kế hệ thống động lực tàu thủy,3,,
,,Marine System Design,,,"
