STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,KHGD - Song ngành TT-HK (Học kỳ 1-2024),17,,
,,Các học phần bắt buộc,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
3,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
4,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
5,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
6,TR1001,Nhập môn Về Kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Các học phần tự chọn,,
,,Giáo dục thể chất,,
,,Physical education part 1,,,
1.1,PE1009,Bóng đá (Học phần 1),0,,
,,Football,,,
1.2,PE1011,Bóng chuyền (Học phần 1),0,,
,,Volleyball,,,
1.3,PE1013,Bóng bàn (Học phần 1),0,,
,,Table tennis,,,
1.4,PE1021,Aerobic (học Phần 1),0,,
,,Aerobic,,,
1.5,PE1015,Bóng rổ (Học phần 1),0,,
,,Basketball,,,
1.6,PE1017,Cầu lông (Học phần 1),0,,
,,Badminton,,,
1.7,PE1025,Điền kinh (Học phần 1),0,,
,,AThletics,,,
1.8,PE1019,Bơi (học Phần 1),0,,
,,Swimming,,,
1.9,PE1027,Quần vợt (Học phần 1),0,,
,,Tennis,,,
1.10,PE1053,Cờ vua (Học phần 1),0,,
,,Chess,,,
1.11,PE1057,Bowling (học phần 1),0,,
,,Bowling,,,
1.12,PE1061,Pickleball (học phần 1),0,,
,,Pickleball,,,
,,KHGD - Song ngành TT-HK (Học kỳ 2-2024),16,,
,,Các học phần bắt buộc,,
1,LA1005,Anh văn 2,2,2 LA1003(TQ),
,,English 2,,,
2,MT1005,Giải tích 2,4,4 MT1003(KN),
,,Calculus 2,,,
3,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
4,PH1005,Vật lý 2,3,4 PH1003(KN),
,,General Physics 2,,,
5,TR1003,Vẽ kỹ thuật Giao thông,3,,
,,Transportation Drafting,,,
6,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
,,Các học phần tự chọn,,
,,Giáo dục thể chất,,
,,Physical education part 2,,,
1.1,PE1037,Bóng bàn (Học phần 2),0,,
,,Table tennis,,,
1.2,PE1041,Cầu lông (Học phần 2),0,,
,,Badminton,,,
1.3,PE1033,Bóng đá (Học phần 2),0,,
,,Football,,,
1.4,PE1045,Aerobic (học Phần 2),0,,
,,Aerobic,,,
1.5,PE1043,Bơi (học Phần 2),0,,
,,Swimming,,,
1.6,PE1039,Bóng rổ (Học phần 2),0,,
,,Basketball,,,
1.7,PE1035,Bóng chuyền (Học phần 2),0,,
,,Volleyball,,,
1.8,PE1049,Điền kinh (học phần 2),0,,
,,Athletics,,,
1.9,PE1051,Quần vợt (Học phần 2),0,,
,,Tennis,,,
1.10,PE1055,Cờ vua (học phần 2),0,,
,,Chess,,,
1.11,PE1063,Pickleball (học phần 2),0,,
,,Pickleball,,,
1.12,PE1059,Bowling (học phần 2),0,,
,,Bowling,,,
,,KHGD - Song ngành TT-HK (Học kỳ 3-2024),15,,
,,Các học phần bắt buộc,,
1,LA1007,Anh văn 3,2,2 LA1005(TQ),
,,English 3,,,
2,MT2013,Xác suất và Thống kê,4,4 MT1007(KN),
,,Probability and Statistics,,,
3,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to VietNamese Law,,,
4,TR1005,Cơ học Thủy khí,3,,
,,Fluid Mechanics,,,
5,TR2039,Cơ kỹ thuật,4,,
,,Engineering Mechanics,,,
,,KHGD - Song ngành TT-HK (Học kỳ 4-2024),17,,
,,Các học phần bắt buộc,,
1,LA1009,Anh văn 4,2,2 LA1007(TQ),
,,English 4,,,
2,MT1009,Phương pháp tính,3,3 MT1003(KN),
,,Numerical MeThods,,,
3,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
4,EE2011,Kỹ thuật Điện - Điện tử,3,,
,,Electrical and Electronics Engineering,,,
5,TR2005,Cơ học Vật rắn Biến dạng,3,,
,,Mechanics of Deformable Solids,,,
6,CO1003,Nhập môn về Lập trình,3,,
,,Introduction to Computer Programming,,,
,,KHGD - Song ngành TT-HK (Học kỳ 5-2024),18,,
,,Các học phần bắt buộc,,
1,SP1033,Kinh tế Chính trị Mác - Lênin,2,2 SP1031(KN),
,,Marxist - Leninist Political Economy,,,
2,TR2011,Khí động lực học 1,3,3 TR1005(HT),
,,Aerodynamics 1 - Incompressible Aerodynamics,,,
3,TR2037,Lý thuyết Tàu thủy 1 - Tĩnh học,4,,
,,Ship Theory 1 - Hydrostatic,,,
4,ME2013,Nhiệt động lực học và Truyền nhiệt,3,,
,,Thermodynamics and Heat Transfer,,,
5,TR2035,Cơ kết cấu Giao thông,3,,
,,Structural Mechanics,,,
,,Các học phần tự chọn,,
