STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1 (Semester 1),,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
3,CH1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
4,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
5,,Giáo dục thể chất học phần 1,0,,
,,Physical education part 1,,,
6,LA1003,Anh văn 1,2,,
,,English 1,,,
,,Học kỳ 2 (Semester 2),,,
1,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
2,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
3,CI1003,Vẽ kỹ thuật,3,,
,,Engineering Drawing,,,
4,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
5,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
6,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to VietNamese Law,,,
7,,Giáo dục thể chất học phần 2,0,,
,,Physical education part 2,,,
8,MI1003,Giáo dục quốc phòng,0,,
,,National Defense Education Course,,,
,,Học kỳ 3 (Semester 3),,,
1,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
2,CH2003,Hóa lý 1,3,CH1003(TQ) MT1003(KN),
,,Physical Chemistry 1,,,
3,CH2113,Hóa phân tích,3,CH1003(TQ),
,,Analytical Chemistry,,,
4,CH2013,Hóa vô cơ (+TN),4,CH1003(TQ),
,,Inorganic Chemistry (+Lab),,,
5,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
6,CH2021,Hóa hữu cơ,3,CH1003(TQ),
,,Organic Chemistry,,,
,,Học kỳ 4 (Semester 4),,,
1,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
2,CH2109,Hóa lý 2,3,CH1003(TQ) CH2003(KN),
,,Physical Chemistry 2,,,
3,CH2019,Quá trình và Thiết bị Cơ học,3,,
,,Mechanical Processes And Equipments,,,
4,SP1033,Kinh tế Chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
5,MT2013,Xác suất và Thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
6,CH2155,Thí nghiệm Hóa phân tích,2,CH1003(TQ) CH2113(KN),
,,Analytical Chemistry Laboratory,,,
,,Học kỳ 5 (Semester 5),,,
1,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
2,CH2051,Quá trình và Thiết bị Truyền khối,3,CH2003(TQ),
,,Mass Transfer Processes And Equipments,,,
3,CH2043,Quá trình và Thiết bị Truyền nhiệt,3,CH2003(TQ),
,,Heat Transfer Processes And Equipments,,,
4,CH2041,Thí nghiệm Hóa lý,2,CH1003(TQ) CH2003(TQ) CH2109(SHT),
,,Physical Chemistry Laboratory,,,
5,,Môn chuyên ngành nhóm A,6,,
,,Specialized courses - Group A,,,
