STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
3,LA1003,Anh văn 1,2,,
,,English 1,,,
4,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
5,CI1001,Nhập môn Về kỹ thuật,3,,
,,Introduction to Engineering,,,
6,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Giáo dục thể chất học phần 1,0,,
,,Physical Education - Session 1,,,
1.1,PE1009,Bóng đá (Học phần 1),0,,
,,Football,,,
1.2,PE1011,Bóng chuyền (Học phần 1),0,,
,,Volleyball,,,
1.3,PE1013,Bóng bàn (Học phần 1),0,,
,,Table tennis,,,
1.4,PE1015,Bóng rổ (Học phần 1),0,,
,,Basketball,,,
1.5,PE1017,Cầu lông (Học phần 1),0,,
,,Badminton,,,
1.6,PE1019,Bơi (học Phần 1),0,,
,,Swimming,,,
1.7,PE1021,Aerobic (học Phần 1),0,,
,,Aerobic,,,
1.8,PE1025,Điền kinh (Học phần 1),0,,
,,Athletics,,,
1.9,PE1027,Quần vợt (Học phần 1),0,,
,,Tennis,,,
1.10,PE1053,Cờ vua (Học phần 1),0,,
,,Chess,,,
1.11,PE1057,Bowling (học phần 1),0,,
,,Bowling,,,
1.12,PE1061,Pickleball (học phần 1),0,,
,,Pickleball,,,
,,Học kỳ 2 - 19 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
2,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
3,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
4,CI1069,Khoa học Trái đất,4,,
,,Earth Science,,,
5,CI1033,Vẽ kỹ thuật Xây dựng,3,,
,,Civil Engineering Drawing,,,
6,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Giáo dục thể chất học phần 2,0,,
,,Physical Education - Session 2,,,
1.1,PE1033,Bóng đá (Học phần 2),0,,
,,Football,,,
1.2,PE1035,Bóng chuyền (Học phần 2),0,,
,,Volleyball,,,
1.3,PE1037,Bóng bàn (Học phần 2),0,,
,,Table tennis,,,
1.4,PE1039,Bóng rổ (Học phần 2),0,,
,,Basketball,,,
1.5,PE1041,Cầu lông (Học phần 2),0,,
,,Badminton,,,
1.6,PE1043,Bơi (học Phần 2),0,,
,,Swimming,,,
1.7,PE1045,Aerobic (học Phần 2),0,,
,,Aerobic,,,
1.8,PE1049,Điền kinh (học phần 2),0,,
,,Athletics,,,
1.9,PE1051,Quần vợt (Học phần 2),0,,
,,Tennis,,,
1.10,PE1055,Cờ vua (học phần 2),0,,
,,Chess,,,
1.11,PE1059,Bowling (học phần 2),0,,
,,Bowling,,,
1.12,PE1063,Pickleball (học phần 2),0,,
,,Pickleball,,,
,,Học kỳ 3 - 16 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,CI1007,Trắc địa Đại cương,3,,
,,Basis of Surveying,,,
2,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,
3,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
4,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to Vietnamese Law,,,
5,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
6,CI2095,Địa chất Công trình,3,,
,,Engineering Geology,,,
,,Học kỳ 4 - 16 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,MT1009,Phương pháp tính,3,MT1003(KN),
,,Numerical Methods,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
4,CI2037,Vật liệu Xây dựng,3,,
,,Construction Materials,,,
5,CI2007,Sức bền Vật liệu,4,,
,,Strength of Materials,,,
,,Học kỳ 5 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
2,CI2133,Kết cấu thép,3,CI2007(HT),
,,Steel Structures,,,
3,CI2135,Cơ kết cấu,3,CI2007(HT),
,,Mechanics of Structures,,,
4,CI2137,Cơ học đất,3,CI2095(HT),
,,Soil Mechanics,,,
5,CI2139,Kết cấu Bê tông Cốt thép,3,CI2135(SHT) CI2007(TQ),
,,Reinforced Concrete Structures,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn nhóm A,3,,
,,Elective courses of A group,,,
1.1,CI3289,Lãnh đạo và Khởi nghiệp,3,,
,,Leadership and Startup,,,
1.2,CI3291,Lãnh đạo và Quản Lý Dự án,3,,
,,Leadership and Management in Project,,,
1.3,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
,,Entrepreneurship and Innovation,,,
1.4,ME1019,Quản lý năng suất và chất lượng,3,,
,,Quality and Productivity Management,,,
,,Học kỳ 6 - 15 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
2,CI3465,Thực tập Ngoài trường,2,,
,,Internship,,,
3,CI2145,Nền móng,4,CI2137(HT),
,,Foundation Engineering,,,
4,CI3245,Kỹ thuật Chất kết dính,3,CI2037(HT),
,,Cementitious Material Technology,,,
5,CI3057,Kỹ thuật Bê tông,3,CI2037(HT),
,,Concrete Technology,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn tự do (1),3,,
,,Free elective,,,
,,Học kỳ 7 - 15 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
2,CI4167,Đồ án Chuyên ngành,2,CI3465(SHT) CI4139(SHT) CI3245(HT) CI3057(HT) CI2037(HT),
,,Project,,,
3,CI2147,Thí nghiệm công trình,1,CI2139(HT) CI2133(HT),
,,Structural Testing,,,
4,CI4139,Thiết kế Công nghệ Sản xuất và Lắp đặt Cấu kiện Bê tông đúc sẵn,3,CI2037(HT),
,,Design of Production Technology and Installation of Precast Concrete,,,
5,CI4153,Bê tông Đặc biệt cho Công trình,3,CI2037(HT),
,,Special Concretes in Construction,,,
6,CI4163,Ăn mòn Bê tông và Bê tông Cốt thép,3,CI2037(HT),
,,Corrosion of Concrete and Reinforced Concrete,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn tự do (2),1,,
,,Free elective,,,
,,Học kỳ 8 - 11 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
2,CI2151,Kinh tế Xây dựng,3,,
,,Construction Economics,,,
3,CI4467,Đồ án Tốt nghiệp,4,CI4167(TQ) CI3465(TQ),
,,Capstone Project,,,
4,EN1003,Con người và Môi trường,3,,
,,Humans and The Environment,,,
