STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1 (Semester 1),,,17,,
,,Các học phần bắt buộc (Compulsary Courses),,,,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
5,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
6,CI1065,Nhập môn kiến trúc,3,,
,,Introduction to Architecture,,,
7,,Giáo dục thể chất,0,,
,,Physical Education,,,
,,Học kỳ 2 (Semester 2),,,16,,
,,Các học phần bắt buộc (Compulsary Courses),,,,,
1,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
4,CI1069,Khoa học trái đất,4,,
,,Earth Science,,,
5,CI1067,Vẽ kỹ thuật kiến trúc,3,CI6105 (HT),
,,Architectural Descriptive Geometry,,,
6,,Giáo dục thể chất,0,,
,,Physical Education,,,
7,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
,,Học kỳ 3 (Semester 3),,,17,,
,,Các học phần bắt buộc (Compulsary Courses),,,,,
1,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
2,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
3,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
4,CI2097,Nguyên lý thiết kế kiến trúc công trình dân dụng,4,,
,,Architectural Design Principles of Civil Buildings,,,
5,CI2099,Lịch sử kiến trúc và định cư,3,,
,,History of Architecture and Human Settlements,,,
6,CI2101,Đồ án thiết kế cơ sở kiến trúc,2,CI6107 (HT),
,,Fundamental Architecture Studio,,,
,,Học kỳ 4 (Semester 4),,,17,,
,,Các học phần bắt buộc (Compulsary Courses),,,,,
1,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
2,MT1009,Phương pháp tính,3,MT1003(KN) MT1007(KN),
,,Numerical Methods,,,
3,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
4,CI2105,Thiết kế kỹ thuật kiến trúc công trình dân dụng,3,,
,,Architectural Technical Design of Civil Buildings,,,
5,CI2103,Nguyên lý thiết kế kiến trúc công trình nhà ở,3,,
,,Architectural Design Principles of Residential Buildings,,,
6,CI2107,Thiết kế I - công trình công cộng,3,CI2097 (HT),
,,Design Studio I - Public Buildings,,,
,,Học kỳ 5 (Semester 5),,,17,,
,,Các học phần bắt buộc (Compulsary Courses),,,,,
1,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
2,CI2111,Bố cục tạo hình trong kiến trúc,3,,
,,Composition of Shapes and Forms in Architecture,,,
3,CI3273,Thiết kế II - Công trình Chung cư,3,CI2103 (HT),
