STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1 (Semester 1),,
,,Các học phần bắt buộc (Compulsary Courses),,
1,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
3,LA1003,Anh văn 1,2,,
,,English 1,,,
4,,Giáo dục thể chất,0,,
,,Physical Education,,,
5,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
6,CI1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
,,Học kỳ 2 (Semester 2),,
,,Các học phần bắt buộc (Compulsary Courses),,
1,,Giáo dục thể chất,0,,
,,Physical Education,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
4,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
5,CI1069,Khoa học trái đất,4,,
,,Earth Science,,,
6,CI1033,Vẽ kỹ thuật xây dựng,3,,
,,Civil Engineering Drawing,,,
7,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
,,Học kỳ 3 (Semester 3),,
,,Các học phần bắt buộc (Compulsary Courses),,
1,CI1007,Trắc địa đại cương,3,,
,,Basis of Surveying,,,
2,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
3,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
4,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
5,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
6,CI2095,Địa chất công trình,3,,X
,,Engineering Geology,,,
,,Học kỳ 4 (Semester 4),,
,,Các học phần bắt buộc (Compulsary Courses),,
1,MT1009,Phương pháp tính,3,MT1003(KN) MT1007(KN),
,,Numerical Methods,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
4,CI2037,Vật liệu xây dựng,3,,X
,,Construction Materials,,,
5,CI2007,Sức bền vật liệu,4,,X
,,Strength of Materials,,,
,,Học kỳ 5 (Semester 5),,
,,Các học phần bắt buộc (Compulsary Courses),,
1,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
2,CI2133,Kết cấu thép,3,CI2007(KN),X
,,Steel Structures,,,
3,CI2135,Cơ kết cấu,3,CI2007(KN),X
,,Mechanics of Structures,,,
4,CI2137,Cơ học đất,3,CI2095(KN),X
,,Soil Mechanics,,,
5,CI2139,Kết cấu bê tông cốt thép,3,CI2007(TQ) CI2135(SH),X
,,Reinforced Concrete Structures,,,
,,Các học phần tự chọn (Elective Courses),,
,,Tự chọn Quản lý (chọn 3 tín chỉ trong các học phần sau),,
,,Elective Courses - Management for Engineers (Select 3 credits in the group of courses below),,
,,CI3289,Lãnh đạo và khởi nghiệp,3,,
,,Leadership and Startup,,,
,,CI3291,Lãnh đạo và quản lý dự án,3,,
,,Leadership and Management in Project,,,
,,Học kỳ 6 (Semester 6),,
,,Các học phần bắt buộc (Compulsary Courses),,
1,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
2,CI2145,Nền móng,4,CI2137(KN),X
,,Foundation Engineering,,,
3,CI3243,Kết cấu công trình bê tông cốt thép,3,CI2139(KN),
,,Reinforced Concrete Building Structures,,,
4,CI3043,Kỹ thuật thi công,3,,X
,,Construction Equipment and Method,,,
5,CI3445,Thực tập ngoài trường,2,,
,,Internship,,,
,,Các học phần tự chọn (Elective Courses),,
,,Tự chọn tự do 3 tín chỉ,,
,,Free Electives 3 credits,,,
,,Học kỳ 7 (Semester 7),,
,,Các học phần bắt buộc (Compulsary Courses),,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
2,CI2147,Thí nghiệm công trình,1,CI2133(KN) CI2139(KN),X
,,Structural Testing,,,
3,CI4189,Quy hoạch tổ chức thi công,3,CI1007(KN),X
,,On-Site Construction Management,,,
4,CI4131,Kết cấu công trình thép,3,CI2133(KN),
,,Steel Building Structures,,,
5,CI4133,Đồ án chuyên ngành,2,CI2133(KN) CI2145(KN) CI3043(KN) CI3243(KN) CI3445(SH),X
,,Project,,,
,,Học kỳ 8 (Semester 8),,
,,Các học phần bắt buộc (Compulsary Courses),,
1,CI2151,Kinh tế xây dựng,3,,
,,Construction Economics,,,
2,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
3,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
4,CI4447,Đồ án tốt nghiệp,4,CI3445(TQ) CI4133(TQ),X
,,Capstone Project,,,
,,Các học phần tự chọn (Elective Courses),,
,,Tự chọn tự do 3 tín chỉ,,
,,Free Electives 3 credits,,,
,,Tự chọn nhóm B (chọn 3 tín chỉ trong các học phần sau),,
,,Elective Courses - Group B (Select 3 credits in the group of courses below),,
,,CI3061,Phương pháp phần tử hữu hạn,3,CI2135(KN),
,,Finite Element Method,,,
,,CI3241,Cấp thoát nước,3,CI2003(KN),
,,Water Supply and Sewerage,,,
,,CI4161,Quy hoạch hạ tầng đô thị,3,CI1007(KN),
,,Urban Infrastructure Planning,,,
