STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1,16,,
,,Các môn bắt buộc,,,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
3,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
4,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
5,GE1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
6,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
7,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
,,Học kỳ 2,17,,
,,Các môn bắt buộc,,,,
1,LA1005,Anh văn 2,2,,
,,English 2,,,
2,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
3,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
4,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
5,GE1011,Địa vật lý đại cương + kiến tập,3,,
,,Basic Geophysics,,,
6,GE1013,Khoa học trái đất,4,,
,,Earth Science,,,
7,PE1005,Giáo dục thể chất 2,0,,
,,Physical Education 2,,,
,,Học kỳ 3,17,,
,,Các môn bắt buộc,,,,
1,LA1007,Anh văn 3,2,,
,,English 3,,,
2,MT1009,Phương pháp tính,3,,
,,Numerical Methods,,,
3,GE2033,Tinh thể - khoáng vật - thạch học + thực tập,3,,
,,Crystallography - Mineralogy - Petrography,,,
4,GE2043,Địa tin học đại cương,3,,
,,Fundamental of Geoinformatics,,,
5,GE2035,Địa chất kiến trúc và đo vẽ bản đồ địa chất,3,,
,,Structural Geology and Geological Mapping,,,
6,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
7,PE1007,Giáo dục thể chất 3,0,,
,,Physical Education 3,,,
,,Học kỳ 4,17,,
,,Các môn bắt buộc,,,,
1,LA1009,Anh văn 4,2,,
,,English 4,,,
2,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
3,GE2041,Địa vật lý dầu khí,3,,
,,Petrophysics,,,
4,CH2089,Quá trình và thiết bị công nghệ 1,3,,
,,Process Engineering 1,,,
5,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
,,Các môn tự chọn nhóm A (chọn 3 tín chỉ trong các môn học sau),,,,
6,GE2011,Cơ sở khoa học địa chất dầu khí,3,,
,,Fundamental of Petroleum Geosciences,,,
7,GE2001,Cơ sở kỹ thuật dầu khí,3,,
,,Introduction to Petroleum Engineering,,,
8,GE2045,Chuyên đề 1,3,,
,,Project based course,,,
,,Học kỳ 5,16,,
,,Các môn bắt buộc,,,,
1,GE3155,Đồ án tính toán ứng dụng trong kỹ thuật dầu khí,1,,
,,Project: Applied Computing in Petroleum Engineering,,,
2,GE3141,Địa thống kê,3,,
,,Geostatistics,,,
3,GE3157,Đồ án kỹ thuật dầu khí 1,1,,
,,Petroleum Engineering Project 1,,,
4,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
5,GE3163,Tầng chứa, tài nguyên và trữ lượng dầu khí,3,,
,,Oil and Gas Reservoir, Resources and Reserves,,,
6,GE3045,Phương pháp minh giải tài liệu địa chấn,3,,
,,Seismic Data Interpretation Methods,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,,
7,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 6,17,,
,,Các môn bắt buộc,,,,
1,GE3017,Kỹ thuật vỉa dầu khí,3,,
,,Petroleum Reservoir Engineering,,,
2,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
3,GE3159,Đồ án kỹ thuật dầu khí 2,1,,
,,Petroleum Engineering Project 2,,,
4,GE3207,Công nghệ chế biến dầu khí phục vụ cho các ngành công nghiệp khác,3,,
,,Petroleum Rafinery Technology to Create Input Products for Other Industries,,,
5,GE3345,Thực tập ngoài trường,2,,
,,Internship,,,
6,GE3177,Phương pháp tìm kiếm thăm dò thẩm lượng dầu khí,3,,
