STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Các học phần bắt buộc (Compulsory Courses),,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
3,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
4,GE1001,Nhập môn vê Kỹ thuật,3,,
,,Introduction to Engineering,,,
5,LA1003,Anh văn 1,2,,
,,English 1,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Giáo dục thể chất (Physical education part 1),,,
1.1,PE1009,Bóng đá (Học phần 1),0,,
,,Football,,,
1.2,PE1011,Bóng chuyền (Học phần 1),0,,
,,Volleyball,,,
1.3,PE1013,Bóng bàn (Học phần 1),0,,
,,Table tennis,,,
1.4,PE1021,Aerobic (học Phần 1),0,,
,,Aerobic,,,
1.5,PE1015,Bóng rổ (Học phần 1),0,,
,,Basketball,,,
1.6,PE1017,Cầu lông (Học phần 1),0,,
,,Badminton,,,
1.7,PE1025,Điền kinh (Học phần 1),0,,
,,AThletics,,,
1.8,PE1019,Bơi (học Phần 1),0,,
,,Swimming,,,
1.9,PE1027,Quần vợt (Học phần 1),0,,
,,Tennis,,,
1.10,PE1053,Cờ vua (Học phần 1),0,,
,,Chess,,,
1.11,PE1057,Bowling (học phần 1),0,,
,,Bowling,,,
1.12,PE1061,Pickleball (học phần 1),0,,
,,Pickleball,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,GE1013,Khoa học Trái đất,4,,
,,Earth Science,,,
2,GE1029,Sức khỏe An toàn Môi trường,3,,
,,"Health, Safety and Environment (HSE)",,,
3,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
4,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
5,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
6,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
7,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Giáo dục thể chất (Physical education part 2),,,
1.1,PE1037,Bóng bàn (Học phần 2),0,,
,,Table tennis,,,
1.2,PE1041,Cầu lông (Học phần 2),0,,
,,Badminton,,,
1.3,PE1033,Bóng đá (Học phần 2),0,,
,,Football,,,
1.4,PE1045,Aerobic (học Phần 2),0,,
,,Aerobic,,,
1.5,PE1043,Bơi (học Phần 2),0,,
,,Swimming,,,
1.6,PE1039,Bóng rổ (Học phần 2),0,,
,,Basketball,,,
1.7,PE1035,Bóng chuyền (Học phần 2),0,,
,,Volleyball,,,
1.8,PE1049,Điền kinh (học phần 2),0,,
,,Athletics,,,
1.9,PE1051,Quần vợt (Học phần 2),0,,
,,Tennis,,,
1.10,PE1055,Cờ vua (học phần 2),0,,
,,Chess,,,
1.11,PE1063,Pickleball (học phần 2),0,,
,,Pickleball,,,
1.12,PE1059,Bowling (học phần 2),0,,
,,Bowling,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,GE1027,Khoa học dữ liệu,3,MT1007(HT),
,,Data science,,,
2,GE2065,Vật liệu xây dựng,2,,
,,Construction Materials,,,
3,GE2067,Sức bền - kết cấu vật liệu,3,,
,,Strength of Materials,,,
4,GE2069,Trắc địa công trình,3,MT1007(KN) MT1005(KN) MT1003(KN),
,,Engineering surveying,,,
5,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
6,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,
2,GE2071,Kết cấu bê tông cốt thép,3,,
,,Reinforced Concrete Structures,,,
3,GE3229,Địa kỹ thuật công trình,4,,
,,Principles of Geotechnical Engineering,,,
4,GE2077,Địa chất thuỷ văn công trình,3,GE2069(KN),
,,Engineering Hydrogeology,,,
5,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
6,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,GE3225,Phân tích dữ liệu,3,,
,,Data analysis,,,
2,GE3227,Thí nghiệm vật liệu và kết cấu bê tông cốt thép,1,,
,,Testing of reinforced concrete materials and structures,,,
3,GE2073,Các PP khảo sát và TN hiện trường,3,GE3229(SHT),
,,Methods of investigation and in-situ test,,,
4,GE2075,Thực hành các phương pháp khảo sát và TN hiện trườn,1,GE2073(SHT),
,,Practice in methods of investigation and in-situ test,,,
5,GE3231,Quan trắc địa kỹ thuật công trình,3,GE2069(SHT),
,,Monitoring in geotechnical engineering,,,
6,GE3233,Địa động lực công trình,2,GE2077(KN),
,,Engineering geodynamics,,,
7,GE3235,Kinh tế xây dựng,2,,
,,Construction Economics,,,
8,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,GE3237,TK giải pháp cải tạo công trình trên đất yếu,3,GE3229(TQ),
,,Design of methods for Soft Soil Improvement,,,
2,GE3239,Kỹ thuật nền móng công trình,3,,
,,Foundation engineering,,,
3,GE3241,Thí nghiệm địa kỹ thuật công trình,1,GE3229(KN),
,,Geotechnical Testing,,,
4,GE3243,Vẽ kỹ thuật xây dựng,3,,
,,Civil Engineering Drawing,,,
5,GE3373,Thực tập ngoài trường,2,,
,,Internship,,,
6,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of VieTNamese Communist Party,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Tự chọn 1 (Elective course 1),,,
1.1,GE4161,TK hạ tầng kỹ thuật công trình,3,,
,,Engineering infrastructure design,,,
1.2,GE4163,Thi công công trình cơ sở hạ tầng,3,,
,,Infrastructure construction,,,
1.3,GE4165,Quản lý dự án,3,,
,,Project management,,,
1.4,GE4167,Quy hoạch hạ tầng đô thị,3,,
,,Urban Infrastructure Planning,,,
1.5,IM1021,Khởi nghiệp,3,,
,,Entrepreneurship,,,
1.6,GE2099,Khoa học Trái Đất ứng dụng và Kinh tế tuần hoàn,3,,
,,Applied earth science and circular economy,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1.GE4155,TK các giải pháp ôn định công trình,3,GE3229(TQ),
,,Design of methods for stabilization of construction,,,
2,GE4157,Kết cấu thép công trình ngầm,3,,
,,Underground metal structures,,,
3,GE4159,Đồ án chuyên ngành,2,GE3373(SHT),
,,Project,,,
4,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Tự chọn tự do (Free elective),,,
,,Tự chọn 2 (Elective courses 2),,,
2.1,GE4161,TK hạ tầng kỹ thuật công trình,3,,
,,Engineering infrastructure design,,,
2.2,GE4163,Thi công công trình cơ sở hạ tầng,3,,
,,Infrastructure construction,,,
2.3,GE4165,Quản lý dự án,3,,
,,Project management,,,
2.4,GE4167,Quy hoạch hạ tầng đô thị,3,,
,,Urban Infrastructure Planning,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,GE4169,Kỹ thuật thi công công trình ngâm,3,,
,,Underground construction engineering,,,
2,GE4365,Đồ án tốt nghiệp,4,GE4159(TQ) GE3373(TQ),
,,Capstone Project,,,
3,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to VieTNamese Law,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Tự chọn tự do (Free elective),,,
