STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1 (Semester 1),,,17,,
,,Các học phần bắt buộc (Compulsory Courses),,,,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
3,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
4,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
5,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
6,EN1007,Nhập môn kinh tế tuần hoàn,3,,
,,Introduction to circular economy,,,
,,Các học phần tự chọn (Elective Courses),,,,,
1,,Giáo dục thể chất học phần 1,,,
,,Physical education part 1,,,
1.1,PE1009,Bóng đá (Học phần 1),0,,
,,Football,,,
1.2,PE1011,Bóng chuyền (Học phần 1),0,,
,,Volleyball,,,
1.3,PE1013,Bóng bàn (Học phần 1),0,,
,,Table tennis,,,
1.4,PE1021,Aerobic (học Phần 1),0,,
,,Aerobic,,,
1.5,PE1015,Bóng rổ (Học phần 1),0,,
,,Basketball,,,
1.6,PE1017,Cầu lông (Học phần 1),0,,
,,Badminton,,,
1.7,PE1025,Điền kinh (Học phần 1),0,,
,,AThletics,,,
1.8,PE1019,Bơi (học Phần 1),0,,
,,Swimming,,,
1.9,PE1027,Quần vợt (Học phần 1),0,,
,,Tennis,,,
1.10,PE1053,Cờ vua (Học phần 1),0,,
,,Chess,,,
1.11,PE1057,Bowling (học phần 1),0,,
,,Bowling,,,
1.12,PE1061,Pickleball (học phần 1),0,,
,,Pickleball,,,
,,Học kỳ 2 (Semester 2),,,16,,
,,Các học phần bắt buộc (Compulsory Courses),,,,,
1,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
2,EN1017,Hóa Môi trường,3,,
,,Environmental Chemistry,,,
3,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
4,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
5,EN1021,Cơ sở Sinh thái và Sinh học Môi trường,4,,
,,Fundamentals of Ecology and Environmental Biology,,,
6,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
,,Các học phần tự chọn (Elective Courses),,,,,
1,,Giáo dục thể chất học phần 2,,,
,,Physical education part 2,,,
1.1,PE1037,Bóng bàn (Học phần 2),0,,
,,Table tennis,,,
1.2,PE1041,Cầu lông (Học phần 2),0,,
,,Badminton,,,
1.3,PE1033,Bóng đá (Học phần 2),0,,
,,Football,,,
1.4,PE1045,Aerobic (học Phần 2),0,,
,,Aerobic,,,
1.5,PE1043,Bơi (học Phần 2),0,,
,,Swimming,,,
1.6,PE1039,Bóng rổ (Học phần 2),0,,
,,Basketball,,,
1.7,PE1035,Bóng chuyền (Học phần 2),0,,
,,Volleyball,,,
1.8,PE1049,Điền kinh (học phần 2),0,,
,,Athletics,,,
1.9,PE1051,Quần vợt (Học phần 2),0,,
,,Tennis,,,
1.10,PE1055,Cờ vua (học phần 2),0,,
,,Chess,,,
1.11,PE1063,Pickleball (học phần 2),0,,
,,Pickleball,,,
1.12,PE1059,Bowling (học phần 2),0,,
,,Bowling,,,
,,Học kỳ 3 (Semester 3),,,17,,
,,Các học phần bắt buộc (Compulsory Courses),,,,,
1,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
2,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to VieTNamese Law,,,
3,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,
4,IM1013,Kinh tế học Đại cương,3,,
,,Economics,,,
5,EN2073,Khoa học Trái đất ứng dụng,3,,
,,Applied Earth Sciences,,,
6,IM2035,Phương pháp Định lượng,3,,
,,Quantitative MeThods,,,
,,Học kỳ 4 (Semester 4),,,14,,
,,Các học phần bắt buộc (Compulsory Courses),,,,,
1,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,EN2033,Luật và Chính sách Môi trường,3,SP1007(KN),
,,Environmental Law and Policy,,,
4,EN2071,Đánh giá vòng đời sản phẩm,3,,
,,Life Cycle Assessment,,,
5,EN2047,Kinh tế Tài nguyên và Môi trường,3,,
,,Environmental Economics,,,
,,Các học phần tự chọn (Elective Courses),,,,,
1,,Tự chọn Cơ sở ngành,,,
,,Elective Core Courses,,,
1.1,EN2069,Môi trường - Xã hội - Quản trị,3,,
,,Environment - Society - Governance,,,
1.2,EN2049,Phân tích Hệ thống Môi trường,3,,
,,Environmental Systems Analysis,,,
1.3,EN2075,Tương lai học,3,,
,,Futures Studies,,,
,,Học kỳ 5 (Semester 5),,,15,,
,,Các học phần bắt buộc (Compulsory Courses),,,,,
1,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
2,EN2067,Cơ sở công nghệ môi trường,3,,
,,Fundamentals on Environmental Technology,,,
3,EN3225,Cơ sở công nghệ tái chế chất thải,3,,
,,Recycling Technology Fundamentals,,,
4,EN3087,Biến đổi Khí hậu,3,,
,,Climate Change,,,
5,IM3021,Quản lý Chuỗi cung ứng,3,,
,,Supply Chain Management,,,
6,EN3223,Thực tập tham quan (KTTH),1,,
,,Study Trips Workshop,,,
,,Các học phần tự chọn (Elective Courses),,,,,
1,,Quản lý và Khởi nghiệp,,,
,,Start-up and Management,,,
1.1,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
,,Entrepreneurship and Innovation,,,
1.2,IM1025,Quản lý Dự án cho Kỹ sư,3,,
,,Project Management for Engineers,,,
1.3,IM1027,Kinh tế Kỹ thuật,3,,
,,Engineering Economics,,,
1.4,ME1019,Quản lý năng suất và chất lượng,3,,
,,Quality and Productivity Management,,,
1.5,ME2173,Các công nghệ 4.0 trong quản lý năng suất và chất lượng,3,,
,,Industry 4.0 technologies in quality and productivity Manageme,,,
,,Học kỳ 6 (Semester 6),,,13,,
,,Các học phần bắt buộc (Compulsory Courses),,,,,
1,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
2,EN3243,Kiểm kê khí nhà kính,3,,
,,Carbon Auditing,,,
3,EN3251,Thu hồi Tài nguyên từ Chất thải,3,,
,,Resource Recovery from Wastes,,,
4,EN3249,Đánh giá Tác động và Cấp phép Môi trường,3,,
,,Environmental Impact Assessment and Appraisals,,,
5,EN3227,Thực tập ngoài trường (KTTH),2,,
,,Internship,,,
,,Các học phần tự chọn (Elective Courses),,,,,
1,,Tự chọn tự do,,,
,,Free Elective,,,
,,Học kỳ 7 (Semester 7),,,10,,
,,Các học phần bắt buộc (Compulsory Courses),,,,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of VieTNamese Communist Party,,,
2,IM3051,Đạo đức Kinh doanh và Trách nhiệm Xã hội,3,,
,,Business EThics and Corporate Social Responsibility,,,
3,EN3229,Đồ án chuyên ngành (KTTH),2,,
,,Semester Project,,,
4,EN3245,Thu hồi và lưu trữ cacbon,3,,
,,Carbon Capture and Storage,,,
,,Các học phần tự chọn (Elective Courses),,,,,
1,,Tự chọn tự do,,,
,,Free Elective,,,
2,,Tự chọn Chuyên ngành - Kinh tế tài nguyên thiên nhiên,,,
,,Elective Major Courses - Environmental and Resource Economics,,,
2.1,EN3023,Kỹ thuật Sinh thái,3,,
,,Ecological Engineering,,,
2.2,EN3231,Gia tăng giá trị mới cho chất thải xanh,3,,
,,Valorization of Green Waste to Produce Added Value Materials,,,
2.3,EN4061,Thu hồi năng lượng từ chất thải,3,,
,,Recovering energy from waste,,,
2.4,EN3239,Công nghệ tái sử dụng nước,3,,
,,Reclaimed Water Technology,,,
2.5,EN3213,Tối ưu hóa và Quy hoạch thực nghiệm,3,,
,,Optimization and Experimental Planning,,,
2.6,EN3079,Các Hệ thống Quản lý Môi trường,3,,
,,Environmental Management Systems,,,
2.7,EN3237,Sản xuất và tiêu thụ bền vững,3,,
,,Sustainable Production and Consumption,,,
2.8,GE4151,Năng lượng bền vững,3,,
,,Sustainable Energy,,,
2.9,EN3233,Chính sách quản lý chất thải bền vững,3,,
,,Green Policies for Sustainability of Waste Management,,,
2.10,EN3073,An toàn Lao động và Vệ sinh Môi trường Công nghiệp,3,CH1003(KN),
,,Industrial Safety and Environmental Hygiene,,,
2.11,EN3253,Thương mại Phát thải Carbon,3,,
,,Carbon Emission Trading System,,,
2.12,EN3255,Nông nghiệp bền vững,3,,
,,Sustainable Agriculture,,,
2.13,IM1019,Tiếp thị Căn bản,3,,
,,Principle of Marketing,,,
2.14,IM4019,Khoa học Dữ liệu trong Kinh doanh,3,IM2033(TQ),IM1019(TQ),
,,Data scicence for Business,,,
2.15,IM4007,Kế hoạch Kinh doanh,3,,
,,Business Plan,,,
2.16,CO3029,Khai phá Dữ liệu,3,,
,,Data Mining,,,
2.17,CO3061,Nhập môn Trí tuệ Nhân tạo,3,,
,,Introduction to Artificial Intelligence,,,
2.18,CO3117,Học máy,3,,
,,Machine Learning,,,
2.19,CO4033,Phân tích Dữ liệu lớn và Trí tuệ Kinh doanh,3,,
,,Big Data Analytics and Business Intelligence,,,
2.20,CO3037,Phát triển Ứng dụng Internet of Things,3,,
,,Internet of Things Application Development,,,
3,,Tự chọn Chuyên ngành - Kinh tế tuần hoàn,,,
,,Elective Major Courses - Circular Economy,,,
3.1,EN3023,Kỹ thuật Sinh thái,3,,
,,Ecological Engineering,,,
3.2,EN3231,Gia tăng giá trị mới cho chất thải xanh,3,,
,,Valorization of Green Waste to Produce Added Value Materials,,,
3.3,EN4061,Thu hồi năng lượng từ chất thải,3,,
,,Recovering energy from waste,,,
3.4,EN3239,Công nghệ tái sử dụng nước,3,,
,,Reclaimed Water Technology,,,
3.5,EN3237,Sản xuất và tiêu thụ bền vững,3,,
,,Sustainable Production and Consumption,,,
3.6,GE4151,Năng lượng bền vững,3,,
,,Sustainable Energy,,,
3.7,EN3255,Nông nghiệp bền vững,3,,
,,Sustainable Agriculture,,,
3.8,EN3253,Thương mại Phát thải Carbon,3,,
,,Carbon Emission Trading System,,,
,,Học kỳ 8 (Semester 8),,,6,,
,,Các học phần bắt buộc (Compulsory Courses),,,,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
2,EN4357,Đồ án tốt nghiệp (KTTH),4,,
,,Capstone Project,,,
,,Các học phần tự chọn (Elective Courses),,,,,
1,,Tự chọn tự do,,,
,,Free Elective,,,
2,,Tự chọn Chuyên ngành - Kinh tế tài nguyên thiên nhiên,,,
,,Elective Major Courses - Environmental and Resource Economics,,,
2.1,EN3023,Kỹ thuật Sinh thái,3,,
,,Ecological Engineering,,,
2.2,EN3231,Gia tăng giá trị mới cho chất thải xanh,3,,
,,Valorization of Green Waste to Produce Added Value Materials,,,
2.3,EN4061,Thu hồi năng lượng từ chất thải,3,,
,,Recovering energy from waste,,,
2.4,EN3239,Công nghệ tái sử dụng nước,3,,
,,Reclaimed Water Technology,,,
2.5,EN3213,Tối ưu hóa và Quy hoạch thực nghiệm,3,,
,,Optimization and Experimental Planning,,,
2.6,EN3079,Các Hệ thống Quản lý Môi trường,3,,
,,Environmental Management Systems,,,
2.7,EN3237,Sản xuất và tiêu thụ bền vững,3,,
,,Sustainable Production and Consumption,,,
2.8,GE4151,Năng lượng bền vững,3,,
,,Sustainable Energy,,,
2.9,EN3233,Chính sách quản lý chất thải bền vững,3,,
,,Green Policies for Sustainability of Waste Management,,,
2.10,EN3073,An toàn Lao động và Vệ sinh Môi trường Công nghiệp,3,CH1003(KN),
,,Industrial Safety and Environmental Hygiene,,,
2.11,EN3253,Thương mại Phát thải Carbon,3,,
,,Carbon Emission Trading System,,,
2.12,EN3255,Nông nghiệp bền vững,3,,
,,Sustainable Agriculture,,,
2.13,IM1019,Tiếp thị Căn bản,3,,
,,Principle of Marketing,,,
2.14,IM4019,Khoa học Dữ liệu trong Kinh doanh,3,IM2033(TQ),IM1019(TQ),
,,Data scicence for Business,,,
2.15,IM4007,Kế hoạch Kinh doanh,3,,
,,Business Plan,,,
2.16,CO3029,Khai phá Dữ liệu,3,,
,,Data Mining,,,
2.17,CO3061,Nhập môn Trí tuệ Nhân tạo,3,,
,,Introduction to Artificial Intelligence,,,
2.18,CO3117,Học máy,3,,
,,Machine Learning,,,
2.19,CO4033,Phân tích Dữ liệu lớn và Trí tuệ Kinh doanh,3,,
,,Big Data Analytics and Business Intelligence,,,
2.20,CO3037,Phát triển Ứng dụng Internet of Things,3,,
,,Internet of Things Application Development,,,
