STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1,17,,
,,Các môn bắt buộc,,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,EN1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering Profession,,,
3,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
4,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
5,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
6,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
7,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
8,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
,,Học kỳ 2,16,,
,,Các môn bắt buộc,,,
1,LA1005,Anh văn 2,2,,
,,English 2,,,
2,PE1005,Giáo dục thể chất 2,0,,
,,Physical Education 2,,,
3,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
4,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
5,EN1015,Vi sinh vật đại cương và thí nghiệm,4,,
,,Microbiology and Experiment,,,
6,CI1003,Vẽ kỹ thuật,3,,
,,Engineering Drawing,,,
,,Học kỳ 3,17,,
,,Các môn bắt buộc,,,
1,LA1007,Anh văn 3,2,,
,,English 3,,,
2,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
3,PE1007,Giáo dục thể chất 3,0,,
,,Physical Education 3,,,
4,EN1005,Sinh thái học,3,,
,,Ecology,,,
5,CH2009,Hóa phân tích,3,,
,,Analytical Chemistry,,,
6,EN2005,Hóa học trong kỹ thuật và khoa học môi trường 1,3,,
,,Chemistry for Environmental Engineering1,,,
7,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
,,Học kỳ 4,16,,
,,Các môn bắt buộc,,,
1,LA1009,Anh văn 4,2,,
,,English 4,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,EN2041,Hóa học trong kỹ thuật và khoa học môi trường 2,4,,
,,Chemistry for Environmental Engineering and Science 2,,,
4,EN2043,Quá trình hóa học và hóa lý trong kỹ thuật môi trường,4,,
,,Physico-Chemical and Chemical Processes for Environmental Engineering,,,
5,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
,,Học kỳ 5,17,,
,,Các môn bắt buộc,,,
1,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
