STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
3,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
4,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
5,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
6,EN1001,Nhập môn Về kỹ thuật,3,,
,,Introduction to Engineering Profession,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Giáo dục thể chất học phần 1,0,,
,,Physical education part 1,,,
1.1,PE1009,Bóng đá (Học phần 1),0,,
,,Football,,,
1.2,PE1011,Bóng chuyền (Học phần 1),0,,
,,Volleyball,,,
1.3,PE1013,Bóng bàn (Học phần 1),0,,
,,Table tennis,,,
1.4,PE1021,Aerobic (học Phần 1),0,,
,,Aerobic,,,
1.5,PE1015,Bóng rổ (Học phần 1),0,,
,,Basketball,,,
1.6,PE1017,Cầu lông (Học phần 1),0,,
,,Badminton,,,
1.7,PE1025,Điền kinh (Học phần 1),0,,
,,Athletics,,,
1.8,PE1019,Bơi (học Phần 1),0,,
,,Swimming,,,
1.9,PE1027,Quần vợt (Học phần 1),0,,
,,Tennis,,,
1.10,PE1053,Cờ vua (Học phần 1),0,,
,,Chess,,,
1.11,PE1057,Bowling (học phần 1),0,,
,,Bowling,,,
1.12,PE1061,Pickleball (học phần 1),0,,
,,Pickleball,,,
,,Học kỳ 2 - 16 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
2,EN1017,Hóa Môi trường,3,,
,,Environmental Chemistry,,,
3,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
4,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
5,EN1015,Vi sinh Vật đại cương và Thí nghiệm,4,,
,,Microbiology and Experiment,,,
6,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Giáo dục thể chất học phần 2,0,,
,,Physical education part 2,,,
1.1,PE1037,Bóng bàn (Học phần 2),0,,
,,Table tennis,,,
1.2,PE1041,Cầu lông (Học phần 2),0,,
,,Badminton,,,
1.3,PE1033,Bóng đá (Học phần 2),0,,
,,Football,,,
1.4,PE1045,Aerobic (học Phần 2),0,,
,,Aerobic,,,
1.5,PE1043,Bơi (học Phần 2),0,,
,,Swimming,,,
1.6,PE1039,Bóng rổ (Học phần 2),0,,
,,Basketball,,,
1.7,PE1035,Bóng chuyền (Học phần 2),0,,
,,Volleyball,,,
1.8,PE1049,Điền kinh (học phần 2),0,,
,,Athletics,,,
1.9,PE1051,Quần vợt (Học phần 2),0,,
,,Tennis,,,
1.10,PE1055,Cờ vua (học phần 2),0,,
,,Chess,,,
1.11,PE1063,Pickleball (học phần 2),0,,
,,Pickleball,,,
1.12,PE1059,Bowling (học phần 2),0,,
,,Bowling,,,
,,Học kỳ 3 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,CI1003,Vẽ kỹ thuật,3,,
,,Engineering Drawing,,,
2,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
3,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
4,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,
5,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to Vietnamese Law,,,
6,EN2065,Hóa phân tích trong môi trường,3,CH1003(KN),
,,Analytical chemistry in environment,,,
,,Học kỳ 4 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,EN1005,Sinh thái học,3,CH1003(KN),
,,Ecology,,,
4,EN2061,Các quá trình Hóa học và Hóa lý trong kỹ thuật môi trường,3,,
,,Physico-chemical and Chemical processes in environmental engineering,,,
5,EN2003,Các Quá trình Sinh học trong Kỹ thuật Môi trường,3,CI2003(KN),
,,Biological Processes in Environmental Engineering,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn Cơ sở ngành,3,,
,,Elective Core Courses,,,
1.1,CI2001,Sức bền Vật liệu,3,,
,,Strength of Materials,,,
1.2,CI3281,Kết cấu Công trình Xây dựng - Môi trường,3,CI2001(HT),
,,Analysis and Design of Structures for Environmental Engineers,,,
1.3,CI2121,Kết cấu công trình xây dựng - môi trường,3,,
,,Analysis and Design of Structures for Environmental Engineers,,,
1.4,EN2049,Phân tích Hệ thống Môi trường,3,,
,,Environmental Systems Analysis,,,
1.5,EN2055,Mạng lưới Cấp thoát nước,3,,
,,Water Supply Distribution and Sewerage Systems,,,
1.6,ME2099,Nhiệt động lực học Kỹ thuật,3,PH1003(HT),
,,Engineering Thermodynamics,,,
,,Học kỳ 5 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
2,EN3005,Kỹ thuật Xử lý Nước cấp,4,EN2061(KN),
,,Water Treatment Engineering,,,
3,EN3013,Kỹ thuật Xử lý Nước thải,4,EN2003(KN),
,,Wastewater Treatment Engineering,,,
4,EN2033,Luật và Chính sách Môi trường,3,SP1007(KN),
,,Environmental Law and Policy,,,
5,EN3055,Thực tập Tham quan (Kỹ thuật Môi trường),1,,
,,Study Trips Workshop,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Quản lý khởi nghiệp,3,,
,,Start-up management,,,
1.1,IM1021,Khởi nghiệp,3,,
,,Entrepreneurship,,,
1.2,IM1025,Quản lý Dự án cho Kỹ sư,3,,
,,Project Management for Engineers,,,
1.3,IM1027,Kinh tế Kỹ thuật,3,,
,,Engineering Economics,,,
1.4,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
,,Entrepreneurship and Innovation,,,
1.5,ME1019,Quản lý năng suất và chất lượng,3,,
,,Quality and Productivity Management,,,
1.6,ME2173,Các công nghệ 4.0 trong quản lý năng suất và chất lượng,3,,
,,Industry 4.0 technologies in quality and productivity Management,,,
,,Học kỳ 6 - 18 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
2,EN3001,Kỹ thuật Xử lý Khí thải,4,,
,,Air Pollution Control Engineering,,,
3,EN3027,Kỹ thuật Xử lý Chất thải rắn,4,,
,,Solid Waste Treatment Engineering,,,
4,EN3345,Thực tập Ngoài trường,2,,
,,Internship,,,
5,EN3117,Vận hành Công trình Xử lý Môi trường,3,,
,,Unit Operations in Environmental Engineering,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn tự do (1),3,,
,,Free Elective,,,
,,Học kỳ 7 - 18 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
2,EN4057,Đồ án môn học xử lý chất thải (KTMT),2,EN3027(SHT) EN3013(SHT) EN3005(SHT) EN3001(SHT),
,,Project - Waste Treatment,,,
3,EN4059,Đồ án chuyên ngành (KTMT),2,EN3345(TQ),
,,Semester Paper,,,
4,EN3217,Nhập môn phương pháp nghiên cứu khoa học trong lĩnh vực tài nguyên và môi trường,3,EN1001(KN),
,,Basic Scientific Research Methods in Natural Resources and Environment,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn Ngành,3,,
,,Elective Major Courses,,,
1.1,EN3003,Ứng dụng GIS và Viễn Thám trong Quản lý Tài nguyên và Môi trường,3,EN2033(KN),
,,GIS and Remote Sensing for Natural Resources and Environmental Management,,,
1.2,EN3023,Kỹ thuật Sinh thái,3,,
,,Ecological Engineering,,,
1.3,EN3037,Quản lý Môi trường Đô thị và Khu công nghiệp,3,,
,,Environmental Management In Urban and Industrial Park,,,
1.4,EN3043,Kỹ thuật Lò đốt Chất thải,3,,
,,Waste Incinerator Engineering,,,
1.5,EN3073,An toàn Lao động và Vệ sinh Môi trường Công nghiệp,3,CH1003(KN),
,,Industrial Safety and Environmental Hygiene,,,
1.6,EN3079,Các Hệ thống Quản lý Môi trường,3,,
,,Environmental Management Systems,,,
1.7,EN3083,Quan trắc Môi trường,3,EN1017(KN),
,,Environmental Monitoring,,,
1.8,EN3111,Các Quá trình Cơ học trong Kỹ thuật Môi trường,3,,
,,Mechanical Process in Environmental Engineering,,,
1.9,EN3113,Quản lý và Kỹ thuật Xử lý Đất ô nhiễm,3,,
,,Contaminated Soil Remediation Engineering and Management,,,
1.10,EN3117,Vận hành Công trình Xử lý Môi trường,3,,
,,Unit Operations in Environmental Engineering,,,
1.11,EN3087,Biến đổi Khí hậu,3,,
,,Climate Change,,,
1.12,EN3209,Mô hình Hóa Môi trường,3,,
,,Environmental Modelling,,,
1.13,EN2057,Đồ án môn học Hóa học trong Kỹ thuật và Khoa học Môi trường,1,,
,,Project of Chemistry for Environmental Engineering and Science,,,
1.14,EN2059,Đồ án môn học Quá trình Hóa học và Hóa lý trong Kỹ thuật Môi trường,1,,
,,Project of Physico-Chemical and Chemical Processes for Environmental Engineering,,,
1.15,EN3127,Sản xuất sạch hơn,3,,
,,Cleaner Production,,,
1.16,EN3205,Thủy văn Môi trường,3,MT2013(KN),
,,Environmental Hydrology,,,
1.17,EN3219,Kỹ thuật thông gió và kiểm soát ô nhiễm tiếng ồn,3,,
,,Ventilation and Noise Pollution Control Engineering,,,
1.18,EN3215,Kiểm soát ô nhiễm không khí & tiếng ồn,3,,
,,Air Pollution and noise Control,,,
1.19,EN3213,Tối ưu hóa và Quy hoạch thực nghiệm,3,,
,,Optimization and Experimental Planning,,,
2,,Tự chọn tự do (2),6,,
,,Free Elective,,,
,,Học kỳ 8 - 15 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
2,EN4347,Đồ án Tốt nghiệp,4,EN3345(TQ) EN4059(TQ),
,,Capstone Project,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn Ngành,6,,
,,Elective Major Courses,,,
1.1,EN3003,Ứng dụng GIS và Viễn Thám trong Quản lý Tài nguyên và Môi trường,3,EN2033(KN),
,,GIS and Remote Sensing for Natural Resources and Environmental Management,,,
1.2,EN3023,Kỹ thuật Sinh thái,3,,
,,Ecological Engineering,,,
1.3,EN3037,Quản lý Môi trường Đô thị và Khu công nghiệp,3,,
,,Environmental Management In Urban and Industrial Park,,,
1.4,EN3043,Kỹ thuật Lò đốt Chất thải,3,,
,,Waste Incinerator Engineering,,,
1.5,EN3073,An toàn Lao động và Vệ sinh Môi trường Công nghiệp,3,CH1003(KN),
,,Industrial Safety and Environmental Hygiene,,,
1.6,EN3079,Các Hệ thống Quản lý Môi trường,3,,
,,Environmental Management Systems,,,
1.7,EN3083,Quan trắc Môi trường,3,EN1017(KN),
,,Environmental Monitoring,,,
1.8,EN3111,Các Quá trình Cơ học trong Kỹ thuật Môi trường,3,,
,,Mechanical Process in Environmental Engineering,,,
1.9,EN3113,Quản lý và Kỹ thuật Xử lý Đất ô nhiễm,3,,
,,Contaminated Soil Remediation Engineering and Management,,,
1.10,EN3117,Vận hành Công trình Xử lý Môi trường,3,,
,,Unit Operations in Environmental Engineering,,,
1.11,EN3087,Biến đổi Khí hậu,3,,
,,Climate Change,,,
1.12,EN3209,Mô hình Hóa Môi trường,3,,
,,Environmental Modelling,,,
1.13,EN2057,Đồ án môn học Hóa học trong Kỹ thuật và Khoa học Môi trường,1,,
,,Project of Chemistry for Environmental Engineering and Science,,,
1.14,EN2059,Đồ án môn học Quá trình Hóa học và Hóa lý trong Kỹ thuật Môi trường,1,,
,,Project of Physico-Chemical and Chemical Processes for Environmental Engineering,,,
1.15,EN3127,Sản xuất sạch hơn,3,,
,,Cleaner Production,,,
1.16,EN3205,Thủy văn Môi trường,3,MT2013(KN),
,,Environmental Hydrology,,,
1.17,EN3219,Kỹ thuật thông gió và kiểm soát ô nhiễm tiếng ồn,3,,
,,Ventilation and Noise Pollution Control Engineering,,,
1.18,EN3215,Kiểm soát ô nhiễm không khí & tiếng ồn,3,,
,,Air Pollution and noise Control,,,
1.19,EN3213,Tối ưu hóa và Quy hoạch thực nghiệm,3,,
,,Optimization and Experimental Planning,,,
2,,Tự chọn tự do (3),3,,
,,Free Elective,,,
