STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
3,IM1001,Giới thiệu ngành,3,,
,,Orientation to Management Studies,,,
4,IM1007,Quản trị Đại cương,3,,
,,Fundamentals of Management,,,
5,IM1003,Kinh tế học Vi mô,3,,
,,Microeconomics,,,
6,MT1017,Giải tích trong Kinh doanh,3,,
,,Calculus for Business,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Giáo dục thể chất học phần 1,0,,
,,Physical education part 1,,,
1.1,PE1061,Pickleball (học phần 1),0,,
,,Pickleball,,,
1.2,PE1057,Bowling (học phần 1),0,,
,,Bowling,,,
1.3,PE1053,Cờ vua (Học phần 1),0,,
,,Chess,,,
1.4,PE1027,Quần vợt (Học phần 1),0,,
,,Tennis,,,
1.5,PE1019,Bơi (học Phần 1),0,,
,,Swimming,,,
1.6,PE1025,Điền kinh (Học phần 1),0,,
,,Athletics,,,
1.7,PE1017,Cầu lông (Học phần 1),0,,
,,Badminton,,,
1.8,PE1015,Bóng rổ (Học phần 1),0,,
,,Basketball,,,
1.9,PE1021,Aerobic (học Phần 1),0,,
,,Aerobic,,,
1.10,PE1013,Bóng bàn (Học phần 1),0,,
,,Table tennis,,,
1.11,PE1011,Bóng chuyền (Học phần 1),0,,
,,Volleyball,,,
1.12,PE1009,Bóng đá (Học phần 1),0,,
,,Football,,,
1.13,PE1023,Võ (Vovinam Karate Taewondo) (Học phần 1),0,,
,,Martial Art,,,
,,Học kỳ 2 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
2,IM1017,Thống kê trong Kinh doanh,3,,
,,Statistics for Business,,,
3,IM1009,Kinh tế học Vĩ mô,3,IM1003(KN),
,,Macroeconomics,,,
4,IM1015,Kế toán Tài chính,3,,
,,Financial Accounting,,,
5,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
6,IM1019,Tiếp thị Căn bản,3,,
,,Principle of Marketing,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Giáo dục thể chất học phần 2,0,,
,,Physical education part 2,,,
1.1,PE1059,Bowling (học phần 2),0,,
,,Bowling,,,
1.2,PE1063,Pickleball (học phần 2),0,,
,,Pickleball,,,
1.3,PE1055,Cờ vua (học phần 2),0,,
,,Chess,,,
1.4,PE1051,Quần vợt (Học phần 2),0,,
,,Tennis,,,
1.5,PE1049,Điền kinh (học phần 2),0,,
,,Athletics,,,
1.6,PE1035,Bóng chuyền (Học phần 2),0,,
,,Volleyball,,,
1.7,PE1039,Bóng rổ (Học phần 2),0,,
,,Basketball,,,
1.8,PE1043,Bơi (học Phần 2),0,,
,,Swimming,,,
1.9,PE1045,Aerobic (học Phần 2),0,,
,,Aerobic,,,
1.10,PE1033,Bóng đá (Học phần 2),0,,
,,Football,,,
1.11,PE1041,Cầu lông (Học phần 2),0,,
,,Badminton,,,
1.12,PE1047,Võ (Vovinam Karate Taewondo) (Học phần 2),0,,
,,Martial Art,,,
1.13,PE1037,Bóng bàn (Học phần 2),0,,
,,Table tennis,,,
2,,Khoa học Tự nhiên,3,,
,,Basic Sciences,,,
2.1,EN1015,Vi sinh Vật đại cương và Thí nghiệm,4,,
,,Microbiology and Experiment,,,
2.2,GE1013,Khoa học Trái đất,4,,
,,Earth Science,,,
2.3,GE1011,Địa vật Lý đại Cương + Kiến tập,3,,
,,Basic Geophysics,,,
2.4,MT1009,Phương pháp tính,3,MT1003(KN),
,,Numerical Methods,,,
2.5,CH1017,Sinh học đại cương,3,,
,,General Biology,,,
2.6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
2.7,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
,,Học kỳ 3 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,IM2019,Kế toán Quản trị,3,IM1015(KN),
,,Managerial Accounting,,,
4,IM2017,Hành vi Tổ chức,3,IM1007(KN),
,,Organizational Behavior,,,
5,IM1033,Công nghệ số trong kinh doanh,3,,
,,Digital Technology in Business,,,
6,IM1029,Hệ thống Sản xuất,3,,
,,Manufacturing Systems,,,
,,Học kỳ 4 - 15 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
2,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
3,IM2031,Quản lý Sản xuất,3,,
,,Production and Operations Management,,,
4,IM2033,Tài chính Doanh nghiệp,3,IM1015(KN) IM1009(KN) IM1003(KN),
,,Corporate Finance,,,
5,IM2035,Phương pháp Định lượng,3,,
,,Quantitative Methods,,,
6,IM2029,Thực tập Nhận Thức,2,IM1001(TQ),
,,Field Trip,,,
,,Học kỳ 5 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
2,IM3047,Giao tiếp trong Kinh doanh,3,,
,,Business Communication,,,
3,IM3087,Hệ thống Thông tin Quản lý,3,,
,,Management Information Systems,,,
4,IM3063,Quản lý Chất lượng,3,,
,,Quality Management,,,
5,IM3105,Phương pháp nghiên cứu trong kinh doanh,3,IM1019(KN) IM1017(KN),
,,Research Methods for Business,,,
,,Các học phần tự chọn chuyên ngành Quản lý Công nghiệp,,,
1,,Tự chọn chuyên ngành Quản lý Công nghiệp,3,,
,,Elective Speciality Courses Industrial Management,,,
1.1,IM3021,Quản lý Chuỗi cung ứng,3,,
,,Supply Chain Management,,,
1.2,IM3073,Điều độ Sản xuất,3,IM2031(KN) IM1029(KN),
,,Scheduling and Sequencing,,,
1.3,IM3055,Quản lý Nhân sự,3,IM1007(KN),
,,Human Resource Management,,,
1.4,IM3077,Quản lý Sản xuất Theo Lean và Sáu Sigma,3,,
,,Lean Six Sigma Manufacturing,,,
2,,Bắt buộc chuyên ngành Quản lý chuỗi cung ứng và vận hành,3,,
,,Compulsory Speciality Courses,,,
2.1,IM3021,Quản lý Chuỗi cung ứng,3,,
,,Supply Chain Management,,,
3,,Bắt buộc chuyên ngành Quản trị Kinh doanh,3,,
,,Compulsory Speciality Courses,,,
3.1,IM3055,Quản lý Nhân sự,3,IM1007(KN),
,,Human Resource Management,,,
,,Học kỳ 6 - 16 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
2,IM3059,Quản lý Chiến lược,3,IM1007(KN) IM1009(KN),
,,Strategic Management,,,
3,IM3325,Thực tập Ngoài trường,2,IM2029(KN),
,,Internship,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Kỹ thuật ngoài ngành,3,,
,,Technical out of major,,,
2,,Tự chọn chuyên ngành Quản lý Công nghiệp,6,,
,,Elective Speciality Courses Industrial Management,,,
2.1,IM3041,Hệ Hỗ trợ Quyết định và Trí tuệ Kinh doanh,3,,
,,Decision Support and Business Intelligence Systems,,,
2.2,IM3085,Tài chính Quốc tế,3,IM1009(TQ),
,,International Finance,,,
2.3,IM3081,Quản trị Kinh doanh Quốc tế,3,,
,,International Business Management,,,
2.4,IM3075,An toàn Công nghiệp và Quản lý Rủi ro,3,,
,,Industrial Safety and Risk Management,,,
2.5,IM3023,Thương mại Điện tử,3,,
,,Electronic Commerce,,,
2.6,IM3033,Tiếp thị giữa các Tổ chức,3,IM1019(TQ),
,,Business to Business Marketing,,,
2.7,IM3097,Chuyển đổi Cung ứng Kỹ thuật số,3,,
,,Digital Supply Chain Transformation,,,
2.8,IM3091,Phân tích và Thiết kế Chuỗi cung ứng,3,,
,,Supply Chain Design and Analysis,,,
2.9,IM3099,Quản lý Chuỗi cung ứng Theo Lean,3,,
,,Lean Supply Chain Management,,,
2.10,IM3095,Quản lý Vận hành Bán lẻ,3,,
,,Operational Retail Management,,,
2.11,IM3029,Quản lý Công nghệ,3,,
,,Management of Technology,,,
3,,Tự chọn chuyên ngành Quản lý chuỗi cung ứng và vận hành,3,,
,,Elective Speciality Courses Operations and Supply chain Management,,,
3.1,IM3095,Quản lý Vận hành Bán lẻ,3,,
,,Operational Retail Management,,,
3.2,IM3097,Chuyển đổi Cung ứng Kỹ thuật số,3,,
,,Digital Supply Chain Transformation,,,
3.3,IM3099,Quản lý Chuỗi cung ứng Theo Lean,3,,
,,Lean Supply Chain Management,,,
4,,Bắt buộc chuyên ngành Quản lý chuỗi cung ứng và vận hành,3,,
,,Compulsory Speciality Courses Operations and Supply chain Management,,,
4.1,IM3091,Phân tích và Thiết kế Chuỗi cung ứng,3,,
,,Supply Chain Design and Analysis,,,
5,,Bắt buộc chuyên ngành Quản trị Kinh doanh,3,,
,,Compulsory Speciality Courses Business Administration,,,
5.1,IM3023,Thương mại Điện tử,3,,
,,Electronic Commerce,,,
6,,Tự chọn chuyên ngành Quản trị Kinh doanh,3,,
,,Elective Speciality Courses Business Administration,,,
6.1,IM3041,Hệ Hỗ trợ Quyết định và Trí tuệ Kinh doanh,3,,
,,Decision Support and Business Intelligence Systems,,,
6.2,IM3085,Tài chính Quốc tế,3,IM1009(TQ),
,,International Finance,,,
6.3,IM3081,Quản trị Kinh doanh Quốc tế,3,,
,,International Business Management,,,
6.4,IM3033,Tiếp thị giữa các Tổ chức,3,IM1019(TQ),
,,Business to Business Marketing,,,
,,Học kỳ 7 - 16 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
2,IM3107,Khởi nghiệp và đổi mới sáng tạo,3,,
,,Entrepreneurship and Innovation,,,
3,IM4033,Đồ án Chuyên ngành,2,IM3105(KN) IM3325(SHT),
,,Project,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn (khác)/Tự do,3,,
,,Free-choice (others)/Elective courses,,,
2,,Bắt buộc chuyên ngành Quản lý chuỗi cung ứng và vận hành,3,,
,,Compulsory Speciality Courses Operations and Supply chain Management,,,
2.1,IM3093,Quản lý logistics và vận chuyển quốc tế,3,,
,,Global Transportation and Logistics Management,,,
3,,Tự chọn chuyên ngành Quản lý chuỗi cung ứng và vận hành,3,,
,,Elective Speciality Courses Operations and Supply chain Management,,,
3.1,IM4003,Quản lý Dự án,3,,
,,Project Management,,,
3.2,IM3103,Quản lý rủi ro chuỗi cung ứng,3,,
,,Supply Chain Risk Management,,,
3.3,IM3101,Quản lý Cung ứng và Thu mua Quốc tế,3,,
,,Global Purchasing and Supply Management,,,
4,,Tự chọn chuyên ngành Quản lý Công nghiệp,6,,
,,Elective Speciality Courses Industrial Management,,,
4.1,IM3093,Quản lý logistics và vận chuyển quốc tế,3,,
,,Global Transportation and Logistics Management,,,
4.2,IM3083,Hành vi Người tiêu dùng,3,IM1019(KN),
,,Consumer Behavior,,,
4.3,IM3089,Đổi mới sản phẩm/dịch vụ,3,,
,,Product/Services Innovation,,,
4.4,IM3109,Tiếp thị số,3,,
,,Digital Marketing,,,
4.5,IM3009,Hệ thống Tài chính,3,IM1009(TQ),
,,Financial System,,,
4.6,IM3103,Quản lý rủi ro chuỗi cung ứng,3,,
,,Supply Chain Risk Management,,,
4.7,IM3101,Quản lý Cung ứng và Thu mua Quốc tế,3,,
,,Global Purchasing and Supply Management,,,
4.8,IM4007,Kế hoạch Kinh doanh,3,IM2033(TQ) IM1019(TQ),
,,Business Plan,,,
4.9,IM4035,ISO 9000,3,IM3063(KN),
,,ISO 9000,,,
4.10,IM4003,Quản lý Dự án,3,,
,,Project Management,,,
4.11,IM4019,Khoa học Dữ liệu trong Kinh doanh,3,,
,,Data science for Business,,,
4.12,IM3035,Quản lý Bảo trì,3,IM1017(KN) IM2031(KN),
,,Maintenance Management,,,
5,,Bắt buộc chuyên ngành Quản trị Kinh doanh,3,,
,,Compulsory Speciality Courses Business Administration,,,
5.1,IM3083,Hành vi Người tiêu dùng,3,IM1019(KN),
,,Consumer Behavior,,,
6,,Tự chọn chuyên ngành Quản trị Kinh doanh,3,,
,,Elective Speciality Courses Business Administration,,,
6.1,IM3109,Tiếp thị số,3,,
,,Digital Marketing,,,
6.2,IM4007,Kế hoạch Kinh doanh,3,IM2033(TQ) IM1019(TQ),
,,Business Plan,,,
6.3,IM4019,Khoa học Dữ liệu trong Kinh doanh,3,,
,,Data science for Business,,,
6.4,IM3111,Thị trường tài chính và Phát triển bền vững,3,,
,,Financial markets and sustainable developments,,,
,,Học kỳ 8 - 15 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to Vietnamese Law,,,
2,IM3051,Đạo đức Kinh doanh và Trách nhiệm Xã hội,3,,
,,Business Ethics and Corporate Social Responsibility,,,
3,IM4327,Khóa luận Tốt nghiệp,4,IM3325(TQ) IM4033(TQ),
,,Capstone Project,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn (khác)/Tự do,6,,
,,Free-choice (others)/Elective courses,,,
,,Điều kiện tốt nghiệp (Graduation Condition) [TC],,,
1,ENG_GC_600,Đ/kiện tiếng Anh tốt nghiệp ĐH tiêu chuẩn VLVH,0,,
,,English proficiency requirement for bachelor's degree completion,,,
2,SA4001,Hoạt động sinh viên,0,,
,,Student Activities,,,
