STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
3,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
4,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
5,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
6,EE1001,Nhập môn Về kỹ Thuật,3,,
,,Introduction to Electrical and Electronics Engineering,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Giáo dục thể chất học phần 1,,,
,,Physical Education - Session 1,,,
1.1,PE1009,Bóng đá,0,,
,,Football,,,
1.2,PE1011,Bóng chuyền,0,,
,,Volleyball,,,
1.3,PE1013,Bóng bàn,0,,
,,Table tennis,,,
1.4,PE1021,Aerobic,0,,
,,Aerobic,,,
1.5,PE1015,Bóng rổ,0,,
,,Basketball,,,
1.6,PE1017,Cầu lông,0,,
,,Badminton,,,
1.7,PE1025,Điền kinh,0,,
,,Athletics,,,
1.8,PE1019,Bơi,0,,
,,Swimming,,,
1.9,PE1027,Quần vợt,0,,
,,Tennis,,,
1.10,PE1053,Cờ vua,0,,
,,Chess,,,
1.11,PE1057,Bowling,0,,
,,Bowling,,,
1.12,PE1061,Pickleball,0,,
,,Pickleball,,,
,,Học kỳ 2 - 16 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,EE1007,Vật lý Bán dẫn,4,,
,,Semiconductor Physics,,,
4,MT1009,Phương pháp tính,3,MT1003(KN),
,,Numerical Methods,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Giáo dục thể chất học phần 2,,,
,,Physical Education - Session 2,,,
1.1,PE1037,Bóng bàn,0,,
,,Table tennis,,,
1.2,PE1041,Cầu lông,0,,
,,Badminton,,,
1.3,PE1033,Bóng đá,0,,
,,Football,,,
1.4,PE1045,Aerobic,0,,
,,Aerobic,,,
1.5,PE1043,Bơi,0,,
,,Swimming,,,
1.6,PE1039,Bóng rổ,0,,
,,Basketball,,,
1.7,PE1035,Bóng chuyền,0,,
,,Volleyball,,,
1.8,PE1049,Điền kinh,0,,
,,Athletics,,,
1.9,PE1051,Quần vợt,0,,
,,Tennis,,,
1.10,PE1055,Cờ vua,0,,
,,Chess,,,
1.11,PE1063,Pickleball,0,,
,,Pickleball,,,
1.12,PE1059,Bowling,0,,
,,Bowling,,,
,,Học kỳ 3 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
2,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,
3,EE2033,Giải tích mạch,3,MT1005(KN),
,,Electric Circuit Analysis,,,
4,EE1009,Kỹ thuật số,3,EE2031(KN) EE1007(KN),
,,Digital Designs,,,
5,EE2081,Ngôn ngữ lập trình,3,MT1009(KN),
,,Programming Languages,,,
6,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to Vietnamese Law,,,
,,Học kỳ 4 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
2,EE2003,Trường điện từ,3,MT1013(KN) MT1005(KN),
,,Electromagnetic Field,,,
3,EE2005,Tín hiệu và Hệ thống,3,EE2031(KN) EE2033(KN),
,,Signals and Systems,,,
4,EE2039,Vi xử lý,3,EE1009(SHT),X
,,Microprocessor,,,
5,EE2035,Mạch điện tử,3,EE2033(TQ) EE1007(KN),
,,Electronic Circuits,,,
6,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
,,Học kỳ 5 - 16 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,EE3201,Cơ sở thiết kế vi mạch,3,EE1009(TQ) EE2035(KN),X
,,Introduction to IC Design,,,
2,EE3203,Kiến trúc máy tính,3,EE2081(KN) EE1009(TQ),X
,,Computer Organization & Design,,,
3,EE3205,Mạch điện tử nâng cao,3,EE2033(KN) EE2035(TQ),X
,,Advanced Electronic Circuits,,,
4,EE2025,Thực tập Điện 1,1,EE2033(KN),X
,,Electrical Workshop 1,,,
5,EE2023,Thực tập Điện tử 1,1,EE2033(KN),X
,,Electronic Workshop 1,,,
6,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn nhóm B (chọn 3 tín chỉ),,,
,,Elective Courses - Group B (Select 3 credits),,,
1.1,IM1023,Quản lý Sản xuất cho Kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
1.2,IM1025,Quản lý Dự án cho Kỹ sư,3,,
,,Project Management for Engineers,,,
1.3,IM3001,Quản trị Kinh doanh cho Kỹ sư,3,,
,,Business Administration for Engineers,,,
1.4,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
,,Entrepreneurship and Innovation,,,
,,Học kỳ 6 - 18 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,EE2015,Xử lý số Tín hiệu,3,EE2005(SHT),X
,,Digital Signal Processing,,,
2,EE3117,Thiết kế Vi mạch số,3,EE3201(KN) EE3165(KN) EE4051(KN) EE1009(TQ),X
,,Digital IC Design,,,
3,EE3207,Thiết kế vi mạch tương tự,3,EE3201(KN) EE2035(TQ),X
,,Analog IC Design,,,
4,EE3021,Thực tập Điện tử 2,1,EE2023(KN),X
,,Electronic Workshop 2,,,
5,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
6,EE3211,Đồ án 1 (Thiết kế vi mạch),1,EE3205(KN) EE3203(KN) EE3201(KN) EE2039(KN) EE2035(TQ),X
,,Project 1,,,
7,EE3209,Thực tập ngoài trường (Thiết kế vi mạch),2,EE3205(KN) EE3203(KN) EE3201(KN) EE3211(SHT),X
,,Internship,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Tự chọn nhóm C (chọn 3 tín chỉ),,,
,,Elective Courses - Group C (Select 3 credits),,,
1.1,EN1003,Con người và Môi trường,3,,
,,Humans and The Environment,,,
1.2,ME1019,Quản lý năng suất và chất lượng,3,,
,,Quality and Productivity Management,,,
,,Học kỳ 7 - 16 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,EE3025,Kỹ thuật Siêu cao tần,3,EE2035(TQ) EE2003(TQ),X
,,Microwave Engineering,,,
2,EE4345,Đồ án 2 (Thiết kế vi mạch),2,EE3207(KN) EE3117(KN) EE3211(TQ) EE3209(SHT) EE3201(TQ),X
,,Project 2,,,
3,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Môn tự chọn chuyên ngành nhóm A (chọn 9 tín chỉ),,,
,,Elective Specialized courses - Group A (Select 9 credits),,,
1.1,EE3041,Xử lý Tín hiệu số với FPGA,3,EE2015(TQ) EE1009(TQ),
,,Digital Signal Processing on FPGA,,,
1.2,EE3213,Thiết kế và kiểm định hệ thống số,3,EE3203(KN) EE1009(KN),
,,Digital System Design and Verification,,,
1.3,EE3215,Thiết kế hệ thống trên chip,3,EE3203(KN) EE2039(KN) EE1009(KN),
,,SoC Design,,,
1.4,EE3217,Trí tuệ nhân tạo trong thiết kế vi mạch,3,EE3201(KN),
,,AI in IC Design,,,
1.5,EE3219,Máy tính lượng tử,3,EE3201(KN),
,,Introduction to Quantum Computing,,,
1.6,EE3221,Thông tin số,3,EE2005(TQ),
,,Digital Communication,,,
1.7,EE3223,Vi mạch thông tin,3,EE3025(SHT) EE2035(KN),
,,Integrated Circuits for Communications,,,
1.8,EE3225,Tương thích điện từ,3,EE2003(KN),
,,Electromagnetic Compatibility,,,
1.9,EE3227,Chuyên đề thiết kế vi mạch,3,EE3201(KN),
,,Advanced topics in VLSI Design,,,
,,Học kỳ 8 - 15 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
2,EE4349,Đồ án tốt nghiệp (Thiết kế vi mạch),4,EE3209(TQ) EE4345(TQ),X
,,Capstone Project,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Các môn tự chọn tự do,9,,
,,Free Elective Courses,,,
